ui模板id	活动类型	活动类型	排序	显示位置（funcid）	按钮页签底图	开启条件	领取完奖励UI面板是否消失	活动规则标题	活动规则内容	界面背景图	活动UI素材替换	活动icon	节日活动按钮页签UI	节日活动UI界面特效	标签时间显示	标签时间语言包	活动界面时间显示	活动界面时间语言包	展示中语言包	活动轮播引导图	活动轮播引导图下面的文字说明	跳转到某个界面	结束期是否展示
296	93	StarBlessingPage	96	236		480	0	UI_StarBlessing_HelpTitle	UI_StarBlessing_HelpBody						0		0						0
297	94	BAMonsterSiegePage	349	226		226	0				item102020061026,1;item101020507367,1;item141000000705,1				0		0						0
298	95	BAMonsterSiegeRankPage	348	226		226	0								0		0						0
299	12	DirectBuyPage	1001	226		236	0								0		0						0
300	12	DirectBuyPage	301	236		222	0								0		0						0
301	29	BAExchangeActivityPage	200	236		226	0								0		0						0
302	12	DirectBuyPage	196	236		222	0								0		0						0
303	12	BACommonActivityPage	349	226		226	0								0		0						0
304	96	DirectBuyPage	1001	226		236	0								0		0						0
305	97		1001	226		236	0								0		0						0
306	96	DirectBuyPage	343	236		222	0								0		0						0
307	101	HotelCompetePage	400	226		226	0	UI_HotelCompetePage_HelpTitle	UI_HotelCompetePage_HelpBody						0		0						0
308	102	HotelCompeteRankPage	398	226		226	0	UI_HotelCompeteRankPage_HelpTitle	UI_HotelCompeteRankPage_HelpBody						0		0						0
309	100	MergeAreaChaseLevelPage	120	488		488	0								0		0						0
311	12	BACommonActivityPage	399	226		226	0	UI_BACommonActivityPage_HelpTitle	UI_BACommonActivityPage_HelpBody						0		0						0
312	21	BAShopActivityPage	397	226		226	0	UI_BAShopActivityPage_HelpTitle	UI_BAShopActivityPage_HelpBody2						0		0						0
313	28	BAAdLinkUiPage	9	201		491	1			texture_activity01	LinkUI:MallPanel;0;2;item90000000129;1				0		0						0
314	103	WishingTreePage	13	201		489	0								0		0						0
202	12	BACommonActivityPage	7	201		495	0	ActiveHelpTitle_84151	ActiveHelpBody_84151						0		0						0
203	21	BAShopActivityPage	7	201		495	0	ActiveHelpTitle_84152	ActiveHelpBody_84152						0		0						0
315	109	ThemeActivityPanel	999	515		515	0								0		0						0
10001	18	StarSkyTreasureActivityPage	205	226		233	0	UI_StarSky_HelpTitle_gf01	UI_StarSky_HelpBody__gf01	bg_kaifu02					0		0						0
10002	24	MidsummerMainPage	207	226		243	0								0		0						0
10003	36	BAConsumeRebatePage	206	226		261	0	UI_ReturnReward_HelpTitle_gf01	UI_ReturnReward_HelpBody_gf01						0		0						0
10004	70	ContinualRechargeActivityPage	201	226		226	0	ContinuousPayment_Title	ContinuousPayment_Des		SkinId:0				0		0						0
10005	61	BADrawShopPage	200	226		226	0	UI_BADrawShopPage9401	UI_BADrawShopHelpBody9401						1		1						0
10006	18	StarSkyTreasureActivityPage	205	226		233	0	UI_StarSky_HelpTitle_gf02	UI_StarSky_HelpBody__gf02	bg_kaifu02					0		0						0
10007	24	MidsummerMainPage	207	226		243	0								0		0						0
10008	36	BAConsumeRebatePage	206	226		261	0	UI_ReturnReward_HelpTitle_gf02	UI_ReturnReward_HelpBody_gf02						0		0						0
10009	70	ContinualRechargeActivityPage	201	226		226	0	ContinuousPayment_Title01	ContinuousPayment_Des01		SkinId:0				0		0						0
10010	63	BattleShopPage	205	236		294	0	UI_BattleShopPage_HelpTitle1	UI_BattleShopPage_HelpBody0731						0		0						0
10011	12	BACommonActivityPage	200	226		226	0								0		0						0
10012	91		200	472		472	0								0		0						0
57	49	BAFestivalShortcutPage	999	201		201	0								0		0						0
10013	63	BattleShopPage	205	236		294	0	UI_BattleShopPage_HelpTitle50	UI_BattleShopPage_HelpBody9483						0		0						0
10014	12	BACommonActivityPage	600	236		235	0								0		0						0
10017	63	BattleShopPage	300	236		294	0	UI_BattleShopPage_HelpTitle1	UI_BattleShopPage_HelpBody10017						0		0						0
10018	12	BACommonActivityPage	299	236		226	1								0		0						0
10015	63	BattleShopPage	986	226		294	0	UI_BattleShopPage_HelpTitle9491	UI_BattleShopPage_HelpBody9491						0		0						0
10016	21	BAShopActivityPage	197	226		238	0	UI_ActiveShop_HelpTitle23065	UI_ActiveShop_HelpBody23065						0		0						0
10019	63	BattleShopPage	989	226		294	0	UI_BattleShopPage_HelpTitle1	UI_BattleShopPage_HelpBody02						0		0						0
10020	12	BACommonActivityPage	298	254		226	0	ActiveHelpTitle_8409	ActiveHelpBody_8409						0		0						0
10021	24	MidsummerMainPage	399	226		243	0								0		0						0
10022	12	BACommonActivityPage	400	226		226	0								0		0						0
10023	105	BAExperienceElevatePage	999	201		201	1								0		0						0
10030	13	BAImpactLevelGiftPage	299	226		226	1								0		0						0
10031	106	CrystalRebatePage	400	201		201	1								0		0						0
10024	107	RankActivityPage	999	510		510	0	ActiveHelpTitle_rank	ActiveHelpBody_rank						0		0						0
10025	21	BAShopActivityPage	499	201		201	0	UI_ActiveShop_HelpTitle10025	UI_ActiveShop_HelpBody10025						0		0						0
10032	108	DigTreasurePage	500	201		201	1	ActiveHelpTitle_10032	ActiveHelpBody_10032						0		0						0
10026	21	BAShopActivityPage	499	201		201	0	UI_ActiveShop_HelpTitle10026	UI_ActiveShop_HelpBody10026						0		0						0
10027	12	BACommonActivityPage	498	201		201	0	ActiveHelpTitle_10027	ActiveHelpBody_10027						0		0						0
10028	21	BAShopActivityPage	600	226		226	0	UI_ActiveShop_HelpTitle0129	UI_ActiveShop_HelpBody0129						0		0						0
10029	111	ReturnTaskPage	98	265		265	0								0		0						0
316	32	ForgingFestivalActivityPage	100	201	218	201		UI_ForgingFestivalIntegral_HelpTitle	UI_ForgingFestivalIntegral_HelpBody						0		0						0
