怪物编号	对象类型	动作集	名字	功能名称	种族编号	模型编号	怪物头像	小地图图标	脚本编号	仇恨模式编号	怪物种类	怪物属性类型	属性匹配	世界等级匹配	属性值ID	普通技能	怪物技能	怪物等级	发射点偏移	模型缩放	阻挡信息	旋转	更新AI攻击目标的时间间隔	待机移动速度偏移	战斗移动速度偏移	怪物出场描述	是否显示阴影	触发范围	随机移动半径	是否保持追击	最大追击范围	经验值	死亡特效	死亡慢镜头	死亡程序效果	出场动作	出场美术特效ID	出场程序特效	出场特殊效果	常驻美术特效	常驻头顶标记	怪物说话模组	小地图红点显示	名称血条常驻显示	对话显示修正	对话显示缩放	隐藏进战斗感叹号	元素附体属性
monster10103045	MonsterNpc	0			0					0	5	0	0	0	101010003			1		1.000000			1	-3.000000	-2.000000		0	25.000000	0.500000	1	50.000000	0	0	0	0	0	110000	0	0			0	0	0	0,0,0	1.000000	0	0
monster10003100	MonsterNpc	2057002	name_m151		1	m039|body|m039_body_t1	m039_portrait01			1002	1	1	0	0	101010003	skill20470		3		1.000000			1	-3.000000	-2.000000		0	10.000000	4.000000	0	20.000000	0	0	0	0	0	0	0	0			0	1	0	0,0,0	1.000000	0	0
monster10003101	MonsterNpc	2060002	name_m160		1	m042|body|m042_body_t1|parta|m042_parta_t1	m042_portrait01			1003	1	1	0	0	101010003	skill20510	skill20511	4		1.000000			2	-3.000000	-2.000000		0	10.000000	4.000000	0	20.000000	0	0	0	0	0	0	0	0			0	1	0	0,0,0	1.000000	0	0
monster10104001	MonsterNpc	2023002	name_m060		2	m022|body|m022_body_t3	m022_portrait03			1003	1	1	0	0	101010020	skill20170		20		1.000000			1	-3.000000	-2.000000		0	10.000000	4.000000	0	20.000000	0	0	0	0	0	110000	0	0			0	1	0	0,0,0	1.000000	0	0
monster10104002	MonsterNpc	2013002	name_m055		1	m021|body|m021_body_t1	m021_portrait01			1003	1	1	0	0	101010021	skill20060		21		1.000000			1	-3.000000	-2.000000		0	10.000000	4.000000	0	20.000000	0	0	0	0	0	110000	0	0			0	1	0	0,0,0	1.000000	0	0
monster10104003	MonsterNpc	2025002	name_m064		1	m024|body|m024_body_t1|parta|m024_parta_t1	m024_portrait01			1003	1	1	0	0	101010021	skill20190		21		1.000000			1	-3.000000	-2.000000		0	10.000000	4.000000	0	20.000000	0	0	0	0	0	110000	0	0			0	1	0	0,0,0	1.000000	0	0
monster10104004	MonsterNpc	2013002	name_m057		1	m021|body|m021_body_t3	m021_portrait03			1003	2	1	0	0	101010031	skill20060		35		1.000000			1	-3.000000	-2.000000		0	10.000000	4.000000	0	20.000000	0	0	0	0	0	110000	0	0			0	1	0	0,0,0	1.000000	0	0
monster10104005	MonsterNpc	2013002	name_m057		1	m021|body|m021_body_t3	m021_portrait03			1003	1	1	0	0	101010021	skill20060		21		1.000000			1	-3.000000	-2.000000		0	10.000000	4.000000	0	20.000000	0	0	0	0	0	110000	0	0			0	1	0	0,0,0	1.000000	0	0
monster10104006	MonsterNpc	2025002	name_m066		1	m024|body|m024_body_t3|parta|m024_parta_t3	m024_portrait03			1003	1	1	0	0	101010022	skill20190		22		1.500000			1	-3.000000	-2.000000		0	20.000000	4.000000	0	20.000000	0	0	0	0	0	110000	0	0			0	1	0	0,0,0	1.000000	0	0
monster10104007	MonsterNpc	2013002	name_m055		1	m021|body|m021_body_t1	m021_portrait01			1003	2	1	0	0	101010030	skill20060		28		1.500000			1	-3.000000	-2.000000		0	20.000000	4.000000	0	20.000000	0	0	0	0	0	110000	0	0			0	1	0	0,0,0	1.000000	0	0
monster10104008	MonsterNpc	2013002	name_m057		1	m021|body|m021_body_t3	m021_portrait03			1003	1	1	0	0	101010022	skill20060		22		1.000000			1	-3.000000	-2.000000		0	10.000000	4.000000	0	20.000000	0	0	0	0	0	110000	0	0			0	1	0	0,0,0	1.000000	0	0
monster10104009	MonsterNpc	2041002	name_m109		5	m032|body|m032_body_t1	m032_portrait01			1003	1	1	0	0	101010022	skill20390		21		1.000000			1	-3.000000	-2.000000		0	10.000000	3.000000	0	20.000000	0	0	0	0	0	110000	0	0	20171		0	1	0	0,0,0	1.000000	0	0
monster10104010	MonsterNpc	2042002	name_m112		5	m915|body|m915_body_t1	m915_portrait01			1003	2	2	0	0	101010022	skill20420	skill20421,skill20422	23		1.000000			1	-3.000000	-2.000000		0	10.000000	3.000000	0	20.000000	0	0	0	0	0	110000	0	0			0	1	0	0,0,0	1.000000	0	0
monster10104011	MonsterNpc	2070002	name_heiyiren		1	n065|body|n065_body_t1|parta|n065_parta_t1	n065_portrait01			1003	2	0	0	0	90000022	skill20613	skill20610,skill20614,skill20615	29		1.000000			1	-3.000000	-3.000000		0	10.000000	4.000000	1	20.000000	0	0	0	0	0	110000	0	0			0	1	0	0,0,0	1.000000	0	0
monster10104012	MonsterNpc	2013024	name_m_shibing		1	n008|body|n008_body_t1	n008_portrait01			1003	2	0	0	0	101010032	skill20600		36		1.000000			1	-3.000000	-2.000000		0	10.000000	0.500000	0	20.000000	0	0	0	0	0	110000	0	0			0	1	0	0,0,0	1.000000	0	0
monster10104013	MonsterNpc	3000103	NpcName_10003		1	n007|body|n007_body_t1	n007_portrait01			1003	3	0	0	0	301011016			26		1.000000			1	-1.500000	-2.000000		0	40.000000	10.000000	1	1000.000000	0	0	0	0	0	110000	0	0			0	3	0	0,0,0	1.000000	0	0
monster10104014	MonsterNpc	2013024	name_m_shibing		1	n008|body|n008_body_t1	n008_portrait01			1003	2	0	0	0	101010025	skill20600		29		1.000000			1	-3.000000	-2.000000		0	10.000000	4.000000	0	20.000000	0	0	0	0	0	110000	0	0			0	1	0	0,0,0	1.000000	0	0
monster10104015	MonsterNpc	2013002	name_m057		1	m021|body|m021_body_t3	m021_portrait03			1003	2	1	0	0	101010028	skill20060		29		1.000000			1	-3.000000	-2.000000		0	10.000000	4.000000	0	20.000000	0	0	0	0	0	110000	0	0			0	1	0	0,0,0	1.000000	0	0
monster10104016	MonsterNpc	2025002	name_m066		1	m024|body|m024_body_t3|parta|m024_parta_t3	m024_portrait03			1003	2	1	0	0	101010028	skill20190		29		1.000000			1	-3.000000	-2.000000		0	10.000000	4.000000	0	20.000000	0	0	0	0	0	110000	0	0			0	1	0	0,0,0	1.000000	0	0
monster10104017	MonsterNpc	2022002	name_m094		4	m038|body|m038_body_t1	m038_portrait01			1003	2	1	0	0	101010032	skill20160		29		1.500000			1	-3.000000	-2.000000		0	10.000000	4.000000	0	20.000000	0	0	0	0	0	110000	0	0			0	1	0	0,0,0	1.000000	0	0
monster10104018	MonsterNpc	2023002	name_m060		2	m022|body|m022_body_t3	m022_portrait03			1003	2	1	0	0	101010035	skill20170		29		1.000000			1	-3.000000	-2.000000		0	10.000000	4.000000	0	20.000000	0	0	0	0	0	110000	0	0			0	1	0	0,0,0	1.000000	0	0
monster10104019	MonsterNpc	2024002	name_m063		2	m023|body|m023_body_t3	m023_portrait03			1003	2	1	0	0	101010035	skill20180		29		1.000000			1	-3.000000	-2.000000		0	10.000000	4.000000	0	20.000000	0	0	0	0	0	110000	0	0			0	1	0	0,0,0	1.000000	0	0
monster10104020	MonsterNpc	2021002	name_m040		8	m905|body|m905_body_t1	m905_portrait01			1003	2	2	0	0	101010035	skill20150	skill20151,skill20152	29		1.500000			1	-3.000000	-2.000000		0	10.000000	4.000000	0	20.000000	0	0	0	0	0	110000	0	0			0	1	0	0,0,0	1.000000	0	0
monster10104021	MonsterNpc	3007014	name_b004_main		4	b701|body|b701_body_t1|parta|b701_parta_t1	b701_portrait01			1003	3	3	0	0	90000019	skill30500	skill30502,skill30503,skill30504	31		1.000000			1	0.000000	0.500000		0	10.000000	3.000000	1	20.000000	0	0	0	0	0	110000	0	0			10104021	1	0	0,0,0	1.000000	0	0
monster10104022	MonsterNpc	3000004	name_b001		1	b001|body|b001_body_t1	b001_portrait01			1003	3	3	0	0	90000020	skill30100,skill30101	skill30102_ord,skill30103_ord,skill30104_ord,skill30105_ord,skill30108_ord,skill30001	31		1.300000			1	0.000000	0.500000		0	15.000000	3.000000	1	40.000000	0	0	0	0	0	110000	0	0			10104022	1	0	0,0,0	1.000000	0	0
monster10104023	MonsterNpc	2013002	name_m055		1	m021|body|m021_body_t1	m021_portrait01			1003	3	1	0	0	101010025	skill20060		31		1.000000			1	-3.000000	-2.000000		0	10.000000	3.000000	1	20.000000	0	0	0	0	0	110000	0	0			0	1	0	0,0,0	1.000000	0	0
monster10104024	MonsterNpc	2053002	name_n900		1	n900|body|n900_body_t1	n900_portrait01			1003	2	0	0	0	101010025	skill200022	skill200021,skill200024,skill200025	20		1.000000			1	-3.000000	-2.000000		0	10.000000	4.000000	0	20.000000	0	0	0	0	0	110000	0	0			0	3	0	0,0,0	1.000000	0	0
monster10104031	MonsterNpc	1001001	NpcName_10036		1	n016|body|n016_body_t1	n016_portrait01			1003	2	0	0	0	101010025	skill21100	skill200021	20		1.000000			1	-0.500000	-0.500000		0	9.000000	4.000000	0	8.000000	0	0	0	0	0	0	0	0			101011	3	0	0,0,0	1.000000	0	0
monster10104032	MonsterNpc	1003001	NpcName_10032		1	n018|body|n018_body_t1	n018_portrait01			1003	2	0	0	0	101010025	skill21100	skill200021	20		1.000000			1	-0.500000	-0.500000		0	12.000000	4.000000	0	8.000000	0	0	0	0	0	0	0	0			101008	3	0	0,0,0	1.000000	0	0
monster10104033	MonsterNpc	1004001	NpcName_10034		1	n019|body|n019_body_t1	n019_portrait01			1003	2	0	0	0	101010025	skill21100	skill200021	20		1.000000			1	-0.500000	-0.500000		0	12.000000	4.000000	0	8.000000	0	0	0	0	0	0	0	0			101010	3	0	0,0,0	1.000000	0	0
monster10104034	MonsterNpc	1000001	NpcName_10035		1	n017|body|n017_body_t1	n017_portrait01			1003	2	0	0	0	101010025	skill21100	skill200021	20		1.000000			1	-0.500000	-0.500000		0	8.000000	4.000000	0	8.000000	0	0	0	0	0	0	0	0			101011	3	0	0,0,0	1.000000	0	0
monster10104035	MonsterNpc	3003003	NpcName_10002		1	n904|body|n904_body_t1	n904_portrait01			1003	2	0	0	0	101010025	skill21100	skill200021	20		1.000000			1	-0.500000	-0.500000		0	8.000000	4.000000	0	8.000000	0	0	0	0	0	0	0	0			101009	0	0	0,0,0	1.000000	0	0
monster10104036	MonsterNpc	3004003	NpcName_10043		1	n905|body|n905_body_t1	n905_portrait01			1003	2	0	0	0	101010025	skill21100	skill200021	20		1.000000			1	-0.500000	-0.500000		0	9.000000	4.000000	0	8.000000	0	0	0	0	0	0	0	0			101011	0	0	0,0,0	1.000000	0	0
monster10104037	MonsterNpc	3005003	NpcName_10042		1	n029|body|n029_body_t1	n029_portrait01			1003	2	0	0	0	101010025	skill21100	skill200021	20		1.000000			1	-0.500000	-0.500000		0	12.000000	4.000000	0	8.000000	0	0	0	0	0	0	0	0			101007	0	0	0,0,0	1.000000	0	0
monster10104038	MonsterNpc	11054002	name_10104038		1	m054|body|m054_body_t2|partb|m054_partb_t1	m054_portrait02			1003	1	1	0	0	101010065	skill20720		65		1.000000			1	-3.000000	-2.000000		0	15.000000	3.000000	0	20.000000	30	0	0	0	0	0	0	0			0	1	0	0,0,0	1.000000	0	0
monster10104039	MonsterNpc	2048002	name_10104039		6	m035|body|m035_body_t1	m035_portrait01			1003	1	1	0	0	101010065	skill200002		65		1.000000			1	-3.000000	-2.000000		0	15.000000	3.000000	0	20.000000	30	0	0	0	0	10000047	0	0			0	1	0	0,0,0	1.000000	0	0
monster10104040	MonsterNpc	14084024	name_10104040		1	n084|body|n084_body_t1	n008_portrait01			1003	1	1	0	0	101010065	skill20740		65		1.000000			1	-3.000000	-2.000000		0	15.000000	3.000000	0	20.000000	30	0	0	0	0	0	0	0			0	1	0	0,0,0	1.000000	0	0
monster10105001	MonsterNpc	2041002	name_m109		5	m032|body|m032_body_t1	m032_portrait01			1003	1	1	0	0	101010031	skill20390		31		1.000000			1	-3.000000	-2.000000		0	10.000000	3.000000	0	20.000000	0	0	0	0	0	110000	0	0	20171		0	1	0	0,0,0	1.000000	0	0
monster10105002	MonsterNpc	2041002	name_m109		5	m032|body|m032_body_t1	m032_portrait01			1003	1	1	0	0	101010031	skill20390		31		1.000000			1	-3.000000	-2.000000		0	10.000000	3.000000	0	20.000000	0	0	0	0	0	110000	0	0	20171		0	1	0	0,0,0	1.000000	0	0
monster10105003	MonsterNpc	2013024	name_m_shibing		1	n008|body|n008_body_t1	n008_portrait01			1003	2	0	0	0	101010040	skill20600		41		1.000000			1	-3.000000	-2.000000		0	10.000000	0.500000	0	20.000000	0	0	0	0	0	110000	0	0			0	1	0	0,0,0	1.000000	0	0
monster10105004	MonsterNpc	2013024	name_m_shibing		1	n008|body|n008_body_t1	n008_portrait01			1003	2	0	0	0	101010041	skill20600		41		1.000000			1	-3.000000	-2.000000		0	10.000000	0.500000	0	20.000000	0	0	0	0	0	110000	0	0			0	1	0	0,0,0	1.000000	0	0
monster10105005	MonsterNpc	2013024	name_m_shibing		1	n008|body|n008_body_t1	n008_portrait01			1003	2	0	0	0	101010041	skill20600		41		1.000000			1	-3.000000	-2.000000		0	10.000000	0.500000	0	20.000000	0	0	0	0	0	110000	0	0			0	1	0	0,0,0	1.000000	0	0
monster10105006	MonsterNpc	2042002	name_m112		5	m915|body|m915_body_t1	m915_portrait01			1003	2	2	0	0	101010022	skill20420	skill20421,skill20422	23		1.000000			1	-3.000000	-2.000000		0	10.000000	3.000000	0	20.000000	0	0	0	0	0	110000	0	0			0	1	0	0,0,0	1.000000	0	0
monster10105007	MonsterNpc	2057002	name_m151		1	m039|body|m039_body_t1	m039_portrait01			1003	2	1	0	0	101010063	skill20470		51		1.000000			1	-3.000000	-2.000000		0	10.000000	3.000000	0	20.000000	0	0	0	0	0	110000	0	0			0	1	0	0,0,0	1.000000	0	0
monster10105008	MonsterNpc	2013024	name_m_shibing		1	n008|body|n008_body_t1	n008_portrait01			1003	2	0	0	0	101010056	skill20600		51		1.000000			1	-3.000000	-2.000000		0	10.000000	0.500000	0	20.000000	0	0	0	0	0	110000	0	0			0	1	0	0,0,0	1.000000	0	0
monster10105009	MonsterNpc	2070002	NpcName_10132		1	n066|body|n066_body_t1|parta|n066_parta_t1	n066_portrait01			1003	2	0	0	0	90000023	skill20160	skill20610,skill20611,skill20612	55		1.000000			1	-3.000000	-2.000000		0	10.000000	0.500000	1	30.000000	0	0	0	0	0	110000	0	0			10105009	1	0	0,0,0	1.000000	0	0
monster10105010	MonsterNpc	2042002	name_m112		5	m915|body|m915_body_t1	m915_portrait01			1003	2	2	0	0	111020060	skill20420	skill20421,skill20422	55		1.000000			1	-3.000000	-2.000000		0	10.000000	0.500000	1	30.000000	0	0	0	0	0	110000	0	0			0	1	0	0,0,0	1.000000	0	0
monster10105011	MonsterNpc	3013004	name_b002		4	b002|body|b002_body_t1	b002_portrait01			1003	3	3	0	0	90000024	skill31200	skill31201_plot,skill31202_plot,skill31204_plot,skill31205_plot	59		1.000000			1	0.000000	0.500000		0	10.000000	0.500000	1	30.000000	0	0	0	0	0	110000	0	0			10105011	1	0	0,0,0	1.000000	0	0
monster10105012	MonsterNpc	2019002	name_10105012		3	m906|body|m906_body_t3	m906_portrait03			1003	3	3	0	0	90000025	skill20130_ord		15		0.700000			1	-3.000000	1.500000		0	10.000000	0.500000	1	30.000000	0	0	0	0	0	110000	0	0			10105021	1	0	0,0,0	1.000000	0	0
monster10105013	MonsterNpc	2013002	name_10105013		1	m021|body|m021_body_t6	m021_portrait06			1003	3	1	0	0	90000026	skill20060	skill20061,skill20062	35		2.500000			1	-3.000000	-2.000000		0	10.000000	0.500000	1	30.000000	0	0	0	0	0	110000	0	0			10105013	1	0	0,0,0	1.000000	0	0
monster10105014	MonsterNpc	2042002	name_10105014		5	m915|body|m915_body_t3	m915_portrait03			1003	3	2	0	0	90000027	skill20420	skill20421,skill20426,skill20424,skill20425,skill30000	42		1.500000			1	-3.000000	-2.000000		0	10.000000	0.500000	1	30.000000	0	0	0	0	0	110000	0	0			10105014	1	0	0,0,0	1.000000	0	0
monster10105015	MonsterNpc	2037002	name_10105015		9	m028|body|m028_body_t10	m028_portrait10			1003	1	1	0	0	90000028	skill20350	skill20354,skill20356	45		1.700000			1	-4.200000	-2.000000		0	10.000000	0.500000	1	30.000000	0	0	0	0	0	110000	0	0			10105015	1	0	0,0,0	1.000000	0	0
monster10105016	MonsterNpc	2067002	name_10105016		4	m920|body|m920_body_t1	m920_portrait01			1003	3	3	0	0	90000029	skill20640	skill20641,skill20645,skill20643,skill20644,skill30001	49		1.500000			1	-3.000000	1.500000		0	10.000000	0.500000	1	30.000000	0	0	0	0	0	110000	0	0			10105016	1	0	0,0,0	1.000000	0	0
monster10105017	MonsterNpc	3009004	name_10105017		4	b014|body|b014_body_t1	b014_portrait01			1003	3	3	0	0	90000030	skill30700	skill30701_plot,skill30702_plot,skill30704_plot,skill30710_plot	51		1.000000			1	0.000000	1.500000		0	10.000000	0.500000	1	30.000000	0	0	0	0	0	110000	0	0			10105017	1	0	0,0,0	1.000000	0	0
monster10105018	MonsterNpc	2027002	name_10105018		2	m908|body|m908_body_t5	m908_portrait05			1003	3	2	0	0	90000031	skill20220	skill20221,skill20222,skill20224	28		1.200000			1	-3.000000	-2.000000		0	10.000000	0.500000	1	30.000000	0	0	0	0	0	110000	0	0			10105018	1	0	0,0,0	1.000000	0	0
monster10105019	MonsterNpc	2004002	name_10105019		1	m006|body|m006_body_t4	m006_portrait04			1003	2	2	0	0	90000032	skill20700	skill20701,skill20702	30		1.400000			1	-3.000000	-2.000000		0	15.000000	3.000000	0	20.000000	30	0	0	0	0	110000	0	0			0	1	0	0,0,0	1.000000	0	0
monster10105020	MonsterNpc	2043002	name_10105020		2	m916|body|m916_body_t4	m916_portrait04			1003	2	2	0	0	90000033	skill20430	skill20436,skill20433,skill20434,skill20435	30		1.000000			1	-3.000000	-2.000000		0	15.000000	3.000000	0	20.000000	30	0	0	0	0	110000	0	0			0	1	0	0,0,0	1.000000	0	0
monster10105021	MonsterNpc	2021002	name_10105021		8	m905|body|m905_body_t2	m905_portrait02			1003	2	2	0	0	90000034	skill20150	skill20151,skill20152,skill20153,skill20154	30		1.500000			1	-3.000000	-2.000000		0	15.000000	3.000000	0	20.000000	30	0	0	0	0	110000	0	0			0	1	0	0,0,0	1.000000	0	0
monster10105022	MonsterNpc	3012004	name_10105022		4	b010|body|b010_body_t1|parta|b010_parta_t1	b010_portrait01			1003	3	3	0	0	90000035	skill201001,skill201002	skill31101_plot,skill31102_plot,skill31103_plot,skill31105_plot	30		0.700000			1	0.000000	0.500000		0	15.000000	3.000000	0	20.000000	30	0	0	0	0	110000	0	0			0	1	0	0,0,0	1.000000	0	0
monster10105051	MonsterNpc	2004002	name_10105051		1	m006|body|m006_body_t2	m006_portrait02			1003	2	2	0	0	90000051	skill20700	skill20701,skill20702	15		1.400000			1	-3.000000	-2.000000		0	10.000000	0.500000	1	30.000000	0	0	0	0	0	110000	0	0			10105051	1	0	0,0,0	1.000000	0	0
monster10105052	MonsterNpc	2008002	name_10105052		1	m007|body|m007_body_t4	m007_portrait04			1003	3	2	0	0	90000052	skill20800	skill20801,skill20802	20		1.500000			1	-3.000000	-2.000000		0	10.000000	0.500000	1	30.000000	0	0	0	0	0	110000	0	0			10105052	1	0	0,0,0	1.000000	0	0
monster10105053	MonsterNpc	2021002	name_10105053		8	m905|body|m905_body_t3	m905_portrait03			1003	3	2	0	0	90000053	skill20150	skill20151,skill20152,skill20153,skill20154	25		1.500000			1	-3.000000	-2.000000		0	10.000000	0.500000	1	30.000000	0	0	0	0	0	110000	0	0			10105053	1	0	0,0,0	1.000000	0	0
monster10105054	MonsterNpc	2015002	name_10105054		3	m907|body|m907_body_t2	m907_portrait02			1003	3	3	0	0	90000054	skill20080	skill20081_ord,skill20082_ord	30		1.400000			1	-3.000000	1.500000		0	10.000000	0.500000	1	30.000000	0	0	0	0	0	110000	0	0			10105054	1	0	0,0,0	1.000000	0	0
monster10105055	MonsterNpc	3012004	name_10105055		4	b010|body|b010_body_t1|parta|b010_parta_t1	b010_portrait01			1003	3	3	0	0	90000055	skill201001,skill201002	skill31101_plot,skill31102_plot,skill31103_plot,skill31105_plot	34		0.700000			1	0.000000	0.500000		0	10.000000	0.500000	1	30.000000	0	0	0	0	0	110000	0	0			10105055	1	0	0,0,0	1.000000	0	0
monster10105056	MonsterNpc	2030002	name_10105056		1	m911|body|m911_body_t2	m911_portrait02			1003	3	2	0	0	90000056	skill20250	skill20251_ord,skill20252_ord	35		1.450000			1	-3.000000	0.500000		0	10.000000	0.500000	1	30.000000	0	0	0	0	0	110000	0	0			10105056	1	0	0,0,0	1.000000	0	0
monster10105057	MonsterNpc	2014002	name_10105057		2	m909|body|m909_body_t4	m909_portrait04			1003	2	2	0	0	90000057	skill20070	skill20071,skill20076,skill20074,skill20075	38		1.350000			1	-3.000000	-2.000000		0	10.000000	0.500000	1	30.000000	0	0	0	0	0	110000	0	0			10105057	1	0	0,0,0	1.000000	0	0
monster10105058	MonsterNpc	2043002	name_10105058		2	m916|body|m916_body_t3	m916_portrait03			1003	3	2	0	0	90000058	skill20430	skill20436,skill20433,skill20434,skill20435	43		1.000000			1	-3.000000	-2.000000		0	10.000000	0.500000	1	30.000000	0	0	0	0	0	110000	0	0			10105058	1	0	0,0,0	1.000000	0	0
monster10105059	MonsterNpc	2045002	name_10105059		1	m917|body|m917_body_t4|parta|m917_parta_t4	m917_portrait04			1003	3	2	0	0	90000059	skill20440	skill20441_ord,skill20442_ord	46		1.300000			1	-3.000000	1.500000		0	10.000000	0.500000	1	30.000000	0	0	0	0	0	110000	0	0	20184		10105059	1	0	0,0,0	1.000000	0	0
monster10105060	MonsterNpc	2063002	name_10105060		6	m924|body|m924_body_t2	m924_portrait02			1003	1	1	0	0	90000060	skill20570	skill20571,skill20574,skill30001	51		1.200000			1	-3.000000	-2.000000		0	10.000000	0.500000	1	30.000000	0	0	0	0	0	110000	0	0			10105060	1	0	0,0,0	1.000000	0	0
monster10105061	MonsterNpc	2056002	name_10105061		4	m925|body|m925_body_t1	m925_portrait01			1003	3	3	0	0	90000061	skill20560	skill20561_ord,skill20562_ord,skill20563_ord,skill20564_ord	57		1.000000			1	0.000000	1.500000		0	10.000000	0.500000	1	30.000000	0	0	0	0	0	110000	0	0			10105061	1	0	0,0,0	1.000000	0	0
monster10105062	MonsterNpc	24901112	name_10107026		1	soldier901|body|soldier901_body_t1	soldier901_portrait01			1003	3	3	0	0	90101050	skill401300_mst	skill401301_mst,skill401302_mst,skill401303_mst,skill401304_mst,skill401305_mst,skill401300_task1,skill401300_task2,skill401300_task3	60		1.000000			1	2.000000	2.000000		0	100.000000	3.000000	1	1000.000000	0	0	0	0	0	110000	0	0			0	1	0	0,0,0	1.000000	0	0
monster10105063	MonsterNpc	24903112	name_soldier_npc_10025		1	soldier903|body|soldier903_body_t1	soldier906_portrait01			1003	3	3	0	0	90101050	skill401800_mst	skill401801_mst,skill401802_mst,skill401803_mst,skill401804_mst,skill401805_mst	52		1.000000			1	2.000000	2.000000		0	100.000000	5.000000	1	1000.000000	0	0	0	0	0	110000	0	0			0	1	0	0,0,0	1.000000	0	0
monster10105064	MonsterNpc	24904112	name_10107023		1	soldier904|body|soldier904_body_t1	soldier903_portrait01			1003	3	3	0	0	90101050	skill401500_mst	skill401501_mst,skill401502_mst,skill401503_mst,skill401504_mst,skill401505_mst,skill401502_plot	55		1.000000			1	2.000000	2.000000		0	100.000000	3.000000	1	1000.000000	0	0	0	0	0	110000	0	0			0	1	0	0,0,0	1.000000	0	0
monster10105065	MonsterNpc	24906112	name_10107024		1	soldier906|body|soldier906_body_t1	soldier905_portrait01			1003	3	3	0	0	90101050	skill401700_mst	skill401701_mst,skill401702_mst,skill401703_mst,skill401704_mst,skill401705_mst	50		1.000000			1	2.000000	2.000000		0	100.000000	3.000000	1	1000.000000	0	0	0	0	0	110000	0	0			0	1	0	0,0,0	1.000000	0	0
monster10105066	MonsterNpc	24905112	name_10107025		1	soldier905|body|soldier905_body_t1	soldier904_portrait01			1003	3	3	0	0	90101050	skill401600_mst	skill401601_mst,skill401602_mst,skill401603_mst,skill401604_mst,skill401605_mst,skill401603_plot	58		1.000000			1	2.000000	2.000000		0	100.000000	3.000000	1	1000.000000	0	0	0	0	0	110000	0	0			0	1	0	0,0,0	1.000000	0	0
monster10105067	MonsterNpc	14053002	name_n053Daouf		1	n053|body|n053_body_t1	n053_portrait01			1003	3	3	0	0	90101050	skill31300	skill31301_ord,skill31302_ord,skill31303_ord,skill31304_ord,skill31305,skill31306_ord	53		1.500000			1	2.000000	2.000000		0	100.000000	5.000000	1	1000.000000	0	0	0	0	0	110000	0	0			0	1	0	0,0,0	1.000000	0	0
monster10105068	MonsterNpc	2007002	name_m013		2	m005|body|m005_body_t1	m005_portrait01			1003	2	2	0	0	90100050	skill20500		52		1.000000			1	-3.000000	-2.000000		0	10.000000	4.000000	0	20.000000	0	0	0	0	0	110000	0	0			0	1	0	0,0,0	1.000000	0	0
monster10105069	MonsterNpc	11058002	name_11008001		2	m058|body|m058_body_t1	m058_portrait01			1003	2	2	0	0	90100050	skill20760		50		1.000000			1	-3.000000	-2.000000		0	15.000000	3.000000	0	20.000000	0	0	0	0	0	110000	0	0			0	1	0	0,0,0	1.000000	0	0
monster10105070	MonsterNpc	2040002	name_incident_4002		2	m031|body|m031_body_t3	r001_portrait05			1003	2	2	0	0	90100050	skill20380		53		1.500000			1	-3.000000	-2.000000		0	7.000000	5.000000	1	1000.000000	0	120007	0	0	0	120005	0	0	20153		0	1	0	0,0,0	1.000000	0	0
monster10105071	MonsterNpc	2037002	name_m099		9	m028|body|m028_body_t3	m028_portrait03			1003	2	2	0	0	90100050	skill20350	skill20351	50		1.000000			1	-4.200000	-2.000000		0	30.000000	2.000000	1	20.000000	0	0	0	0	0	120005	100002	0			0	1	0	0,0,0	1.000000	0	0
monster10105072	MonsterNpc	2058002	name_m155		5	m040|body|m040_body_t1	m040_portrait01			1002	2	2	0	0	90100050	skill20480		53		1.000000			1	-3.000000	-2.000000		0	15.000000	3.000000	0	20.000000	50	0	0	0	0	110000	0	0			0	1	0	0,0,0	1.000000	0	0
monster10105073	MonsterNpc	2041002	name_m110		5	m032|body|m032_body_t2	m032_portrait02			1003	2	2	0	0	90100050	skill20390		46		1.000000			1	-3.000000	-2.000000		0	15.000000	3.000000	0	20.000000	40	0	0	0	0	110000	0	0	20171		0	1	0	0,0,0	1.000000	0	0
monster10106001	MonsterNpc	2048002	name_m133		6	m035|body|m035_body_t1	m035_portrait01			1003	1	1	0	0	101010060	skill200002		55		1.000000			1	-3.000000	-2.000000		0	10.000000	3.000000	0	20.000000	0	0	0	0	0	110000	0	0			0	1	0	0,0,0	1.000000	0	0
monster10106002	MonsterNpc	2041002	name_m110		5	m032|body|m032_body_t2	m032_portrait02			1003	1	1	0	0	101010056	skill20390		55		1.000000			1	-3.000000	-2.000000		0	10.000000	3.000000	0	20.000000	0	0	0	0	0	110000	0	0	20171		0	1	0	0,0,0	1.000000	0	0
monster10106003	MonsterNpc	2067002	name_m142		4	m920|body|m920_body_t1	m920_portrait01			1003	3	3	0	0	111020060	skill20640	skill201028,skill201029	58		1.500000			1	-3.000000	1.500000		0	10.000000	3.000000	0	20.000000	0	0	0	0	0	110000	0	0			0	1	0	0,0,0	1.000000	0	0
monster10107001	MonsterNpc	11058002	name_11008001		2	m058|body|m058_body_t1	m058_portrait01			1002	2	1	0	0	101010065	skill20760		68		1.000000			1	-3.000000	-2.000000		0	15.000000	3.000000	0	20.000000	0	0	0	0	0	110000	0	0			0	1	0	0,0,0	1.000000	0	0
