特色属性ID	六维1	六维2	六维3	六维4	六维5	六维6	属性id	六维1显示	六维2显示	六维3显示	六维4显示	六维5显示	六维6显示	特色属性语言包	特色属性参数	觉醒属性语言包	觉醒属性参数	战力评分
3011026	38	38	38	38	31	31		38	38	38	38	31	31	CharacteristicLang3011	4,5			160
3011027	38	38	38	38	38	31		38	38	38	38	38	31	CharacteristicLang3011	4,5			160
3011028	38	38	38	38	38	38		38	38	38	38	38	38	CharacteristicLang3011	4,5			160
3011029	43	43	43	43	43	43		43	43	43	43	43	43	CharacteristicLangMax3011	5			180
3011030	52	52	52	52	52	52		52	52	52	52	52	52	CharacteristicLangMax3011	5	AwakeLang3011	7	360
3012001	8	8	8	8	8	8		8	8	8	8	8	8	CharacteristicLang3012	0.2,0.22			100
3012002	12	8	8	8	8	8		12	8	8	8	8	8	CharacteristicLang3012	0.2,0.22			100
3012003	12	12	8	8	8	8		12	12	8	8	8	8	CharacteristicLang3012	0.2,0.22			100
3012004	12	12	12	8	8	8		12	12	12	8	8	8	CharacteristicLang3012	0.2,0.22			100
3012005	12	12	12	12	8	8		12	12	12	12	8	8	CharacteristicLang3012	0.2,0.22			100
3012006	12	12	12	12	12	8		12	12	12	12	12	8	CharacteristicLang3012	0.2,0.22			100
3012007	12	12	12	12	12	12		12	12	12	12	12	12	CharacteristicLang3012	0.2,0.22			100
3012008	14	14	14	14	14	14		14	14	14	14	14	14	CharacteristicLang3012	0.22,0.25			120
3012009	19	14	14	14	14	14		19	14	14	14	14	14	CharacteristicLang3012	0.22,0.25			120
3012010	19	19	14	14	14	14		19	19	14	14	14	14	CharacteristicLang3012	0.22,0.25			120
3012011	19	19	19	14	14	14		19	19	19	14	14	14	CharacteristicLang3012	0.22,0.25			120
3012012	19	19	19	19	14	14		19	19	19	19	14	14	CharacteristicLang3012	0.22,0.25			120
3012013	19	19	19	19	19	14		19	19	19	19	19	14	CharacteristicLang3012	0.22,0.25			120
3012014	19	19	19	19	19	19		19	19	19	19	19	19	CharacteristicLang3012	0.22,0.25			120
3012015	22	22	22	22	22	22		22	22	22	22	22	22	CharacteristicLang3012	0.25,0.28			140
3012016	28	22	22	22	22	22		28	22	22	22	22	22	CharacteristicLang3012	0.25,0.28			140
3012017	28	28	22	22	22	22		28	28	22	22	22	22	CharacteristicLang3012	0.25,0.28			140
3012018	28	28	28	22	22	22		28	28	28	22	22	22	CharacteristicLang3012	0.25,0.28			140
3012019	28	28	28	28	22	22		28	28	28	28	22	22	CharacteristicLang3012	0.25,0.28			140
3012020	28	28	28	28	28	22		28	28	28	28	28	22	CharacteristicLang3012	0.25,0.28			140
3012021	28	28	28	28	28	28		28	28	28	28	28	28	CharacteristicLang3012	0.25,0.28			140
3012022	32	32	32	32	32	32		32	32	32	32	32	32	CharacteristicLang3012	0.28,0.3			160
3012023	39	32	32	32	32	32		39	32	32	32	32	32	CharacteristicLang3012	0.28,0.3			160
3012024	39	39	32	32	32	32		39	39	32	32	32	32	CharacteristicLang3012	0.28,0.3			160
3012025	39	39	39	32	32	32		39	39	39	32	32	32	CharacteristicLang3012	0.28,0.3			160
3012026	39	39	39	39	32	32		39	39	39	39	32	32	CharacteristicLang3012	0.28,0.3			160
3012027	39	39	39	39	39	32		39	39	39	39	39	32	CharacteristicLang3012	0.28,0.3			160
3012028	39	39	39	39	39	39		39	39	39	39	39	39	CharacteristicLang3012	0.28,0.3			160
3012029	44	44	44	44	44	44		44	44	44	44	44	44	CharacteristicLangMax3012	0.3			180
3012030	53	53	53	53	53	53		53	53	53	53	53	53	CharacteristicLangMax3012	0.3	AwakeLang3012	0.3	360
3013001	8	8	8	8	8	8		8	8	8	8	8	8	CharacteristicLang3013	10,10,100,20,20,200			100
3013002	12	8	8	8	8	8		12	8	8	8	8	8	CharacteristicLang3013	10,10,100,20,20,200			100
3013003	12	12	8	8	8	8		12	12	8	8	8	8	CharacteristicLang3013	10,10,100,20,20,200			100
3013004	12	12	12	8	8	8		12	12	12	8	8	8	CharacteristicLang3013	10,10,100,20,20,200			100
3013005	12	12	12	12	8	8		12	12	12	12	8	8	CharacteristicLang3013	10,10,100,20,20,200			100
3013006	12	12	12	12	12	8		12	12	12	12	12	8	CharacteristicLang3013	10,10,100,20,20,200			100
3013007	12	12	12	12	12	12		12	12	12	12	12	12	CharacteristicLang3013	10,10,100,20,20,200			100
3013008	14	14	14	14	14	14		14	14	14	14	14	14	CharacteristicLang3013	20,20,200,30,30,300			120
3013009	19	14	14	14	14	14		19	14	14	14	14	14	CharacteristicLang3013	20,20,200,30,30,300			120
3013010	19	19	14	14	14	14		19	19	14	14	14	14	CharacteristicLang3013	20,20,200,30,30,300			120
3013011	19	19	19	14	14	14		19	19	19	14	14	14	CharacteristicLang3013	20,20,200,30,30,300			120
3013012	19	19	19	19	14	14		19	19	19	19	14	14	CharacteristicLang3013	20,20,200,30,30,300			120
3013013	19	19	19	19	19	14		19	19	19	19	19	14	CharacteristicLang3013	20,20,200,30,30,300			120
3013014	19	19	19	19	19	19		19	19	19	19	19	19	CharacteristicLang3013	20,20,200,30,30,300			120
3013015	22	22	22	22	22	22		22	22	22	22	22	22	CharacteristicLang3013	30,30,300,40,40,400			140
3013016	28	22	22	22	22	22		28	22	22	22	22	22	CharacteristicLang3013	30,30,300,40,40,400			140
3013017	28	28	22	22	22	22		28	28	22	22	22	22	CharacteristicLang3013	30,30,300,40,40,400			140
3013018	28	28	28	22	22	22		28	28	28	22	22	22	CharacteristicLang3013	30,30,300,40,40,400			140
3013019	28	28	28	28	22	22		28	28	28	28	22	22	CharacteristicLang3013	30,30,300,40,40,400			140
3013020	28	28	28	28	28	22		28	28	28	28	28	22	CharacteristicLang3013	30,30,300,40,40,400			140
3013021	28	28	28	28	28	28		28	28	28	28	28	28	CharacteristicLang3013	30,30,300,40,40,400			140
3013022	32	32	32	32	32	32		32	32	32	32	32	32	CharacteristicLang3013	40,40,400,50,50,500			160
3013023	39	32	32	32	32	32		39	32	32	32	32	32	CharacteristicLang3013	40,40,400,50,50,500			160
3013024	39	39	32	32	32	32		39	39	32	32	32	32	CharacteristicLang3013	40,40,400,50,50,500			160
3013025	39	39	39	32	32	32		39	39	39	32	32	32	CharacteristicLang3013	40,40,400,50,50,500			160
3013026	39	39	39	39	32	32		39	39	39	39	32	32	CharacteristicLang3013	40,40,400,50,50,500			160
3013027	39	39	39	39	39	32		39	39	39	39	39	32	CharacteristicLang3013	40,40,400,50,50,500			160
3013028	39	39	39	39	39	39		39	39	39	39	39	39	CharacteristicLang3013	40,40,400,50,50,500			160
3013029	44	44	44	44	44	44		44	44	44	44	44	44	CharacteristicLangMax3013	50,50,500			180
3013030	53	53	53	53	53	53		53	53	53	53	53	53	CharacteristicLangMax3013	50,50,500	AwakeLang3013	0	360
3014001	8	8	8	8	8	8		8	8	8	8	8	8	CharacteristicLang3014	10,12			100
3014002	12	8	8	8	8	8		12	8	8	8	8	8	CharacteristicLang3014	10,12			100
3014003	12	12	8	8	8	8		12	12	8	8	8	8	CharacteristicLang3014	10,12			100
3014004	12	12	12	8	8	8		12	12	12	8	8	8	CharacteristicLang3014	10,12			100
3014005	12	12	12	12	8	8		12	12	12	12	8	8	CharacteristicLang3014	10,12			100
3014006	12	12	12	12	12	8		12	12	12	12	12	8	CharacteristicLang3014	10,12			100
3014007	12	12	12	12	12	12		12	12	12	12	12	12	CharacteristicLang3014	10,12			100
3014008	14	14	14	14	14	14		14	14	14	14	14	14	CharacteristicLang3014	12,14			120
3014009	19	14	14	14	14	14		19	14	14	14	14	14	CharacteristicLang3014	12,14			120
3014010	19	19	14	14	14	14		19	19	14	14	14	14	CharacteristicLang3014	12,14			120
3014011	19	19	19	14	14	14		19	19	19	14	14	14	CharacteristicLang3014	12,14			120
3014012	19	19	19	19	14	14		19	19	19	19	14	14	CharacteristicLang3014	12,14			120
3014013	19	19	19	19	19	14		19	19	19	19	19	14	CharacteristicLang3014	12,14			120
3014014	19	19	19	19	19	19		19	19	19	19	19	19	CharacteristicLang3014	12,14			120
3014015	22	22	22	22	22	22		22	22	22	22	22	22	CharacteristicLang3014	14,16			140
3014016	28	22	22	22	22	22		28	22	22	22	22	22	CharacteristicLang3014	14,16			140
3014017	28	28	22	22	22	22		28	28	22	22	22	22	CharacteristicLang3014	14,16			140
3014018	28	28	28	22	22	22		28	28	28	22	22	22	CharacteristicLang3014	14,16			140
3014019	28	28	28	28	22	22		28	28	28	28	22	22	CharacteristicLang3014	14,16			140
3014020	28	28	28	28	28	22		28	28	28	28	28	22	CharacteristicLang3014	14,16			140
3014021	28	28	28	28	28	28		28	28	28	28	28	28	CharacteristicLang3014	14,16			140
3014022	32	32	32	32	32	32		32	32	32	32	32	32	CharacteristicLang3014	16,20			160
3014023	39	32	32	32	32	32		39	32	32	32	32	32	CharacteristicLang3014	16,20			160
3014024	39	39	32	32	32	32		39	39	32	32	32	32	CharacteristicLang3014	16,20			160
3014025	39	39	39	32	32	32		39	39	39	32	32	32	CharacteristicLang3014	16,20			160
3014026	39	39	39	39	32	32		39	39	39	39	32	32	CharacteristicLang3014	16,20			160
3014027	39	39	39	39	39	32		39	39	39	39	39	32	CharacteristicLang3014	16,20			160
3014028	39	39	39	39	39	39		39	39	39	39	39	39	CharacteristicLang3014	16,20			160
3014029	44	44	44	44	44	44		44	44	44	44	44	44	CharacteristicLangMax3014	20			180
3014030	53	53	53	53	53	53		53	53	53	53	53	53	CharacteristicLangMax3014	20	AwakeLang3014	10	360
3015001	8	8	8	8	8	8		8	8	8	8	8	8	CharacteristicLang3015	40,60			100
3015002	12	8	8	8	8	8		12	8	8	8	8	8	CharacteristicLang3015	40,60			100
3015003	12	12	8	8	8	8		12	12	8	8	8	8	CharacteristicLang3015	40,60			100
3015004	12	12	12	8	8	8		12	12	12	8	8	8	CharacteristicLang3015	40,60			100
3015005	12	12	12	12	8	8		12	12	12	12	8	8	CharacteristicLang3015	40,60			100
3015006	12	12	12	12	12	8		12	12	12	12	12	8	CharacteristicLang3015	40,60			100
3015007	12	12	12	12	12	12		12	12	12	12	12	12	CharacteristicLang3015	40,60			100
3015008	14	14	14	14	14	14		14	14	14	14	14	14	CharacteristicLang3015	60,80			120
3015009	19	14	14	14	14	14		19	14	14	14	14	14	CharacteristicLang3015	60,80			120
3015010	19	19	14	14	14	14		19	19	14	14	14	14	CharacteristicLang3015	60,80			120
3015011	19	19	19	14	14	14		19	19	19	14	14	14	CharacteristicLang3015	60,80			120
3015012	19	19	19	19	14	14		19	19	19	19	14	14	CharacteristicLang3015	60,80			120
3015013	19	19	19	19	19	14		19	19	19	19	19	14	CharacteristicLang3015	60,80			120
3015014	19	19	19	19	19	19		19	19	19	19	19	19	CharacteristicLang3015	60,80			120
3015015	22	22	22	22	22	22		22	22	22	22	22	22	CharacteristicLang3015	80,100			140
3015016	28	22	22	22	22	22		28	22	22	22	22	22	CharacteristicLang3015	80,100			140
3015017	28	28	22	22	22	22		28	28	22	22	22	22	CharacteristicLang3015	80,100			140
3015018	28	28	28	22	22	22		28	28	28	22	22	22	CharacteristicLang3015	80,100			140
3015019	28	28	28	28	22	22		28	28	28	28	22	22	CharacteristicLang3015	80,100			140
3015020	28	28	28	28	28	22		28	28	28	28	28	22	CharacteristicLang3015	80,100			140
3015021	28	28	28	28	28	28		28	28	28	28	28	28	CharacteristicLang3015	80,100			140
3015022	32	32	32	32	32	32		32	32	32	32	32	32	CharacteristicLang3015	100,120			160
3015023	39	32	32	32	32	32		39	32	32	32	32	32	CharacteristicLang3015	100,120			160
3015024	39	39	32	32	32	32		39	39	32	32	32	32	CharacteristicLang3015	100,120			160
3015025	39	39	39	32	32	32		39	39	39	32	32	32	CharacteristicLang3015	100,120			160
3015026	39	39	39	39	32	32		39	39	39	39	32	32	CharacteristicLang3015	100,120			160
3015027	39	39	39	39	39	32		39	39	39	39	39	32	CharacteristicLang3015	100,120			160
3015028	39	39	39	39	39	39		39	39	39	39	39	39	CharacteristicLang3015	100,120			160
3015029	44	44	44	44	44	44		44	44	44	44	44	44	CharacteristicLangMax3015	120			180
3015030	53	53	53	53	53	53		53	53	53	53	53	53	CharacteristicLangMax3015	120	AwakeLang3015	1	360
3016001	8	8	8	8	8	8		8	8	8	8	8	8	CharacteristicLang3016	40,60			100
3016002	12	8	8	8	8	8		12	8	8	8	8	8	CharacteristicLang3016	40,60			100
3016003	12	12	8	8	8	8		12	12	8	8	8	8	CharacteristicLang3016	40,60			100
3016004	12	12	12	8	8	8		12	12	12	8	8	8	CharacteristicLang3016	40,60			100
3016005	12	12	12	12	8	8		12	12	12	12	8	8	CharacteristicLang3016	40,60			100
3016006	12	12	12	12	12	8		12	12	12	12	12	8	CharacteristicLang3016	40,60			100
3016007	12	12	12	12	12	12		12	12	12	12	12	12	CharacteristicLang3016	40,60			100
3016008	14	14	14	14	14	14		14	14	14	14	14	14	CharacteristicLang3016	60,80			120
3016009	19	14	14	14	14	14		19	14	14	14	14	14	CharacteristicLang3016	60,80			120
3016010	19	19	14	14	14	14		19	19	14	14	14	14	CharacteristicLang3016	60,80			120
3016011	19	19	19	14	14	14		19	19	19	14	14	14	CharacteristicLang3016	60,80			120
3016012	19	19	19	19	14	14		19	19	19	19	14	14	CharacteristicLang3016	60,80			120
3016013	19	19	19	19	19	14		19	19	19	19	19	14	CharacteristicLang3016	60,80			120
3016014	19	19	19	19	19	19		19	19	19	19	19	19	CharacteristicLang3016	60,80			120
3016015	22	22	22	22	22	22		22	22	22	22	22	22	CharacteristicLang3016	80,100			140
3016016	28	22	22	22	22	22		28	22	22	22	22	22	CharacteristicLang3016	80,100			140
3016017	28	28	22	22	22	22		28	28	22	22	22	22	CharacteristicLang3016	80,100			140
3016018	28	28	28	22	22	22		28	28	28	22	22	22	CharacteristicLang3016	80,100			140
3016019	28	28	28	28	22	22		28	28	28	28	22	22	CharacteristicLang3016	80,100			140
3016020	28	28	28	28	28	22		28	28	28	28	28	22	CharacteristicLang3016	80,100			140
3016021	28	28	28	28	28	28		28	28	28	28	28	28	CharacteristicLang3016	80,100			140
3016022	32	32	32	32	32	32		32	32	32	32	32	32	CharacteristicLang3016	100,120			160
3016023	39	32	32	32	32	32		39	32	32	32	32	32	CharacteristicLang3016	100,120			160
3016024	39	39	32	32	32	32		39	39	32	32	32	32	CharacteristicLang3016	100,120			160
3016025	39	39	39	32	32	32		39	39	39	32	32	32	CharacteristicLang3016	100,120			160
3016026	39	39	39	39	32	32		39	39	39	39	32	32	CharacteristicLang3016	100,120			160
3016027	39	39	39	39	39	32		39	39	39	39	39	32	CharacteristicLang3016	100,120			160
3016028	39	39	39	39	39	39		39	39	39	39	39	39	CharacteristicLang3016	100,120			160
3016029	44	44	44	44	44	44		44	44	44	44	44	44	CharacteristicLangMax3016	120			180
3016030	53	53	53	53	53	53		53	53	53	53	53	53	CharacteristicLangMax3016	120	AwakeLang3016	1	360
3017001	8	8	8	8	8	8		8	8	8	8	8	8	CharacteristicLang3017	400,600			100
3017002	12	8	8	8	8	8		12	8	8	8	8	8	CharacteristicLang3017	400,600			100
3017003	12	12	8	8	8	8		12	12	8	8	8	8	CharacteristicLang3017	400,600			100
3017004	12	12	12	8	8	8		12	12	12	8	8	8	CharacteristicLang3017	400,600			100
3017005	12	12	12	12	8	8		12	12	12	12	8	8	CharacteristicLang3017	400,600			100
3017006	12	12	12	12	12	8		12	12	12	12	12	8	CharacteristicLang3017	400,600			100
3017007	12	12	12	12	12	12		12	12	12	12	12	12	CharacteristicLang3017	400,600			100
3017008	14	14	14	14	14	14		14	14	14	14	14	14	CharacteristicLang3017	600,800			120
3017009	19	14	14	14	14	14		19	14	14	14	14	14	CharacteristicLang3017	600,800			120
3017010	19	19	14	14	14	14		19	19	14	14	14	14	CharacteristicLang3017	600,800			120
3017011	19	19	19	14	14	14		19	19	19	14	14	14	CharacteristicLang3017	600,800			120
3017012	19	19	19	19	14	14		19	19	19	19	14	14	CharacteristicLang3017	600,800			120
3017013	19	19	19	19	19	14		19	19	19	19	19	14	CharacteristicLang3017	600,800			120
3017014	19	19	19	19	19	19		19	19	19	19	19	19	CharacteristicLang3017	600,800			120
3017015	22	22	22	22	22	22		22	22	22	22	22	22	CharacteristicLang3017	800,1000			140
3017016	28	22	22	22	22	22		28	22	22	22	22	22	CharacteristicLang3017	800,1000			140
3017017	28	28	22	22	22	22		28	28	22	22	22	22	CharacteristicLang3017	800,1000			140
3017018	28	28	28	22	22	22		28	28	28	22	22	22	CharacteristicLang3017	800,1000			140
3017019	28	28	28	28	22	22		28	28	28	28	22	22	CharacteristicLang3017	800,1000			140
3017020	28	28	28	28	28	22		28	28	28	28	28	22	CharacteristicLang3017	800,1000			140
3017021	28	28	28	28	28	28		28	28	28	28	28	28	CharacteristicLang3017	800,1000			140
3017022	32	32	32	32	32	32		32	32	32	32	32	32	CharacteristicLang3017	1000,1200			160
3017023	39	32	32	32	32	32		39	32	32	32	32	32	CharacteristicLang3017	1000,1200			160
3017024	39	39	32	32	32	32		39	39	32	32	32	32	CharacteristicLang3017	1000,1200			160
3017025	39	39	39	32	32	32		39	39	39	32	32	32	CharacteristicLang3017	1000,1200			160
3017026	39	39	39	39	32	32		39	39	39	39	32	32	CharacteristicLang3017	1000,1200			160
3017027	39	39	39	39	39	32		39	39	39	39	39	32	CharacteristicLang3017	1000,1200			160
3017028	39	39	39	39	39	39		39	39	39	39	39	39	CharacteristicLang3017	1000,1200			160
3017029	44	44	44	44	44	44		44	44	44	44	44	44	CharacteristicLangMax3017	1200			180
3017030	53	53	53	53	53	53		53	53	53	53	53	53	CharacteristicLangMax3017	1200	AwakeLang3017	3000	360
4001001	18	19	18	19	18	19	3,40	18	19	18	19	18	19	CharacteristicLang4001	40,45			100
4001002	24	19	18	19	18	19	3,40	24	19	18	19	18	19	CharacteristicLang4001	40,45			100
4001003	24	25	18	19	18	19	3,40	24	25	18	19	18	19	CharacteristicLang4001	40,45			100
4001004	24	25	24	19	18	19	3,40	24	25	24	19	18	19	CharacteristicLang4001	40,45			100
4001005	24	25	24	25	18	19	3,40	24	25	24	25	18	19	CharacteristicLang4001	40,45			100
4001006	24	25	24	25	24	19	3,40	24	25	24	25	24	19	CharacteristicLang4001	40,45			100
4001007	24	25	24	25	24	25	3,40	24	25	24	25	24	25	CharacteristicLang4001	40,45			100
4001008	28	29	28	29	28	29	3,45	28	29	28	29	28	29	CharacteristicLang4001	45,50			110
4001009	35	29	28	29	28	29	3,45	35	29	28	29	28	29	CharacteristicLang4001	45,50			110
4001010	35	36	28	29	28	29	3,45	35	36	28	29	28	29	CharacteristicLang4001	45,50			110
4001011	35	36	35	29	28	29	3,45	35	36	35	29	28	29	CharacteristicLang4001	45,50			110
4001012	35	36	35	36	28	29	3,45	35	36	35	36	28	29	CharacteristicLang4001	45,50			110
4001013	35	36	35	36	35	29	3,45	35	36	35	36	35	29	CharacteristicLang4001	45,50			110
4001014	35	36	35	36	35	36	3,45	35	36	35	36	35	36	CharacteristicLang4001	45,50			110
4001015	40	41	40	41	40	41	3,50	40	41	40	41	40	41	CharacteristicLang4001	50,55			130
4001016	48	41	40	41	40	41	3,50	48	41	40	41	40	41	CharacteristicLang4001	50,55			130
4001017	48	49	40	41	40	41	3,50	48	49	40	41	40	41	CharacteristicLang4001	50,55			130
4001018	48	49	48	41	40	41	3,50	48	49	48	41	40	41	CharacteristicLang4001	50,55			130
4001019	48	49	48	49	40	41	3,50	48	49	48	49	40	41	CharacteristicLang4001	50,55			130
4001020	48	49	48	49	48	41	3,50	48	49	48	49	48	41	CharacteristicLang4001	50,55			130
4001021	48	49	48	49	48	49	3,50	48	49	48	49	48	49	CharacteristicLang4001	50,55			130
4001022	54	55	54	55	54	55	3,55	54	55	54	55	54	55	CharacteristicLang4001	55,60			150
4001023	63	55	54	55	54	55	3,55	63	55	54	55	54	55	CharacteristicLang4001	55,60			150
4001024	63	64	54	55	54	55	3,55	63	64	54	55	54	55	CharacteristicLang4001	55,60			150
4001025	63	64	63	55	54	55	3,55	63	64	63	55	54	55	CharacteristicLang4001	55,60			150
4001026	63	64	63	64	54	55	3,55	63	64	63	64	54	55	CharacteristicLang4001	55,60			150
4001027	63	64	63	64	63	55	3,55	63	64	63	64	63	55	CharacteristicLang4001	55,60			150
4001028	63	64	63	64	63	64	3,55	63	64	63	64	63	64	CharacteristicLang4001	55,60			150
4001029	70	71	70	71	70	71	3,60	70	71	70	71	70	71	CharacteristicLang4001	60,80			180
4001030	80	71	70	71	70	71	3,60	80	71	70	71	70	71	CharacteristicLang4001	60,80			180
4001031	80	81	70	71	70	71	3,60	80	81	70	71	70	71	CharacteristicLang4001	60,80			180
4001032	80	81	80	71	70	71	3,60	80	81	80	71	70	71	CharacteristicLang4001	60,80			180
4001033	80	81	80	81	70	71	3,60	80	81	80	81	70	71	CharacteristicLang4001	60,80			180
4001034	80	81	80	81	80	71	3,60	80	81	80	81	80	71	CharacteristicLang4001	60,80			180
4001035	80	81	80	81	80	81	3,60	80	81	80	81	80	81	CharacteristicLang4001	60,80			180
4001036	88	89	88	89	88	89	3,80	88	89	88	89	88	89	CharacteristicLangMax4001	80			200
4001037	103	104	103	104	103	104	3,160	103	104	103	104	103	104	CharacteristicLangMax4001	80	AwakeLang4001	80	400
4002001	18	19	18	19	18	19	4,40	18	19	18	19	18	19	CharacteristicLang4002	40,45			100
4002002	24	19	18	19	18	19	4,40	24	19	18	19	18	19	CharacteristicLang4002	40,45			100
4002003	24	25	18	19	18	19	4,40	24	25	18	19	18	19	CharacteristicLang4002	40,45			100
4002004	24	25	24	19	18	19	4,40	24	25	24	19	18	19	CharacteristicLang4002	40,45			100
4002005	24	25	24	25	18	19	4,40	24	25	24	25	18	19	CharacteristicLang4002	40,45			100
4002006	24	25	24	25	24	19	4,40	24	25	24	25	24	19	CharacteristicLang4002	40,45			100
4002007	24	25	24	25	24	25	4,40	24	25	24	25	24	25	CharacteristicLang4002	40,45			100
4002008	28	29	28	29	28	29	4,45	28	29	28	29	28	29	CharacteristicLang4002	45,50			110
4002009	35	29	28	29	28	29	4,45	35	29	28	29	28	29	CharacteristicLang4002	45,50			110
4002010	35	36	28	29	28	29	4,45	35	36	28	29	28	29	CharacteristicLang4002	45,50			110
4002011	35	36	35	29	28	29	4,45	35	36	35	29	28	29	CharacteristicLang4002	45,50			110
4002012	35	36	35	36	28	29	4,45	35	36	35	36	28	29	CharacteristicLang4002	45,50			110
4002013	35	36	35	36	35	29	4,45	35	36	35	36	35	29	CharacteristicLang4002	45,50			110
4002014	35	36	35	36	35	36	4,45	35	36	35	36	35	36	CharacteristicLang4002	45,50			110
4002015	40	41	40	41	40	41	4,50	40	41	40	41	40	41	CharacteristicLang4002	50,55			130
4002016	48	41	40	41	40	41	4,50	48	41	40	41	40	41	CharacteristicLang4002	50,55			130
4002017	48	49	40	41	40	41	4,50	48	49	40	41	40	41	CharacteristicLang4002	50,55			130
4002018	48	49	48	41	40	41	4,50	48	49	48	41	40	41	CharacteristicLang4002	50,55			130
4002019	48	49	48	49	40	41	4,50	48	49	48	49	40	41	CharacteristicLang4002	50,55			130
4002020	48	49	48	49	48	41	4,50	48	49	48	49	48	41	CharacteristicLang4002	50,55			130
4002021	48	49	48	49	48	49	4,50	48	49	48	49	48	49	CharacteristicLang4002	50,55			130
4002022	54	55	54	55	54	55	4,55	54	55	54	55	54	55	CharacteristicLang4002	55,60			150
4002023	63	55	54	55	54	55	4,55	63	55	54	55	54	55	CharacteristicLang4002	55,60			150
4002024	63	64	54	55	54	55	4,55	63	64	54	55	54	55	CharacteristicLang4002	55,60			150
4002025	63	64	63	55	54	55	4,55	63	64	63	55	54	55	CharacteristicLang4002	55,60			150
4002026	63	64	63	64	54	55	4,55	63	64	63	64	54	55	CharacteristicLang4002	55,60			150
4002027	63	64	63	64	63	55	4,55	63	64	63	64	63	55	CharacteristicLang4002	55,60			150
4002028	63	64	63	64	63	64	4,55	63	64	63	64	63	64	CharacteristicLang4002	55,60			150
4002029	70	71	70	71	70	71	4,60	70	71	70	71	70	71	CharacteristicLang4002	60,80			180
4002030	80	71	70	71	70	71	4,60	80	71	70	71	70	71	CharacteristicLang4002	60,80			180
4002031	80	81	70	71	70	71	4,60	80	81	70	71	70	71	CharacteristicLang4002	60,80			180
4002032	80	81	80	71	70	71	4,60	80	81	80	71	70	71	CharacteristicLang4002	60,80			180
4002033	80	81	80	81	70	71	4,60	80	81	80	81	70	71	CharacteristicLang4002	60,80			180
4002034	80	81	80	81	80	71	4,60	80	81	80	81	80	71	CharacteristicLang4002	60,80			180
4002035	80	81	80	81	80	81	4,60	80	81	80	81	80	81	CharacteristicLang4002	60,80			180
4002036	88	89	88	89	88	89	4,80	88	89	88	89	88	89	CharacteristicLangMax4002	80			200
4002037	103	104	103	104	103	104	4,160	103	104	103	104	103	104	CharacteristicLangMax4002	80	AwakeLang4002	80	400
4003001	18	19	18	19	18	19	1,400	18	19	18	19	18	19	CharacteristicLang4003	400,450			100
4003002	24	19	18	19	18	19	1,400	24	19	18	19	18	19	CharacteristicLang4003	400,450			100
4003003	24	25	18	19	18	19	1,400	24	25	18	19	18	19	CharacteristicLang4003	400,450			100
4003004	24	25	24	19	18	19	1,400	24	25	24	19	18	19	CharacteristicLang4003	400,450			100
4003005	24	25	24	25	18	19	1,400	24	25	24	25	18	19	CharacteristicLang4003	400,450			100
4003006	24	25	24	25	24	19	1,400	24	25	24	25	24	19	CharacteristicLang4003	400,450			100
4003007	24	25	24	25	24	25	1,400	24	25	24	25	24	25	CharacteristicLang4003	400,450			100
4003008	28	29	28	29	28	29	1,450	28	29	28	29	28	29	CharacteristicLang4003	450,500			110
4003009	35	29	28	29	28	29	1,450	35	29	28	29	28	29	CharacteristicLang4003	450,500			110
4003010	35	36	28	29	28	29	1,450	35	36	28	29	28	29	CharacteristicLang4003	450,500			110
4003011	35	36	35	29	28	29	1,450	35	36	35	29	28	29	CharacteristicLang4003	450,500			110
4003012	35	36	35	36	28	29	1,450	35	36	35	36	28	29	CharacteristicLang4003	450,500			110
4003013	35	36	35	36	35	29	1,450	35	36	35	36	35	29	CharacteristicLang4003	450,500			110
4003014	35	36	35	36	35	36	1,450	35	36	35	36	35	36	CharacteristicLang4003	450,500			110
4003015	40	41	40	41	40	41	1,500	40	41	40	41	40	41	CharacteristicLang4003	500,550			130
4003016	48	41	40	41	40	41	1,500	48	41	40	41	40	41	CharacteristicLang4003	500,550			130
4003017	48	49	40	41	40	41	1,500	48	49	40	41	40	41	CharacteristicLang4003	500,550			130
4003018	48	49	48	41	40	41	1,500	48	49	48	41	40	41	CharacteristicLang4003	500,550			130
4003019	48	49	48	49	40	41	1,500	48	49	48	49	40	41	CharacteristicLang4003	500,550			130
4003020	48	49	48	49	48	41	1,500	48	49	48	49	48	41	CharacteristicLang4003	500,550			130
4003021	48	49	48	49	48	49	1,500	48	49	48	49	48	49	CharacteristicLang4003	500,550			130
4003022	54	55	54	55	54	55	1,550	54	55	54	55	54	55	CharacteristicLang4003	550,600			150
4003023	63	55	54	55	54	55	1,550	63	55	54	55	54	55	CharacteristicLang4003	550,600			150
4003024	63	64	54	55	54	55	1,550	63	64	54	55	54	55	CharacteristicLang4003	550,600			150
4003025	63	64	63	55	54	55	1,550	63	64	63	55	54	55	CharacteristicLang4003	550,600			150
4003026	63	64	63	64	54	55	1,550	63	64	63	64	54	55	CharacteristicLang4003	550,600			150
4003027	63	64	63	64	63	55	1,550	63	64	63	64	63	55	CharacteristicLang4003	550,600			150
4003028	63	64	63	64	63	64	1,550	63	64	63	64	63	64	CharacteristicLang4003	550,600			150
4003029	70	71	70	71	70	71	1,600	70	71	70	71	70	71	CharacteristicLang4003	600,800			180
