流水	道具ID	宝石等级	宝石升级经验	宝石属性	宝石	宝石基础评分
347	item105900000058	7	21	301,23600;331,6200;302,3100	skill126009::buff_01	2500
348	item105900000058	8	28	301,24200;331,6400;302,3200	skill126009::buff_01	2500
349	item105900000058	9	36	301,24800;331,6600;302,3300	skill126009::buff_01	2500
350	item105900000058	10	45	301,25400;331,6800;302,3400	skill126009::buff_01	2500
351	item105900000058	11	55	301,26100;331,7050;302,3525	skill126009::buff_01	2500
352	item105900000058	12	66	301,26800;331,7300;302,3650	skill126009::buff_01	2500
353	item105900000058	13	78	301,27500;331,7550;302,3775	skill126009::buff_01	2500
354	item105900000058	14	91	301,28200;331,7800;302,3900	skill126009::buff_01	2500
355	item105900000058	15	105	301,28900;331,8050;302,4025	skill126009::buff_01	2500
356	item105900000058	16	120	301,29600;331,8300;302,4150	skill126009::buff_01	2500
357	item105900000058	17	136	301,30300;331,8550;302,4275	skill126009::buff_01	2500
358	item105900000058	18	153	301,31000;331,8800;302,4400	skill126009::buff_01	2500
359	item105900000058	19	171	301,31700;331,9050;302,4525	skill126009::buff_01	2500
360	item105900000058	20	190	301,33000;331,9500;302,4750	skill126009::buff_01	2500
361	item105900000058	21	210	301,33800;331,9800;302,5500	skill126009::buff_01	2500
362	item105900000058	22	231	301,34600;331,10100;302,6250	skill126009::buff_01	2500
363	item105900000058	23	253	301,35400;331,10400;302,7000	skill126009::buff_01	2500
364	item105900000058	24	276	301,36200;331,10700;302,7750	skill126009::buff_01	2500
365	item105900000058	25	300	301,37000;331,11000;302,8500	skill126009::buff_01	2500
366	item105900000058	26	325	301,37800;331,11300;302,9250	skill126009::buff_01	2500
367	item105900000058	27	351	301,38600;331,11600;302,10000	skill126009::buff_01	2500
368	item105900000058	28	378	301,39400;331,11900;302,10750	skill126009::buff_01	2500
369	item105900000058	29	406	301,40200;331,12200;302,11500	skill126009::buff_01	2500
370	item105900000058	30	435	301,41000;331,12500;302,12250	skill126009::buff_01	2500
371	item105900000058	31	465	301,41900;331,12850;302,13125	skill126009::buff_01	2500
372	item105900000058	32	496	301,42800;331,13200;302,14000	skill126009::buff_01	2500
373	item105900000058	33	528	301,43700;331,13550;302,14875	skill126009::buff_01	2500
374	item105900000058	34	561	301,44600;331,13900;302,15750	skill126009::buff_01	2500
375	item105900000058	35	595	301,45500;331,14250;302,16625	skill126009::buff_01	2500
376	item105900000058	36	630	301,46400;331,14600;302,17500	skill126009::buff_01	2500
377	item105900000058	37	666	301,47300;331,14950;302,18375	skill126009::buff_01	2500
378	item105900000058	38	703	301,48200;331,15300;302,19250	skill126009::buff_01	2500
379	item105900000058	39	741	301,49100;331,15650;302,20125	skill126009::buff_01	2500
380	item105900000058	40	780	301,50000;331,16000;302,21000	skill126009::buff_01	2500
381	item105900000058	41	820	301,51000;331,16400;302,22000	skill126009::buff_01	2500
382	item105900000058	42	861	301,52000;331,16800;302,23000	skill126009::buff_01	2500
383	item105900000058	43	903	301,53000;331,17200;302,24000	skill126009::buff_01	2500
384	item105900000058	44	946	301,54000;331,17600;302,25000	skill126009::buff_01	2500
385	item105900000058	45	990	301,55000;331,18000;302,26000	skill126009::buff_01	2500
386	item105900000058	46	1035	301,56000;331,18400;302,27000	skill126009::buff_01	2500
387	item105900000058	47	1081	301,57000;331,18800;302,28000	skill126009::buff_01	2500
388	item105900000058	48	1128	301,58000;331,19200;302,29000	skill126009::buff_01	2500
389	item105900000058	49	1176	301,59000;331,19600;302,30000	skill126009::buff_01	2500
390	item105900000058	50	1225	301,60000;331,20000;302,31000	skill126009::buff_01	2500
391	item105900000059	1	0	301,20000;331,5000;302,2500	skill126010::buff_01	2500
392	item105900000059	2	1	301,20600;331,5200;302,2600	skill126010::buff_01	2500
393	item105900000059	3	3	301,21200;331,5400;302,2700	skill126010::buff_01	2500
394	item105900000059	4	6	301,21800;331,5600;302,2800	skill126010::buff_01	2500
395	item105900000059	5	10	301,22400;331,5800;302,2900	skill126010::buff_01	2500
396	item105900000059	6	15	301,23000;331,6000;302,3000	skill126010::buff_01	2500
397	item105900000059	7	21	301,23600;331,6200;302,3100	skill126010::buff_01	2500
398	item105900000059	8	28	301,24200;331,6400;302,3200	skill126010::buff_01	2500
399	item105900000059	9	36	301,24800;331,6600;302,3300	skill126010::buff_01	2500
400	item105900000059	10	45	301,25400;331,6800;302,3400	skill126010::buff_01	2500
401	item105900000059	11	55	301,26100;331,7050;302,3525	skill126010::buff_01	2500
402	item105900000059	12	66	301,26800;331,7300;302,3650	skill126010::buff_01	2500
403	item105900000059	13	78	301,27500;331,7550;302,3775	skill126010::buff_01	2500
404	item105900000059	14	91	301,28200;331,7800;302,3900	skill126010::buff_01	2500
405	item105900000059	15	105	301,28900;331,8050;302,4025	skill126010::buff_01	2500
406	item105900000059	16	120	301,29600;331,8300;302,4150	skill126010::buff_01	2500
407	item105900000059	17	136	301,30300;331,8550;302,4275	skill126010::buff_01	2500
408	item105900000059	18	153	301,31000;331,8800;302,4400	skill126010::buff_01	2500
409	item105900000059	19	171	301,31700;331,9050;302,4525	skill126010::buff_01	2500
410	item105900000059	20	190	301,33000;331,9500;302,4750	skill126010::buff_01	2500
411	item105900000059	21	210	301,33800;331,9800;302,5500	skill126010::buff_01	2500
412	item105900000059	22	231	301,34600;331,10100;302,6250	skill126010::buff_01	2500
413	item105900000059	23	253	301,35400;331,10400;302,7000	skill126010::buff_01	2500
414	item105900000059	24	276	301,36200;331,10700;302,7750	skill126010::buff_01	2500
415	item105900000059	25	300	301,37000;331,11000;302,8500	skill126010::buff_01	2500
416	item105900000059	26	325	301,37800;331,11300;302,9250	skill126010::buff_01	2500
417	item105900000059	27	351	301,38600;331,11600;302,10000	skill126010::buff_01	2500
418	item105900000059	28	378	301,39400;331,11900;302,10750	skill126010::buff_01	2500
419	item105900000059	29	406	301,40200;331,12200;302,11500	skill126010::buff_01	2500
420	item105900000059	30	435	301,41000;331,12500;302,12250	skill126010::buff_01	2500
421	item105900000059	31	465	301,41900;331,12850;302,13125	skill126010::buff_01	2500
422	item105900000059	32	496	301,42800;331,13200;302,14000	skill126010::buff_01	2500
423	item105900000059	33	528	301,43700;331,13550;302,14875	skill126010::buff_01	2500
424	item105900000059	34	561	301,44600;331,13900;302,15750	skill126010::buff_01	2500
425	item105900000059	35	595	301,45500;331,14250;302,16625	skill126010::buff_01	2500
426	item105900000059	36	630	301,46400;331,14600;302,17500	skill126010::buff_01	2500
427	item105900000059	37	666	301,47300;331,14950;302,18375	skill126010::buff_01	2500
428	item105900000059	38	703	301,48200;331,15300;302,19250	skill126010::buff_01	2500
429	item105900000059	39	741	301,49100;331,15650;302,20125	skill126010::buff_01	2500
430	item105900000059	40	780	301,50000;331,16000;302,21000	skill126010::buff_01	2500
431	item105900000059	41	820	301,51000;331,16400;302,22000	skill126010::buff_01	2500
432	item105900000059	42	861	301,52000;331,16800;302,23000	skill126010::buff_01	2500
433	item105900000059	43	903	301,53000;331,17200;302,24000	skill126010::buff_01	2500
434	item105900000059	44	946	301,54000;331,17600;302,25000	skill126010::buff_01	2500
435	item105900000059	45	990	301,55000;331,18000;302,26000	skill126010::buff_01	2500
436	item105900000059	46	1035	301,56000;331,18400;302,27000	skill126010::buff_01	2500
437	item105900000059	47	1081	301,57000;331,18800;302,28000	skill126010::buff_01	2500
438	item105900000059	48	1128	301,58000;331,19200;302,29000	skill126010::buff_01	2500
439	item105900000059	49	1176	301,59000;331,19600;302,30000	skill126010::buff_01	2500
440	item105900000059	50	1225	301,60000;331,20000;302,31000	skill126010::buff_01	2500
