流水	宝石id	等级	经验需求	评分补偿	升级增加属性值
847	item107000053203	7	3600	168	41
848	item107000053203	8	5850	171	49
849	item107000053203	9	9100	174	57
850	item107000053203	10	13500	177	66
851	item107000053203	11	19300	180	75
852	item107000053203	12	26600	183	84
853	item107000053203	13	35700	186	94
854	item107000053203	14	46800	189	104
855	item107000053203	15	60000	192	114
856	item107000053204	1	0	150	0
857	item107000053204	2	150	153	6
858	item107000053204	3	350	156	12
859	item107000053204	4	650	159	19
860	item107000053204	5	1200	162	26
861	item107000053204	6	2100	165	33
862	item107000053204	7	3600	168	41
863	item107000053204	8	5850	171	49
864	item107000053204	9	9100	174	57
865	item107000053204	10	13500	177	66
866	item107000053204	11	19300	180	75
867	item107000053204	12	26600	183	84
868	item107000053204	13	35700	186	94
869	item107000053204	14	46800	189	104
870	item107000053204	15	60000	192	114
871	item107000053301	1	0	150	0
872	item107000053301	2	150	153	60
873	item107000053301	3	350	156	120
874	item107000053301	4	650	159	190
875	item107000053301	5	1200	162	260
876	item107000053301	6	2100	165	330
877	item107000053301	7	3600	168	410
878	item107000053301	8	5850	171	490
879	item107000053301	9	9100	174	570
880	item107000053301	10	13500	177	660
881	item107000053301	11	19300	180	750
882	item107000053301	12	26600	183	840
883	item107000053301	13	35700	186	940
884	item107000053301	14	46800	189	1040
885	item107000053301	15	60000	192	1140
886	item107000053302	1	0	150	0
887	item107000053302	2	150	153	60
888	item107000053302	3	350	156	120
889	item107000053302	4	650	159	190
890	item107000053302	5	1200	162	260
891	item107000053302	6	2100	165	330
892	item107000053302	7	3600	168	410
893	item107000053302	8	5850	171	490
894	item107000053302	9	9100	174	570
895	item107000053302	10	13500	177	660
896	item107000053302	11	19300	180	750
897	item107000053302	12	26600	183	840
898	item107000053302	13	35700	186	940
899	item107000053302	14	46800	189	1040
900	item107000053302	15	60000	192	1140
901	item107000053303	1	0	150	0
902	item107000053303	2	150	153	60
903	item107000053303	3	350	156	120
904	item107000053303	4	650	159	190
905	item107000053303	5	1200	162	260
906	item107000053303	6	2100	165	330
907	item107000053303	7	3600	168	410
908	item107000053303	8	5850	171	490
909	item107000053303	9	9100	174	570
910	item107000053303	10	13500	177	660
911	item107000053303	11	19300	180	750
912	item107000053303	12	26600	183	840
913	item107000053303	13	35700	186	940
914	item107000053303	14	46800	189	1040
915	item107000053303	15	60000	192	1140
916	item117000052101	1	0	130	0
917	item117000052101	2	100	133	5
918	item117000052101	3	250	136	10
919	item117000052101	4	500	139	16
920	item117000052101	5	850	142	22
921	item117000052101	6	1400	145	28
922	item117000052101	7	2250	148	35
923	item117000052101	8	3500	151	42
924	item117000052101	9	5250	154	49
925	item117000052101	10	7500	157	57
926	item117000052101	11	10300	160	65
927	item117000052101	12	13800	163	73
928	item117000052101	13	18150	166	82
929	item117000052101	14	23500	169	91
930	item117000052101	15	30000	172	100
931	item117000052201	1	0	130	0
932	item117000052201	2	100	133	5
933	item117000052201	3	250	136	10
934	item117000052201	4	500	139	16
935	item117000052201	5	850	142	22
936	item117000052201	6	1400	145	28
937	item117000052201	7	2250	148	35
938	item117000052201	8	3500	151	42
939	item117000052201	9	5250	154	49
940	item117000052201	10	7500	157	57
941	item117000052201	11	10300	160	65
942	item117000052201	12	13800	163	73
943	item117000052201	13	18150	166	82
944	item117000052201	14	23500	169	91
945	item117000052201	15	30000	172	100
946	item117000052302	1	0	130	0
947	item117000052302	2	100	133	50
948	item117000052302	3	250	136	100
949	item117000052302	4	500	139	160
950	item117000052302	5	850	142	220
951	item117000052302	6	1400	145	280
952	item117000052302	7	2250	148	350
953	item117000052302	8	3500	151	420
954	item117000052302	9	5250	154	490
955	item117000052302	10	7500	157	570
956	item117000052302	11	10300	160	650
957	item117000052302	12	13800	163	730
958	item117000052302	13	18150	166	820
959	item117000052302	14	23500	169	910
960	item117000052302	15	30000	172	1000
961	item117000052103	1	0	130	0
962	item117000052103	2	100	133	5
963	item117000052103	3	250	136	10
964	item117000052103	4	500	139	16
965	item117000052103	5	850	142	22
966	item117000052103	6	1400	145	28
967	item117000052103	7	2250	148	35
968	item117000052103	8	3500	151	42
969	item117000052103	9	5250	154	49
970	item117000052103	10	7500	157	57
971	item117000052103	11	10300	160	65
972	item117000052103	12	13800	163	73
973	item117000052103	13	18150	166	82
974	item117000052103	14	23500	169	91
975	item117000052103	15	30000	172	100
976	item117000052203	1	0	130	0
977	item117000052203	2	100	133	5
978	item117000052203	3	250	136	10
979	item117000052203	4	500	139	16
980	item117000052203	5	850	142	22
981	item117000052203	6	1400	145	28
982	item117000052203	7	2250	148	35
983	item117000052203	8	3500	151	42
984	item117000052203	9	5250	154	49
985	item117000052203	10	7500	157	57
986	item117000052203	11	10300	160	65
987	item117000052203	12	13800	163	73
988	item117000052203	13	18150	166	82
989	item117000052203	14	23500	169	91
990	item117000052203	15	30000	172	100
991	item117000052303	1	0	130	0
992	item117000052303	2	100	133	50
993	item117000052303	3	250	136	100
994	item117000052303	4	500	139	160
995	item117000052303	5	850	142	220
996	item117000052303	6	1400	145	280
997	item117000052303	7	2250	148	350
998	item117000052303	8	3500	151	420
999	item117000052303	9	5250	154	490
1000	item117000052303	10	7500	157	570
1001	item117000052303	11	10300	160	650
1002	item117000052303	12	13800	163	730
1003	item117000052303	13	18150	166	820
1004	item117000052303	14	23500	169	910
1005	item117000052303	15	30000	172	1000
1006	item117000051305	1	0	110	0
1007	item117000051305	2	100	113	40
1008	item117000051305	3	250	116	80
1009	item117000051305	4	450	119	130
1010	item117000051305	5	750	122	180
1011	item117000051305	6	1150	125	230
1012	item117000051305	7	1700	128	290
1013	item117000051305	8	2400	131	350
1014	item117000051305	9	3300	134	410
1015	item117000051305	10	4400	137	480
1016	item117000051305	11	5800	140	550
1017	item117000051305	12	7500	143	620
1018	item117000051305	13	9550	146	700
1019	item117000051305	14	12050	149	780
1020	item117000051305	15	15000	152	860
1021	item107000051103	1	0	110	0
1022	item107000051103	2	100	113	4
1023	item107000051103	3	250	116	8
1024	item107000051103	4	450	119	13
1025	item107000051103	5	750	122	18
1026	item107000051103	6	1150	125	23
1027	item107000051103	7	1700	128	29
1028	item107000051103	8	2400	131	35
1029	item107000051103	9	3300	134	41
1030	item107000051103	10	4400	137	48
1031	item107000051103	11	5800	140	55
1032	item107000051103	12	7500	143	62
1033	item107000051103	13	9550	146	70
1034	item107000051103	14	12050	149	78
1035	item107000051103	15	15000	152	86
1036	item107000051204	1	0	110	0
1037	item107000051204	2	100	113	4
1038	item107000051204	3	250	116	8
1039	item107000051204	4	450	119	13
1040	item107000051204	5	750	122	18
1041	item107000051204	6	1150	125	23
1042	item107000051204	7	1700	128	29
1043	item107000051204	8	2400	131	35
1044	item107000051204	9	3300	134	41
1045	item107000051204	10	4400	137	48
1046	item107000051204	11	5800	140	55
1047	item107000051204	12	7500	143	62
1048	item107000051204	13	9550	146	70
1049	item107000051204	14	12050	149	78
1050	item107000051204	15	15000	152	86
1051	item107000051303	1	0	110	0
1052	item107000051303	2	100	113	40
1053	item107000051303	3	250	116	80
1054	item107000051303	4	450	119	130
1055	item107000051303	5	750	122	180
1056	item107000051303	6	1150	125	230
1057	item107000051303	7	1700	128	290
1058	item107000051303	8	2400	131	350
1059	item107000051303	9	3300	134	410
1060	item107000051303	10	4400	137	480
1061	item107000051303	11	5800	140	550
1062	item107000051303	12	7500	143	620
1063	item107000051303	13	9550	146	700
1064	item107000051303	14	12050	149	780
1065	item107000051303	15	15000	152	860
1066	item107000052104	1	0	130	0
1067	item107000052104	2	100	133	5
1068	item107000052104	3	250	136	10
1069	item107000052104	4	500	139	16
1070	item107000052104	5	850	142	22
1071	item107000052104	6	1400	145	28
1072	item107000052104	7	2250	148	35
1073	item107000052104	8	3500	151	42
1074	item107000052104	9	5250	154	49
1075	item107000052104	10	7500	157	57
1076	item107000052104	11	10300	160	65
1077	item107000052104	12	13800	163	73
1078	item107000052104	13	18150	166	82
1079	item107000052104	14	23500	169	91
1080	item107000052104	15	30000	172	100
1081	item107000052204	1	0	130	0
1082	item107000052204	2	100	133	5
1083	item107000052204	3	250	136	10
1084	item107000052204	4	500	139	16
1085	item107000052204	5	850	142	22
1086	item107000052204	6	1400	145	28
1087	item107000052204	7	2250	148	35
1088	item107000052204	8	3500	151	42
1089	item107000052204	9	5250	154	49
1090	item107000052204	10	7500	157	57
1091	item107000052204	11	10300	160	65
1092	item107000052204	12	13800	163	73
1093	item107000052204	13	18150	166	82
1094	item107000052204	14	23500	169	91
1095	item107000052204	15	30000	172	100
1096	item107000052304	1	0	130	0
1097	item107000052304	2	100	133	50
1098	item107000052304	3	250	136	100
1099	item107000052304	4	500	139	160
1100	item107000052304	5	850	142	220
1101	item107000052304	6	1400	145	280
1102	item107000052304	7	2250	148	350
1103	item107000052304	8	3500	151	420
1104	item107000052304	9	5250	154	490
1105	item107000052304	10	7500	157	570
1106	item107000052304	11	10300	160	650
1107	item107000052304	12	13800	163	730
1108	item107000052304	13	18150	166	820
1109	item107000052304	14	23500	169	910
1110	item107000052304	15	30000	172	1000
1111	item107000053205	1	0	150	0
1112	item107000053205	2	150	153	6
1113	item107000053205	3	350	156	12
1114	item107000053205	4	650	159	19
1115	item107000053205	5	1200	162	26
1116	item107000053205	6	2100	165	33
1117	item107000053205	7	3600	168	41
1118	item107000053205	8	5850	171	49
1119	item107000053205	9	9100	174	57
1120	item107000053205	10	13500	177	66
1121	item107000053205	11	19300	180	75
1122	item107000053205	12	26600	183	84
1123	item107000053205	13	35700	186	94
1124	item107000053205	14	46800	189	104
1125	item107000053205	15	60000	192	114
1126	item107000053206	1	0	150	0
1127	item107000053206	2	150	153	6
1128	item107000053206	3	350	156	12
1129	item107000053206	4	650	159	19
1130	item107000053206	5	1200	162	26
1131	item107000053206	6	2100	165	33
1132	item107000053206	7	3600	168	41
1133	item107000053206	8	5850	171	49
1134	item107000053206	9	9100	174	57
1135	item107000053206	10	13500	177	66
1136	item107000053206	11	19300	180	75
1137	item107000053206	12	26600	183	84
1138	item107000053206	13	35700	186	94
1139	item107000053206	14	46800	189	104
1140	item107000053206	15	60000	192	114
1141	item107000053207	1	0	150	0
1142	item107000053207	2	150	153	6
1143	item107000053207	3	350	156	12
1144	item107000053207	4	650	159	19
1145	item107000053207	5	1200	162	26
1146	item107000053207	6	2100	165	33
1147	item107000053207	7	3600	168	41
1148	item107000053207	8	5850	171	49
1149	item107000053207	9	9100	174	57
1150	item107000053207	10	13500	177	66
1151	item107000053207	11	19300	180	75
1152	item107000053207	12	26600	183	84
1153	item107000053207	13	35700	186	94
1154	item107000053207	14	46800	189	104
1155	item107000053207	15	60000	192	114
1156	item107000051205	1	0	110	0
1157	item107000051205	2	100	113	4
1158	item107000051205	3	250	116	8
1159	item107000051205	4	450	119	13
1160	item107000051205	5	750	122	18
1161	item107000051205	6	1150	125	23
1162	item107000051205	7	1700	128	29
1163	item107000051205	8	2400	131	35
1164	item107000051205	9	3300	134	41
1165	item107000051205	10	4400	137	48
1166	item107000051205	11	5800	140	55
1167	item107000051205	12	7500	143	62
1168	item107000051205	13	9550	146	70
1169	item107000051205	14	12050	149	78
1170	item107000051205	15	15000	152	86
1171	item107000052205	1	0	130	0
1172	item107000052205	2	100	133	5
1173	item107000052205	3	250	136	10
1174	item107000052205	4	500	139	16
1175	item107000052205	5	850	142	22
1176	item107000052205	6	1400	145	28
1177	item107000052205	7	2250	148	35
1178	item107000052205	8	3500	151	42
1179	item107000052205	9	5250	154	49
1180	item107000052205	10	7500	157	57
1181	item107000052205	11	10300	160	65
1182	item107000052205	12	13800	163	73
1183	item107000052205	13	18150	166	82
1184	item107000052205	14	23500	169	91
1185	item107000052205	15	30000	172	100
1186	item107000052105	1	0	130	0
1187	item107000052105	2	100	133	6
1188	item107000052105	3	250	136	12
1189	item107000052105	4	500	139	19
1190	item107000052105	5	850	142	26
1191	item107000052105	6	1400	145	33
1192	item107000052105	7	2250	148	41
1193	item107000052105	8	3500	151	49
1194	item107000052105	9	5250	154	57
1195	item107000052105	10	7500	157	66
1196	item107000052105	11	10300	160	75
1197	item107000052105	12	13800	163	84
1198	item107000052105	13	18150	166	94
1199	item107000052105	14	23500	169	104
1200	item107000052105	15	30000	172	114
1201	item107000052206	1	0	130	0
1202	item107000052206	2	100	133	6
1203	item107000052206	3	250	136	12
1204	item107000052206	4	500	139	19
1205	item107000052206	5	850	142	26
1206	item107000052206	6	1400	145	33
1207	item107000052206	7	2250	148	41
1208	item107000052206	8	3500	151	49
1209	item107000052206	9	5250	154	57
1210	item107000052206	10	7500	157	66
1211	item107000052206	11	10300	160	75
1212	item107000052206	12	13800	163	84
1213	item107000052206	13	18150	166	94
1214	item107000052206	14	23500	169	104
1215	item107000052206	15	30000	172	114
1216	item107000052305	1	0	130	0
1217	item107000052305	2	100	133	60
1218	item107000052305	3	250	136	120
1219	item107000052305	4	500	139	190
1220	item107000052305	5	850	142	260
1221	item107000052305	6	1400	145	330
1222	item107000052305	7	2250	148	410
1223	item107000052305	8	3500	151	490
1224	item107000052305	9	5250	154	570
1225	item107000052305	10	7500	157	660
1226	item107000052305	11	10300	160	750
1227	item107000052305	12	13800	163	840
1228	item107000052305	13	18150	166	940
1229	item107000052305	14	23500	169	1040
1230	item107000052305	15	30000	172	1140
1231	item107000052207	1	0	130	0
1232	item107000052207	2	100	133	5
1233	item107000052207	3	250	136	10
1234	item107000052207	4	500	139	16
1235	item107000052207	5	850	142	22
1236	item107000052207	6	1400	145	28
1237	item107000052207	7	2250	148	35
1238	item107000052207	8	3500	151	42
1239	item107000052207	9	5250	154	49
1240	item107000052207	10	7500	157	57
1241	item107000052207	11	10300	160	65
1242	item107000052207	12	13800	163	73
1243	item107000052207	13	18150	166	82
1244	item107000052207	14	23500	169	91
1245	item107000052207	15	30000	172	100
1246	item107000053104	1	0	150	0
1247	item107000053104	2	150	153	6
1248	item107000053104	3	350	156	12
1249	item107000053104	4	650	159	19
1250	item107000053104	5	1200	162	26
1251	item107000053104	6	2100	165	33
1252	item107000053104	7	3600	168	41
1253	item107000053104	8	5850	171	49
1254	item107000053104	9	9100	174	57
1255	item107000053104	10	13500	177	66
1256	item107000053104	11	19300	180	75
1257	item107000053104	12	26600	183	84
1258	item107000053104	13	35700	186	94
1259	item107000053104	14	46800	189	104
1260	item107000053104	15	60000	192	114
1261	item107000053208	1	0	150	0
1262	item107000053208	2	150	153	6
1263	item107000053208	3	350	156	12
1264	item107000053208	4	650	159	19
1265	item107000053208	5	1200	162	26
1266	item107000053208	6	2100	165	33
1267	item107000053208	7	3600	168	41
1268	item107000053208	8	5850	171	49
1269	item107000053208	9	9100	174	57
1270	item107000053208	10	13500	177	66
1271	item107000053208	11	19300	180	75
1272	item107000053208	12	26600	183	84
1273	item107000053208	13	35700	186	94
1274	item107000053208	14	46800	189	104
1275	item107000053208	15	60000	192	114
1276	item107000053304	1	0	150	0
1277	item107000053304	2	150	153	60
1278	item107000053304	3	350	156	120
1279	item107000053304	4	650	159	190
1280	item107000053304	5	1200	162	260
1281	item107000053304	6	2100	165	330
1282	item107000053304	7	3600	168	410
1283	item107000053304	8	5850	171	490
1284	item107000053304	9	9100	174	570
1285	item107000053304	10	13500	177	660
1286	item107000053304	11	19300	180	750
1287	item107000053304	12	26600	183	840
1288	item107000053304	13	35700	186	940
1289	item107000053304	14	46800	189	1040
1290	item107000053304	15	60000	192	1140
1291	item107000043104	1	0	90	0
1292	item107000043104	2	50	92	4
1293	item107000043104	3	150	94	8
1294	item107000043104	4	300	96	13
1295	item107000043104	5	550	98	18
1296	item107000043104	6	950	100	23
1297	item107000043104	7	1550	102	29
1298	item107000043104	8	2400	104	35
1299	item107000043104	9	3550	106	41
1300	item107000043104	10	5100	108	48
1301	item107000043104	11	7200	110	55
1302	item107000043104	12	10000	112	62
1303	item107000051104	1	0	110	0
1304	item107000051104	2	100	113	4
1305	item107000051104	3	250	116	8
1306	item107000051104	4	450	119	13
1307	item107000051104	5	750	122	18
1308	item107000051104	6	1150	125	23
1309	item107000051104	7	1700	128	29
1310	item107000051104	8	2400	131	35
1311	item107000051104	9	3300	134	41
1312	item107000051104	10	4400	137	48
1313	item107000051104	11	5800	140	55
1314	item107000051104	12	7500	143	62
1315	item107000051104	13	9550	146	70
1316	item107000051104	14	12050	149	78
1317	item107000051104	15	15000	152	86
1318	item107000052106	1	0	130	0
1319	item107000052106	2	100	133	5
1320	item107000052106	3	250	136	10
1321	item107000052106	4	500	139	16
1322	item107000052106	5	850	142	22
1323	item107000052106	6	1400	145	28
1324	item107000052106	7	2250	148	35
1325	item107000052106	8	3500	151	42
1326	item107000052106	9	5250	154	49
1327	item107000052106	10	7500	157	57
1328	item107000052106	11	10300	160	65
1329	item107000052106	12	13800	163	73
1330	item107000052106	13	18150	166	82
1331	item107000052106	14	23500	169	91
1332	item107000052106	15	30000	172	100
1333	item107000053105	1	0	150	0
1334	item107000053105	2	150	153	6
1335	item107000053105	3	350	156	12
1336	item107000053105	4	650	159	19
1337	item107000053105	5	1200	162	26
1338	item107000053105	6	2100	165	33
1339	item107000053105	7	3600	168	41
1340	item107000053105	8	5850	171	49
1341	item107000053105	9	9100	174	57
1342	item107000053105	10	13500	177	66
1343	item107000053105	11	19300	180	75
1344	item107000053105	12	26600	183	84
1345	item107000053105	13	35700	186	94
1346	item107000053105	14	46800	189	104
1347	item107000053105	15	60000	192	114
1348	item107000053209	1	0	150	0
1349	item107000053209	2	150	153	6
1350	item107000053209	3	350	156	12
1351	item107000053209	4	650	159	19
1352	item107000053209	5	1200	162	26
1353	item107000053209	6	2100	165	33
1354	item107000053209	7	3600	168	41
1355	item107000053209	8	5850	171	49
1356	item107000053209	9	9100	174	57
1357	item107000053209	10	13500	177	66
1358	item107000053209	11	19300	180	75
1359	item107000053209	12	26600	183	84
1360	item107000053209	13	35700	186	94
1361	item107000053209	14	46800	189	104
1362	item107000053209	15	60000	192	114
1363	item107000053305	1	0	150	0
1364	item107000053305	2	150	153	60
1365	item107000053305	3	350	156	120
1366	item107000053305	4	650	159	190
1367	item107000053305	5	1200	162	260
1368	item107000053305	6	2100	165	330
1369	item107000053305	7	3600	168	410
1370	item107000053305	8	5850	171	490
1371	item107000053305	9	9100	174	570
1372	item107000053305	10	13500	177	660
1373	item107000053305	11	19300	180	750
1374	item107000053305	12	26600	183	840
1375	item107000053305	13	35700	186	940
1376	item107000053305	14	46800	189	1040
1377	item107000053305	15	60000	192	1140
1378	item107000053106	1	0	150	0
1379	item107000053106	2	150	153	6
1380	item107000053106	3	350	156	12
1381	item107000053106	4	650	159	19
1382	item107000053106	5	1200	162	26
1383	item107000053106	6	2100	165	33
1384	item107000053106	7	3600	168	41
1385	item107000053106	8	5850	171	49
1386	item107000053106	9	9100	174	57
1387	item107000053106	10	13500	177	66
1388	item107000053106	11	19300	180	75
1389	item107000053106	12	26600	183	84
1390	item107000053106	13	35700	186	94
1391	item107000053106	14	46800	189	104
1392	item107000053106	15	60000	192	114
1393	item107000053210	1	0	150	0
1394	item107000053210	2	150	153	6
1395	item107000053210	3	350	156	12
1396	item107000053210	4	650	159	19
1397	item107000053210	5	1200	162	26
1398	item107000053210	6	2100	165	33
1399	item107000053210	7	3600	168	41
1400	item107000053210	8	5850	171	49
1401	item107000053210	9	9100	174	57
1402	item107000053210	10	13500	177	66
1403	item107000053210	11	19300	180	75
1404	item107000053210	12	26600	183	84
1405	item107000053210	13	35700	186	94
1406	item107000053210	14	46800	189	104
1407	item107000053210	15	60000	192	114
1408	item107000053306	1	0	150	0
1409	item107000053306	2	150	153	60
1410	item107000053306	3	350	156	120
1411	item107000053306	4	650	159	190
1412	item107000053306	5	1200	162	260
1413	item107000053306	6	2100	165	330
1414	item107000053306	7	3600	168	410
1415	item107000053306	8	5850	171	490
1416	item107000053306	9	9100	174	570
1417	item107000053306	10	13500	177	660
1418	item107000053306	11	19300	180	750
1419	item107000053306	12	26600	183	840
1420	item107000053306	13	35700	186	940
1421	item107000053306	14	46800	189	1040
1422	item107000053306	15	60000	192	1140
1423	item107000053107	1	0	150	0
1424	item107000053107	2	150	153	6
1425	item107000053107	3	350	156	12
1426	item107000053107	4	650	159	19
1427	item107000053107	5	1200	162	26
1428	item107000053107	6	2100	165	33
1429	item107000053107	7	3600	168	41
1430	item107000053107	8	5850	171	49
1431	item107000053107	9	9100	174	57
1432	item107000053107	10	13500	177	66
1433	item107000053107	11	19300	180	75
1434	item107000053107	12	26600	183	84
1435	item107000053107	13	35700	186	94
1436	item107000053107	14	46800	189	104
1437	item107000053107	15	60000	192	114
1438	item107000053212	1	0	150	0
1439	item107000053212	2	150	153	6
1440	item107000053212	3	350	156	12
1441	item107000053212	4	650	159	19
1442	item107000053212	5	1200	162	26
1443	item107000053212	6	2100	165	33
1444	item107000053212	7	3600	168	41
1445	item107000053212	8	5850	171	49
1446	item107000053212	9	9100	174	57
1447	item107000053212	10	13500	177	66
1448	item107000053212	11	19300	180	75
1449	item107000053212	12	26600	183	84
1450	item107000053212	13	35700	186	94
1451	item107000053212	14	46800	189	104
1452	item107000053212	15	60000	192	114
1453	item107000053307	1	0	150	0
1454	item107000053307	2	150	153	60
1455	item107000053307	3	350	156	120
1456	item107000053307	4	650	159	190
1457	item107000053307	5	1200	162	260
1458	item107000053307	6	2100	165	330
1459	item107000053307	7	3600	168	410
1460	item107000053307	8	5850	171	490
1461	item107000053307	9	9100	174	570
1462	item107000053307	10	13500	177	660
1463	item107000053307	11	19300	180	750
1464	item107000053307	12	26600	183	840
1465	item107000053307	13	35700	186	940
1466	item107000053307	14	46800	189	1040
1467	item107000053307	15	60000	192	1140
1468	item107000043204	1	0	90	0
1469	item107000043204	2	50	92	4
1470	item107000043204	3	150	94	8
1471	item107000043204	4	300	96	13
1472	item107000043204	5	550	98	18
1473	item107000043204	6	950	100	23
1474	item107000043204	7	1550	102	29
1475	item107000043204	8	2400	104	35
1476	item107000043204	9	3550	106	41
1477	item107000043204	10	5100	108	48
1478	item107000043204	11	7200	110	55
1479	item107000043204	12	10000	112	62
1480	item107000051206	1	0	110	0
1481	item107000051206	2	100	113	4
1482	item107000051206	3	250	116	8
1483	item107000051206	4	450	119	13
1484	item107000051206	5	750	122	18
1485	item107000051206	6	1150	125	23
1486	item107000051206	7	1700	128	29
1487	item107000051206	8	2400	131	35
1488	item107000051206	9	3300	134	41
1489	item107000051206	10	4400	137	48
1490	item107000051206	11	5800	140	55
1491	item107000051206	12	7500	143	62
1492	item107000051206	13	9550	146	70
1493	item107000051206	14	12050	149	78
1494	item107000051206	15	15000	152	86
1495	item107000052208	1	0	130	0
1496	item107000052208	2	100	133	5
1497	item107000052208	3	250	136	10
1498	item107000052208	4	500	139	16
1499	item107000052208	5	850	142	22
1500	item107000052208	6	1400	145	28
1501	item107000052208	7	2250	148	35
1502	item107000052208	8	3500	151	42
1503	item107000052208	9	5250	154	49
1504	item107000052208	10	7500	157	57
1505	item107000052208	11	10300	160	65
1506	item107000052208	12	13800	163	73
1507	item107000052208	13	18150	166	82
1508	item107000052208	14	23500	169	91
1509	item107000052208	15	30000	172	100
1510	item107000053211	1	0	150	0
1511	item107000053211	2	150	153	6
1512	item107000053211	3	350	156	12
1513	item107000053211	4	650	159	19
1514	item107000053211	5	1200	162	26
1515	item107000053211	6	2100	165	33
1516	item107000053211	7	3600	168	41
1517	item107000053211	8	5850	171	49
1518	item107000053211	9	9100	174	57
1519	item107000053211	10	13500	177	66
1520	item107000053211	11	19300	180	75
1521	item107000053211	12	26600	183	84
1522	item107000053211	13	35700	186	94
1523	item107000053211	14	46800	189	104
1524	item107000053211	15	60000	192	114
1525	item107000053308	1	0	150	0
1526	item107000053308	2	150	153	60
1527	item107000053308	3	350	156	120
1528	item107000053308	4	650	159	190
1529	item107000053308	5	1200	162	260
1530	item107000053308	6	2100	165	330
1531	item107000053308	7	3600	168	410
1532	item107000053308	8	5850	171	490
1533	item107000053308	9	9100	174	570
1534	item107000053308	10	13500	177	660
1535	item107000053308	11	19300	180	750
1536	item107000053308	12	26600	183	840
1537	item107000053308	13	35700	186	940
1538	item107000053308	14	46800	189	1040
1539	item107000053308	15	60000	192	1140
1540	item107000043105	1	0	90	0
1541	item107000043105	2	50	92	4
1542	item107000043105	3	150	94	8
1543	item107000043105	4	300	96	13
1544	item107000043105	5	550	98	18
1545	item107000043105	6	950	100	23
1546	item107000043105	7	1550	102	29
1547	item107000043105	8	2400	104	35
1548	item107000043105	9	3550	106	41
1549	item107000043105	10	5100	108	48
1550	item107000043105	11	7200	110	55
1551	item107000043105	12	10000	112	62
1552	item107000053108	1	0	150	0
1553	item107000053108	2	150	153	6
1554	item107000053108	3	350	156	12
1555	item107000053108	4	650	159	19
1556	item107000053108	5	1200	162	26
1557	item107000053108	6	2100	165	33
1558	item107000053108	7	3600	168	41
1559	item107000053108	8	5850	171	49
1560	item107000053108	9	9100	174	57
1561	item107000053108	10	13500	177	66
1562	item107000053108	11	19300	180	75
1563	item107000053108	12	26600	183	84
1564	item107000053108	13	35700	186	94
1565	item107000053108	14	46800	189	104
1566	item107000053108	15	60000	192	114
1567	item107000053213	1	0	150	0
1568	item107000053213	2	150	153	6
1569	item107000053213	3	350	156	12
1570	item107000053213	4	650	159	19
1571	item107000053213	5	1200	162	26
1572	item107000053213	6	2100	165	33
1573	item107000053213	7	3600	168	41
1574	item107000053213	8	5850	171	49
1575	item107000053213	9	9100	174	57
1576	item107000053213	10	13500	177	66
1577	item107000053213	11	19300	180	75
1578	item107000053213	12	26600	183	84
1579	item107000053213	13	35700	186	94
1580	item107000053213	14	46800	189	104
1581	item107000053213	15	60000	192	114
1582	item107000053309	1	0	150	0
1583	item107000053309	2	150	153	60
1584	item107000053309	3	350	156	120
1585	item107000053309	4	650	159	190
1586	item107000053309	5	1200	162	260
1587	item107000053309	6	2100	165	330
1588	item107000053309	7	3600	168	410
1589	item107000053309	8	5850	171	490
1590	item107000053309	9	9100	174	570
1591	item107000053309	10	13500	177	660
1592	item107000053309	11	19300	180	750
1593	item107000053309	12	26600	183	840
1594	item107000053309	13	35700	186	940
1595	item107000053309	14	46800	189	1040
1596	item107000053309	15	60000	192	1140
1597	item107000052209	1	0	130	0
1598	item107000052209	2	100	133	5
1599	item107000052209	3	250	136	10
1600	item107000052209	4	500	139	16
1601	item107000052209	5	850	142	22
1602	item107000052209	6	1400	145	28
1603	item107000052209	7	2250	148	35
1604	item107000052209	8	3500	151	42
1605	item107000052209	9	5250	154	49
1606	item107000052209	10	7500	157	57
1607	item107000052209	11	10300	160	65
1608	item107000052209	12	13800	163	73
1609	item107000052209	13	18150	166	82
1610	item107000052209	14	23500	169	91
1611	item107000052209	15	30000	172	100
1612	item117000052328	1	0	150	0
1613	item117000052328	2	150	153	6
1614	item117000052328	3	350	156	12
1615	item117000052328	4	650	159	19
1616	item117000052328	5	1200	162	26
1617	item117000052328	6	2100	165	33
1618	item117000052328	7	3600	168	41
1619	item117000052328	8	5850	171	49
1620	item117000052328	9	9100	174	57
1621	item117000052328	10	13500	177	66
1622	item117000052328	11	19300	180	75
1623	item117000052328	12	26600	183	84
1624	item117000052328	13	35700	186	94
1625	item117000052328	14	46800	189	104
1626	item117000052328	15	60000	192	114
1627	item117000052329	1	0	150	0
1628	item117000052329	2	150	153	6
1629	item117000052329	3	350	156	12
1630	item117000052329	4	650	159	19
1631	item117000052329	5	1200	162	26
1632	item117000052329	6	2100	165	33
1633	item117000052329	7	3600	168	41
1634	item117000052329	8	5850	171	49
1635	item117000052329	9	9100	174	57
1636	item117000052329	10	13500	177	66
1637	item117000052329	11	19300	180	75
1638	item117000052329	12	26600	183	84
1639	item117000052329	13	35700	186	94
1640	item117000052329	14	46800	189	104
1641	item117000052329	15	60000	192	114
1642	item117000052330	1	0	150	0
