编号	等级	部位	限制等级	消耗道具	道具数量	消耗道具2	货币类型	货币数量	属性加成	战力类型	战力计算	一键加持组
432	27	5	20	item103010121004	2		1	27000	1100005027	1	6	2
433	28	5	20	item103010121004	2		1	28000	1100005028	1	6	2
434	29	5	20	item103010121004	2		1	29000	1100005029	1	6	2
435	30	5	20	item103010121004	2		1	30000	1100005030	1	6	2
436	31	5	30	item103010121004	3		1	31000	1100005031	1	6	2
437	32	5	30	item103010121004	3		1	32000	1100005032	1	6	2
438	33	5	30	item103010121004	3		1	33000	1100005033	1	6	2
439	34	5	30	item103010121004	3		1	34000	1100005034	1	6	2
440	35	5	30	item103010121004	3		1	35000	1100005035	1	6	2
441	36	5	30	item103010121004	4		1	36000	1100005036	1	6	2
442	37	5	30	item103010121004	4		1	37000	1100005037	1	6	2
443	38	5	30	item103010121004	4		1	38000	1100005038	1	6	2
444	39	5	30	item103010121004	4		1	39000	1100005039	1	6	2
445	40	5	30	item103010121004	4		1	40000	1100005040	1	6	2
446	41	5	35	item103010121005	1		1	41000	1100005041	1	6	3
447	42	5	35	item103010121005	1		1	42000	1100005042	1	6	3
448	43	5	35	item103010121005	1		1	43000	1100005043	1	6	3
449	44	5	35	item103010121005	1		1	44000	1100005044	1	6	3
450	45	5	35	item103010121005	1		1	45000	1100005045	1	6	3
451	46	5	35	item103010121005	2		1	46000	1100005046	1	6	3
452	47	5	35	item103010121005	2		1	47000	1100005047	1	6	3
453	48	5	35	item103010121005	2		1	48000	1100005048	1	6	3
454	49	5	35	item103010121005	2		1	49000	1100005049	1	6	3
455	50	5	35	item103010121005	2		1	50000	1100005050	1	6	3
456	51	5	45	item103010121005	3		1	51000	1100005051	1	6	3
457	52	5	45	item103010121005	3		1	52000	1100005052	1	6	3
458	53	5	45	item103010121005	3		1	53000	1100005053	1	6	3
459	54	5	45	item103010121005	3		1	54000	1100005054	1	6	3
460	55	5	45	item103010121005	3		1	55000	1100005055	1	6	3
461	56	5	45	item103010121005	4		1	56000	1100005056	1	6	3
462	57	5	45	item103010121005	4		1	57000	1100005057	1	6	3
463	58	5	45	item103010121005	4		1	58000	1100005058	1	6	3
464	59	5	45	item103010121005	4		1	59000	1100005059	1	6	3
465	60	5	45	item103010121005	4		1	60000	1100005060	1	6	3
466	61	5	50	item103010121006	1		1	61000	1100005061	1	6	4
467	62	5	50	item103010121006	1		1	62000	1100005062	1	6	4
468	63	5	50	item103010121006	1		1	63000	1100005063	1	6	4
469	64	5	50	item103010121006	1		1	64000	1100005064	1	6	4
470	65	5	50	item103010121006	1		1	65000	1100005065	1	6	4
471	66	5	50	item103010121006	2		1	66000	1100005066	1	6	4
472	67	5	50	item103010121006	2		1	67000	1100005067	1	6	4
473	68	5	50	item103010121006	2		1	68000	1100005068	1	6	4
474	69	5	50	item103010121006	2		1	69000	1100005069	1	6	4
475	70	5	50	item103010121006	2		1	70000	1100005070	1	6	4
476	71	5	60	item103010121006	3		1	71000	1100005071	1	6	4
477	72	5	60	item103010121006	3		1	72000	1100005072	1	6	4
478	73	5	60	item103010121006	3		1	73000	1100005073	1	6	4
479	74	5	60	item103010121006	3		1	74000	1100005074	1	6	4
480	75	5	60	item103010121006	3		1	75000	1100005075	1	6	4
481	76	5	60	item103010121006	4		1	76000	1100005076	1	6	4
482	77	5	60	item103010121006	4		1	77000	1100005077	1	6	4
483	78	5	60	item103010121006	4		1	78000	1100005078	1	6	4
484	79	5	60	item103010121006	4		1	79000	1100005079	1	6	4
485	80	5	60	item103010121006	4		1	80000	1100005080	1	6	4
486	81	5	65	item103010121007	1		1	81000	1100005081	1	6	5
487	82	5	65	item103010121007	1		1	82000	1100005082	1	6	5
488	83	5	65	item103010121007	1		1	83000	1100005083	1	6	5
489	84	5	65	item103010121007	1		1	84000	1100005084	1	6	5
490	85	5	65	item103010121007	1		1	85000	1100005085	1	6	5
491	86	5	65	item103010121007	2		1	86000	1100005086	1	6	5
492	87	5	65	item103010121007	2		1	87000	1100005087	1	6	5
493	88	5	65	item103010121007	2		1	88000	1100005088	1	6	5
494	89	5	65	item103010121007	2		1	89000	1100005089	1	6	5
495	90	5	65	item103010121007	2		1	90000	1100005090	1	6	5
496	91	5	70	item103010121007	3		1	91000	1100005091	1	6	5
497	92	5	70	item103010121007	3		1	92000	1100005092	1	6	5
498	93	5	70	item103010121007	3		1	93000	1100005093	1	6	5
499	94	5	70	item103010121007	3		1	94000	1100005094	1	6	5
500	95	5	70	item103010121007	3		1	95000	1100005095	1	6	5
501	96	5	70	item103010121007	4		1	96000	1100005096	1	6	5
502	97	5	70	item103010121007	4		1	97000	1100005097	1	6	5
503	98	5	70	item103010121007	4		1	98000	1100005098	1	6	5
504	99	5	70	item103010121007	4		1	99000	1100005099	1	6	5
505	100	5	70	item103010121007	4		1	100000	1100005100	1	6	5
506	0	6	0		0		0	0		1	6	1
507	1	6	1	item103010121003	1		1	1000	1100006001	1	6	1
508	2	6	1	item103010121003	1		1	2000	1100006002	1	6	1
509	3	6	1	item103010121003	1		1	3000	1100006003	1	6	1
510	4	6	1	item103010121003	1		1	4000	1100006004	1	6	1
511	5	6	1	item103010121003	1		1	5000	1100006005	1	6	1
512	6	6	1	item103010121003	2		1	6000	1100006006	1	6	1
513	7	6	1	item103010121003	2		1	7000	1100006007	1	6	1
514	8	6	1	item103010121003	2		1	8000	1100006008	1	6	1
515	9	6	1	item103010121003	2		1	9000	1100006009	1	6	1
516	10	6	1	item103010121003	2		1	10000	1100006010	1	6	1
517	11	6	1	item103010121003	3		1	11000	1100006011	1	6	1
518	12	6	1	item103010121003	3		1	12000	1100006012	1	6	1
519	13	6	1	item103010121003	3		1	13000	1100006013	1	6	1
520	14	6	1	item103010121003	3		1	14000	1100006014	1	6	1
521	15	6	1	item103010121003	3		1	15000	1100006015	1	6	1
522	16	6	1	item103010121003	4		1	16000	1100006016	1	6	1
523	17	6	1	item103010121003	4		1	17000	1100006017	1	6	1
524	18	6	1	item103010121003	4		1	18000	1100006018	1	6	1
525	19	6	1	item103010121003	4		1	19000	1100006019	1	6	1
526	20	6	1	item103010121003	4		1	20000	1100006020	1	6	1
527	21	6	20	item103010121004	1		1	21000	1100006021	1	6	2
528	22	6	20	item103010121004	1		1	22000	1100006022	1	6	2
529	23	6	20	item103010121004	1		1	23000	1100006023	1	6	2
530	24	6	20	item103010121004	1		1	24000	1100006024	1	6	2
531	25	6	20	item103010121004	1		1	25000	1100006025	1	6	2
532	26	6	20	item103010121004	2		1	26000	1100006026	1	6	2
533	27	6	20	item103010121004	2		1	27000	1100006027	1	6	2
534	28	6	20	item103010121004	2		1	28000	1100006028	1	6	2
535	29	6	20	item103010121004	2		1	29000	1100006029	1	6	2
536	30	6	20	item103010121004	2		1	30000	1100006030	1	6	2
537	31	6	30	item103010121004	3		1	31000	1100006031	1	6	2
538	32	6	30	item103010121004	3		1	32000	1100006032	1	6	2
539	33	6	30	item103010121004	3		1	33000	1100006033	1	6	2
540	34	6	30	item103010121004	3		1	34000	1100006034	1	6	2
541	35	6	30	item103010121004	3		1	35000	1100006035	1	6	2
542	36	6	30	item103010121004	4		1	36000	1100006036	1	6	2
543	37	6	30	item103010121004	4		1	37000	1100006037	1	6	2
544	38	6	30	item103010121004	4		1	38000	1100006038	1	6	2
545	39	6	30	item103010121004	4		1	39000	1100006039	1	6	2
546	40	6	30	item103010121004	4		1	40000	1100006040	1	6	2
547	41	6	35	item103010121005	1		1	41000	1100006041	1	6	3
548	42	6	35	item103010121005	1		1	42000	1100006042	1	6	3
549	43	6	35	item103010121005	1		1	43000	1100006043	1	6	3
550	44	6	35	item103010121005	1		1	44000	1100006044	1	6	3
551	45	6	35	item103010121005	1		1	45000	1100006045	1	6	3
552	46	6	35	item103010121005	2		1	46000	1100006046	1	6	3
553	47	6	35	item103010121005	2		1	47000	1100006047	1	6	3
554	48	6	35	item103010121005	2		1	48000	1100006048	1	6	3
555	49	6	35	item103010121005	2		1	49000	1100006049	1	6	3
556	50	6	35	item103010121005	2		1	50000	1100006050	1	6	3
557	51	6	45	item103010121005	3		1	51000	1100006051	1	6	3
558	52	6	45	item103010121005	3		1	52000	1100006052	1	6	3
559	53	6	45	item103010121005	3		1	53000	1100006053	1	6	3
560	54	6	45	item103010121005	3		1	54000	1100006054	1	6	3
561	55	6	45	item103010121005	3		1	55000	1100006055	1	6	3
562	56	6	45	item103010121005	4		1	56000	1100006056	1	6	3
563	57	6	45	item103010121005	4		1	57000	1100006057	1	6	3
564	58	6	45	item103010121005	4		1	58000	1100006058	1	6	3
565	59	6	45	item103010121005	4		1	59000	1100006059	1	6	3
566	60	6	45	item103010121005	4		1	60000	1100006060	1	6	3
567	61	6	50	item103010121006	1		1	61000	1100006061	1	6	4
568	62	6	50	item103010121006	1		1	62000	1100006062	1	6	4
569	63	6	50	item103010121006	1		1	63000	1100006063	1	6	4
570	64	6	50	item103010121006	1		1	64000	1100006064	1	6	4
571	65	6	50	item103010121006	1		1	65000	1100006065	1	6	4
572	66	6	50	item103010121006	2		1	66000	1100006066	1	6	4
573	67	6	50	item103010121006	2		1	67000	1100006067	1	6	4
574	68	6	50	item103010121006	2		1	68000	1100006068	1	6	4
575	69	6	50	item103010121006	2		1	69000	1100006069	1	6	4
576	70	6	50	item103010121006	2		1	70000	1100006070	1	6	4
577	71	6	60	item103010121006	3		1	71000	1100006071	1	6	4
578	72	6	60	item103010121006	3		1	72000	1100006072	1	6	4
579	73	6	60	item103010121006	3		1	73000	1100006073	1	6	4
580	74	6	60	item103010121006	3		1	74000	1100006074	1	6	4
581	75	6	60	item103010121006	3		1	75000	1100006075	1	6	4
582	76	6	60	item103010121006	4		1	76000	1100006076	1	6	4
583	77	6	60	item103010121006	4		1	77000	1100006077	1	6	4
584	78	6	60	item103010121006	4		1	78000	1100006078	1	6	4
585	79	6	60	item103010121006	4		1	79000	1100006079	1	6	4
586	80	6	60	item103010121006	4		1	80000	1100006080	1	6	4
587	81	6	65	item103010121007	1		1	81000	1100006081	1	6	5
588	82	6	65	item103010121007	1		1	82000	1100006082	1	6	5
589	83	6	65	item103010121007	1		1	83000	1100006083	1	6	5
590	84	6	65	item103010121007	1		1	84000	1100006084	1	6	5
591	85	6	65	item103010121007	1		1	85000	1100006085	1	6	5
592	86	6	65	item103010121007	2		1	86000	1100006086	1	6	5
593	87	6	65	item103010121007	2		1	87000	1100006087	1	6	5
594	88	6	65	item103010121007	2		1	88000	1100006088	1	6	5
595	89	6	65	item103010121007	2		1	89000	1100006089	1	6	5
596	90	6	65	item103010121007	2		1	90000	1100006090	1	6	5
597	91	6	70	item103010121007	3		1	91000	1100006091	1	6	5
598	92	6	70	item103010121007	3		1	92000	1100006092	1	6	5
599	93	6	70	item103010121007	3		1	93000	1100006093	1	6	5
600	94	6	70	item103010121007	3		1	94000	1100006094	1	6	5
601	95	6	70	item103010121007	3		1	95000	1100006095	1	6	5
602	96	6	70	item103010121007	4		1	96000	1100006096	1	6	5
603	97	6	70	item103010121007	4		1	97000	1100006097	1	6	5
604	98	6	70	item103010121007	4		1	98000	1100006098	1	6	5
605	99	6	70	item103010121007	4		1	99000	1100006099	1	6	5
606	100	6	70	item103010121007	4		1	100000	1100006100	1	6	5
607	0	7	0		0		0	0		1	6	1
608	1	7	1	item103010121003	1		1	1000	1100007001	1	6	1
609	2	7	1	item103010121003	1		1	2000	1100007002	1	6	1
610	3	7	1	item103010121003	1		1	3000	1100007003	1	6	1
611	4	7	1	item103010121003	1		1	4000	1100007004	1	6	1
612	5	7	1	item103010121003	1		1	5000	1100007005	1	6	1
613	6	7	1	item103010121003	2		1	6000	1100007006	1	6	1
614	7	7	1	item103010121003	2		1	7000	1100007007	1	6	1
615	8	7	1	item103010121003	2		1	8000	1100007008	1	6	1
616	9	7	1	item103010121003	2		1	9000	1100007009	1	6	1
617	10	7	1	item103010121003	2		1	10000	1100007010	1	6	1
618	11	7	1	item103010121003	3		1	11000	1100007011	1	6	1
619	12	7	1	item103010121003	3		1	12000	1100007012	1	6	1
620	13	7	1	item103010121003	3		1	13000	1100007013	1	6	1
621	14	7	1	item103010121003	3		1	14000	1100007014	1	6	1
622	15	7	1	item103010121003	3		1	15000	1100007015	1	6	1
623	16	7	1	item103010121003	4		1	16000	1100007016	1	6	1
624	17	7	1	item103010121003	4		1	17000	1100007017	1	6	1
625	18	7	1	item103010121003	4		1	18000	1100007018	1	6	1
626	19	7	1	item103010121003	4		1	19000	1100007019	1	6	1
627	20	7	1	item103010121003	4		1	20000	1100007020	1	6	1
628	21	7	20	item103010121004	1		1	21000	1100007021	1	6	2
629	22	7	20	item103010121004	1		1	22000	1100007022	1	6	2
630	23	7	20	item103010121004	1		1	23000	1100007023	1	6	2
631	24	7	20	item103010121004	1		1	24000	1100007024	1	6	2
632	25	7	20	item103010121004	1		1	25000	1100007025	1	6	2
633	26	7	20	item103010121004	2		1	26000	1100007026	1	6	2
634	27	7	20	item103010121004	2		1	27000	1100007027	1	6	2
635	28	7	20	item103010121004	2		1	28000	1100007028	1	6	2
636	29	7	20	item103010121004	2		1	29000	1100007029	1	6	2
637	30	7	20	item103010121004	2		1	30000	1100007030	1	6	2
638	31	7	30	item103010121004	3		1	31000	1100007031	1	6	2
639	32	7	30	item103010121004	3		1	32000	1100007032	1	6	2
640	33	7	30	item103010121004	3		1	33000	1100007033	1	6	2
641	34	7	30	item103010121004	3		1	34000	1100007034	1	6	2
642	35	7	30	item103010121004	3		1	35000	1100007035	1	6	2
643	36	7	30	item103010121004	4		1	36000	1100007036	1	6	2
644	37	7	30	item103010121004	4		1	37000	1100007037	1	6	2
645	38	7	30	item103010121004	4		1	38000	1100007038	1	6	2
646	39	7	30	item103010121004	4		1	39000	1100007039	1	6	2
647	40	7	30	item103010121004	4		1	40000	1100007040	1	6	2
648	41	7	35	item103010121005	1		1	41000	1100007041	1	6	3
649	42	7	35	item103010121005	1		1	42000	1100007042	1	6	3
650	43	7	35	item103010121005	1		1	43000	1100007043	1	6	3
651	44	7	35	item103010121005	1		1	44000	1100007044	1	6	3
652	45	7	35	item103010121005	1		1	45000	1100007045	1	6	3
653	46	7	35	item103010121005	2		1	46000	1100007046	1	6	3
654	47	7	35	item103010121005	2		1	47000	1100007047	1	6	3
655	48	7	35	item103010121005	2		1	48000	1100007048	1	6	3
656	49	7	35	item103010121005	2		1	49000	1100007049	1	6	3
657	50	7	35	item103010121005	2		1	50000	1100007050	1	6	3
658	51	7	45	item103010121005	3		1	51000	1100007051	1	6	3
659	52	7	45	item103010121005	3		1	52000	1100007052	1	6	3
660	53	7	45	item103010121005	3		1	53000	1100007053	1	6	3
661	54	7	45	item103010121005	3		1	54000	1100007054	1	6	3
662	55	7	45	item103010121005	3		1	55000	1100007055	1	6	3
663	56	7	45	item103010121005	4		1	56000	1100007056	1	6	3
664	57	7	45	item103010121005	4		1	57000	1100007057	1	6	3
665	58	7	45	item103010121005	4		1	58000	1100007058	1	6	3
666	59	7	45	item103010121005	4		1	59000	1100007059	1	6	3
667	60	7	45	item103010121005	4		1	60000	1100007060	1	6	3
668	61	7	50	item103010121006	1		1	61000	1100007061	1	6	4
669	62	7	50	item103010121006	1		1	62000	1100007062	1	6	4
670	63	7	50	item103010121006	1		1	63000	1100007063	1	6	4
671	64	7	50	item103010121006	1		1	64000	1100007064	1	6	4
672	65	7	50	item103010121006	1		1	65000	1100007065	1	6	4
673	66	7	50	item103010121006	2		1	66000	1100007066	1	6	4
674	67	7	50	item103010121006	2		1	67000	1100007067	1	6	4
675	68	7	50	item103010121006	2		1	68000	1100007068	1	6	4
676	69	7	50	item103010121006	2		1	69000	1100007069	1	6	4
677	70	7	50	item103010121006	2		1	70000	1100007070	1	6	4
678	71	7	60	item103010121006	3		1	71000	1100007071	1	6	4
679	72	7	60	item103010121006	3		1	72000	1100007072	1	6	4
680	73	7	60	item103010121006	3		1	73000	1100007073	1	6	4
681	74	7	60	item103010121006	3		1	74000	1100007074	1	6	4
682	75	7	60	item103010121006	3		1	75000	1100007075	1	6	4
683	76	7	60	item103010121006	4		1	76000	1100007076	1	6	4
684	77	7	60	item103010121006	4		1	77000	1100007077	1	6	4
685	78	7	60	item103010121006	4		1	78000	1100007078	1	6	4
686	79	7	60	item103010121006	4		1	79000	1100007079	1	6	4
687	80	7	60	item103010121006	4		1	80000	1100007080	1	6	4
688	81	7	65	item103010121007	1		1	81000	1100007081	1	6	5
689	82	7	65	item103010121007	1		1	82000	1100007082	1	6	5
690	83	7	65	item103010121007	1		1	83000	1100007083	1	6	5
691	84	7	65	item103010121007	1		1	84000	1100007084	1	6	5
692	85	7	65	item103010121007	1		1	85000	1100007085	1	6	5
693	86	7	65	item103010121007	2		1	86000	1100007086	1	6	5
694	87	7	65	item103010121007	2		1	87000	1100007087	1	6	5
695	88	7	65	item103010121007	2		1	88000	1100007088	1	6	5
696	89	7	65	item103010121007	2		1	89000	1100007089	1	6	5
697	90	7	65	item103010121007	2		1	90000	1100007090	1	6	5
698	91	7	70	item103010121007	3		1	91000	1100007091	1	6	5
699	92	7	70	item103010121007	3		1	92000	1100007092	1	6	5
700	93	7	70	item103010121007	3		1	93000	1100007093	1	6	5
701	94	7	70	item103010121007	3		1	94000	1100007094	1	6	5
702	95	7	70	item103010121007	3		1	95000	1100007095	1	6	5
703	96	7	70	item103010121007	4		1	96000	1100007096	1	6	5
704	97	7	70	item103010121007	4		1	97000	1100007097	1	6	5
705	98	7	70	item103010121007	4		1	98000	1100007098	1	6	5
706	99	7	70	item103010121007	4		1	99000	1100007099	1	6	5
707	100	7	70	item103010121007	4		1	100000	1100007100	1	6	5
708	0	8	0		0		0	0		1	6	1
709	1	8	1	item103010121003	1		1	1000	1100008001	1	6	1
710	2	8	1	item103010121003	1		1	2000	1100008002	1	6	1
711	3	8	1	item103010121003	1		1	3000	1100008003	1	6	1
712	4	8	1	item103010121003	1		1	4000	1100008004	1	6	1
713	5	8	1	item103010121003	1		1	5000	1100008005	1	6	1
714	6	8	1	item103010121003	2		1	6000	1100008006	1	6	1
715	7	8	1	item103010121003	2		1	7000	1100008007	1	6	1
716	8	8	1	item103010121003	2		1	8000	1100008008	1	6	1
717	9	8	1	item103010121003	2		1	9000	1100008009	1	6	1
718	10	8	1	item103010121003	2		1	10000	1100008010	1	6	1
719	11	8	1	item103010121003	3		1	11000	1100008011	1	6	1
720	12	8	1	item103010121003	3		1	12000	1100008012	1	6	1
721	13	8	1	item103010121003	3		1	13000	1100008013	1	6	1
722	14	8	1	item103010121003	3		1	14000	1100008014	1	6	1
723	15	8	1	item103010121003	3		1	15000	1100008015	1	6	1
724	16	8	1	item103010121003	4		1	16000	1100008016	1	6	1
725	17	8	1	item103010121003	4		1	17000	1100008017	1	6	1
726	18	8	1	item103010121003	4		1	18000	1100008018	1	6	1
727	19	8	1	item103010121003	4		1	19000	1100008019	1	6	1
728	20	8	1	item103010121003	4		1	20000	1100008020	1	6	1
729	21	8	20	item103010121004	1		1	21000	1100008021	1	6	2
730	22	8	20	item103010121004	1		1	22000	1100008022	1	6	2
731	23	8	20	item103010121004	1		1	23000	1100008023	1	6	2
732	24	8	20	item103010121004	1		1	24000	1100008024	1	6	2
733	25	8	20	item103010121004	1		1	25000	1100008025	1	6	2
734	26	8	20	item103010121004	2		1	26000	1100008026	1	6	2
735	27	8	20	item103010121004	2		1	27000	1100008027	1	6	2
736	28	8	20	item103010121004	2		1	28000	1100008028	1	6	2
737	29	8	20	item103010121004	2		1	29000	1100008029	1	6	2
738	30	8	20	item103010121004	2		1	30000	1100008030	1	6	2
739	31	8	30	item103010121004	3		1	31000	1100008031	1	6	2
740	32	8	30	item103010121004	3		1	32000	1100008032	1	6	2
741	33	8	30	item103010121004	3		1	33000	1100008033	1	6	2
742	34	8	30	item103010121004	3		1	34000	1100008034	1	6	2
743	35	8	30	item103010121004	3		1	35000	1100008035	1	6	2
744	36	8	30	item103010121004	4		1	36000	1100008036	1	6	2
745	37	8	30	item103010121004	4		1	37000	1100008037	1	6	2
746	38	8	30	item103010121004	4		1	38000	1100008038	1	6	2
747	39	8	30	item103010121004	4		1	39000	1100008039	1	6	2
748	40	8	30	item103010121004	4		1	40000	1100008040	1	6	2
749	41	8	35	item103010121005	1		1	41000	1100008041	1	6	3
750	42	8	35	item103010121005	1		1	42000	1100008042	1	6	3
751	43	8	35	item103010121005	1		1	43000	1100008043	1	6	3
752	44	8	35	item103010121005	1		1	44000	1100008044	1	6	3
753	45	8	35	item103010121005	1		1	45000	1100008045	1	6	3
754	46	8	35	item103010121005	2		1	46000	1100008046	1	6	3
755	47	8	35	item103010121005	2		1	47000	1100008047	1	6	3
756	48	8	35	item103010121005	2		1	48000	1100008048	1	6	3
757	49	8	35	item103010121005	2		1	49000	1100008049	1	6	3
758	50	8	35	item103010121005	2		1	50000	1100008050	1	6	3
759	51	8	45	item103010121005	3		1	51000	1100008051	1	6	3
760	52	8	45	item103010121005	3		1	52000	1100008052	1	6	3
761	53	8	45	item103010121005	3		1	53000	1100008053	1	6	3
762	54	8	45	item103010121005	3		1	54000	1100008054	1	6	3
763	55	8	45	item103010121005	3		1	55000	1100008055	1	6	3
764	56	8	45	item103010121005	4		1	56000	1100008056	1	6	3
765	57	8	45	item103010121005	4		1	57000	1100008057	1	6	3
766	58	8	45	item103010121005	4		1	58000	1100008058	1	6	3
767	59	8	45	item103010121005	4		1	59000	1100008059	1	6	3
768	60	8	45	item103010121005	4		1	60000	1100008060	1	6	3
769	61	8	50	item103010121006	1		1	61000	1100008061	1	6	4
770	62	8	50	item103010121006	1		1	62000	1100008062	1	6	4
771	63	8	50	item103010121006	1		1	63000	1100008063	1	6	4
772	64	8	50	item103010121006	1		1	64000	1100008064	1	6	4
773	65	8	50	item103010121006	1		1	65000	1100008065	1	6	4
774	66	8	50	item103010121006	2		1	66000	1100008066	1	6	4
775	67	8	50	item103010121006	2		1	67000	1100008067	1	6	4
776	68	8	50	item103010121006	2		1	68000	1100008068	1	6	4
777	69	8	50	item103010121006	2		1	69000	1100008069	1	6	4
778	70	8	50	item103010121006	2		1	70000	1100008070	1	6	4
779	71	8	60	item103010121006	3		1	71000	1100008071	1	6	4
780	72	8	60	item103010121006	3		1	72000	1100008072	1	6	4
781	73	8	60	item103010121006	3		1	73000	1100008073	1	6	4
782	74	8	60	item103010121006	3		1	74000	1100008074	1	6	4
783	75	8	60	item103010121006	3		1	75000	1100008075	1	6	4
784	76	8	60	item103010121006	4		1	76000	1100008076	1	6	4
785	77	8	60	item103010121006	4		1	77000	1100008077	1	6	4
786	78	8	60	item103010121006	4		1	78000	1100008078	1	6	4
787	79	8	60	item103010121006	4		1	79000	1100008079	1	6	4
788	80	8	60	item103010121006	4		1	80000	1100008080	1	6	4
789	81	8	65	item103010121007	1		1	81000	1100008081	1	6	5
790	82	8	65	item103010121007	1		1	82000	1100008082	1	6	5
791	83	8	65	item103010121007	1		1	83000	1100008083	1	6	5
792	84	8	65	item103010121007	1		1	84000	1100008084	1	6	5
793	85	8	65	item103010121007	1		1	85000	1100008085	1	6	5
794	86	8	65	item103010121007	2		1	86000	1100008086	1	6	5
795	87	8	65	item103010121007	2		1	87000	1100008087	1	6	5
796	88	8	65	item103010121007	2		1	88000	1100008088	1	6	5
797	89	8	65	item103010121007	2		1	89000	1100008089	1	6	5
798	90	8	65	item103010121007	2		1	90000	1100008090	1	6	5
799	91	8	70	item103010121007	3		1	91000	1100008091	1	6	5
800	92	8	70	item103010121007	3		1	92000	1100008092	1	6	5
801	93	8	70	item103010121007	3		1	93000	1100008093	1	6	5
802	94	8	70	item103010121007	3		1	94000	1100008094	1	6	5
803	95	8	70	item103010121007	3		1	95000	1100008095	1	6	5
804	96	8	70	item103010121007	4		1	96000	1100008096	1	6	5
805	97	8	70	item103010121007	4		1	97000	1100008097	1	6	5
806	98	8	70	item103010121007	4		1	98000	1100008098	1	6	5
807	99	8	70	item103010121007	4		1	99000	1100008099	1	6	5
808	100	8	70	item103010121007	4		1	100000	1100008100	1	6	5
809	0	9	0		0		0	0		1	6	1
810	1	9	1	item103010121003	1		1	1000	1100009001	1	6	1
811	2	9	1	item103010121003	1		1	2000	1100009002	1	6	1
812	3	9	1	item103010121003	1		1	3000	1100009003	1	6	1
813	4	9	1	item103010121003	1		1	4000	1100009004	1	6	1
814	5	9	1	item103010121003	1		1	5000	1100009005	1	6	1
815	6	9	1	item103010121003	2		1	6000	1100009006	1	6	1
816	7	9	1	item103010121003	2		1	7000	1100009007	1	6	1
817	8	9	1	item103010121003	2		1	8000	1100009008	1	6	1
818	9	9	1	item103010121003	2		1	9000	1100009009	1	6	1
819	10	9	1	item103010121003	2		1	10000	1100009010	1	6	1
820	11	9	1	item103010121003	3		1	11000	1100009011	1	6	1
821	12	9	1	item103010121003	3		1	12000	1100009012	1	6	1
822	13	9	1	item103010121003	3		1	13000	1100009013	1	6	1
823	14	9	1	item103010121003	3		1	14000	1100009014	1	6	1
824	15	9	1	item103010121003	3		1	15000	1100009015	1	6	1
825	16	9	1	item103010121003	4		1	16000	1100009016	1	6	1
826	17	9	1	item103010121003	4		1	17000	1100009017	1	6	1
827	18	9	1	item103010121003	4		1	18000	1100009018	1	6	1
828	19	9	1	item103010121003	4		1	19000	1100009019	1	6	1
829	20	9	1	item103010121003	4		1	20000	1100009020	1	6	1
830	21	9	20	item103010121004	1		1	21000	1100009021	1	6	2
831	22	9	20	item103010121004	1		1	22000	1100009022	1	6	2
832	23	9	20	item103010121004	1		1	23000	1100009023	1	6	2
833	24	9	20	item103010121004	1		1	24000	1100009024	1	6	2
834	25	9	20	item103010121004	1		1	25000	1100009025	1	6	2
835	26	9	20	item103010121004	2		1	26000	1100009026	1	6	2
836	27	9	20	item103010121004	2		1	27000	1100009027	1	6	2
837	28	9	20	item103010121004	2		1	28000	1100009028	1	6	2
838	29	9	20	item103010121004	2		1	29000	1100009029	1	6	2
839	30	9	20	item103010121004	2		1	30000	1100009030	1	6	2
840	31	9	30	item103010121004	3		1	31000	1100009031	1	6	2
841	32	9	30	item103010121004	3		1	32000	1100009032	1	6	2
842	33	9	30	item103010121004	3		1	33000	1100009033	1	6	2
843	34	9	30	item103010121004	3		1	34000	1100009034	1	6	2
844	35	9	30	item103010121004	3		1	35000	1100009035	1	6	2
845	36	9	30	item103010121004	4		1	36000	1100009036	1	6	2
846	37	9	30	item103010121004	4		1	37000	1100009037	1	6	2
847	38	9	30	item103010121004	4		1	38000	1100009038	1	6	2
848	39	9	30	item103010121004	4		1	39000	1100009039	1	6	2
849	40	9	30	item103010121004	4		1	40000	1100009040	1	6	2
850	41	9	35	item103010121005	1		1	41000	1100009041	1	6	3
851	42	9	35	item103010121005	1		1	42000	1100009042	1	6	3
852	43	9	35	item103010121005	1		1	43000	1100009043	1	6	3
853	44	9	35	item103010121005	1		1	44000	1100009044	1	6	3
854	45	9	35	item103010121005	1		1	45000	1100009045	1	6	3
855	46	9	35	item103010121005	2		1	46000	1100009046	1	6	3
856	47	9	35	item103010121005	2		1	47000	1100009047	1	6	3
857	48	9	35	item103010121005	2		1	48000	1100009048	1	6	3
858	49	9	35	item103010121005	2		1	49000	1100009049	1	6	3
859	50	9	35	item103010121005	2		1	50000	1100009050	1	6	3
860	51	9	45	item103010121005	3		1	51000	1100009051	1	6	3
861	52	9	45	item103010121005	3		1	52000	1100009052	1	6	3
862	53	9	45	item103010121005	3		1	53000	1100009053	1	6	3
863	54	9	45	item103010121005	3		1	54000	1100009054	1	6	3
864	55	9	45	item103010121005	3		1	55000	1100009055	1	6	3
865	56	9	45	item103010121005	4		1	56000	1100009056	1	6	3
866	57	9	45	item103010121005	4		1	57000	1100009057	1	6	3
867	58	9	45	item103010121005	4		1	58000	1100009058	1	6	3
868	59	9	45	item103010121005	4		1	59000	1100009059	1	6	3
