道具ID	部位	最小装等	最大装等	蓝色魔法属性等级掉落库	紫色魔法属性等级掉落库	金色魔法属性等级掉落库
unidfequip301060230003	1	461	513	602001	603001	604001
unidfequip302060230003	2	461	513	602001	603001	604001
unidfequip303060230003	3	461	513	602001	603001	604001
unidfequip304060230003	4	461	513	602001	603001	604001
unidfequip305060230003	5	461	513	602001	603001	604001
unidfequip306060230003	6	461	513	602001	603001	604001
unidfequip301060230004	1	461	513	602001	603001	604001
unidfequip302060230004	2	461	513	602001	603001	604001
unidfequip303060230004	3	461	513	602001	603001	604001
unidfequip304060230004	4	461	513	602001	603001	604001
unidfequip305060230004	5	461	513	602001	603001	604001
unidfequip306060230004	6	461	513	602001	603001	604001
unidfequip301060230005	1	461	513	602001	603001	604001
unidfequip302060230005	2	461	513	602001	603001	604001
unidfequip303060230005	3	461	513	602001	603001	604001
unidfequip304060230005	4	461	513	602001	603001	604001
unidfequip305060230005	5	461	513	602001	603001	604001
unidfequip306060230005	6	461	513	602001	603001	604001
unidfequip301060230006	1	461	513	602001	603001	604001
unidfequip302060230006	2	461	513	602001	603001	604001
unidfequip303060230006	3	461	513	602001	603001	604001
unidfequip304060230006	4	461	513	602001	603001	604001
unidfequip305060230006	5	461	513	602001	603001	604001
unidfequip306060230006	6	461	513	602001	603001	604001
unidfequip301060240001	1	615	684	602001	603001	604001
unidfequip302060240001	2	615	684	602001	603001	604001
unidfequip303060240001	3	615	684	602001	603001	604001
unidfequip304060240001	4	615	684	602001	603001	604001
unidfequip305060240001	5	615	684	602001	603001	604001
unidfequip306060240001	6	615	684	602001	603001	604001
unidfequip301060240002	1	615	684	602001	603001	604001
unidfequip302060240002	2	615	684	602001	603001	604001
unidfequip303060240002	3	615	684	602001	603001	604001
unidfequip304060240002	4	615	684	602001	603001	604001
unidfequip305060240002	5	615	684	602001	603001	604001
unidfequip306060240002	6	615	684	602001	603001	604001
unidfequip301060240003	1	615	684	602001	603001	604001
unidfequip302060240003	2	615	684	602001	603001	604001
unidfequip303060240003	3	615	684	602001	603001	604001
unidfequip304060240003	4	615	684	602001	603001	604001
unidfequip305060240003	5	615	684	602001	603001	604001
unidfequip306060240003	6	615	684	602001	603001	604001
unidfequip301060240004	1	615	684	602001	603001	604001
unidfequip302060240004	2	615	684	602001	603001	604001
unidfequip303060240004	3	615	684	602001	603001	604001
unidfequip304060240004	4	615	684	602001	603001	604001
unidfequip305060240004	5	615	684	602001	603001	604001
unidfequip306060240004	6	615	684	602001	603001	604001
unidfequip301060240005	1	615	684	602001	603001	604001
unidfequip302060240005	2	615	684	602001	603001	604001
unidfequip303060240005	3	615	684	602001	603001	604001
unidfequip304060240005	4	615	684	602001	603001	604001
unidfequip305060240005	5	615	684	602001	603001	604001
unidfequip306060240005	6	615	684	602001	603001	604001
unidfequip301060240006	1	615	684	602001	603001	604001
unidfequip302060240006	2	615	684	602001	603001	604001
unidfequip303060240006	3	615	684	602001	603001	604001
unidfequip304060240006	4	615	684	602001	603001	604001
unidfequip305060240006	5	615	684	602001	603001	604001
unidfequip306060240006	6	615	684	602001	603001	604001
unidfequip307030210999	7	136	136	302001	303001	304001
unidfequip308030210999	8	136	136	302001	303001	304001
unidfequip309030210999	9	136	136	302001	303001	304001
unidfequip310030210999	10	136	136	302001	303001	304001
unidfequip307030220999	7	273	273	302001	303001	304001
unidfequip308030220999	8	273	273	302001	303001	304001
unidfequip309030220999	9	273	273	302001	303001	304001
unidfequip310030220999	10	273	273	302001	303001	304001
unidfequip307030230999	7	307	342	302001	303001	304001
unidfequip308030230999	8	307	342	302001	303001	304001
unidfequip309030230999	9	307	342	302001	303001	304001
unidfequip310030230999	10	307	342	302001	303001	304001
unidfequip307030240999	7	425	472	302001	303001	304001
unidfequip308030240999	8	425	472	302001	303001	304001
unidfequip309030240999	9	425	472	302001	303001	304001
unidfequip310030240999	10	425	472	302001	303001	304001
unidfequip307040210999	7	136	136	402001	403001	404001
unidfequip308040210999	8	136	136	402001	403001	404001
unidfequip309040210999	9	136	136	402001	403001	404001
unidfequip310040210999	10	136	136	402001	403001	404001
unidfequip307040220999	7	273	273	402001	403001	404001
unidfequip308040220999	8	273	273	402001	403001	404001
unidfequip309040220999	9	273	273	402001	403001	404001
unidfequip310040220999	10	273	273	402001	403001	404001
unidfequip307040230999	7	307	342	402001	403001	404001
unidfequip308040230999	8	307	342	402001	403001	404001
unidfequip309040230999	9	307	342	402001	403001	404001
unidfequip310040230999	10	307	342	402001	403001	404001
unidfequip307040240999	7	425	472	402001	403001	404001
unidfequip308040240999	8	425	472	402001	403001	404001
unidfequip309040240999	9	425	472	402001	403001	404001
unidfequip310040240999	10	425	472	402001	403001	404001
unidfequip307050210999	7	180	180	502001	503001	504001
unidfequip308050210999	8	180	180	502001	503001	504001
unidfequip309050210999	9	180	180	502001	503001	504001
unidfequip310050210999	10	180	180	502001	503001	504001
unidfequip307050220999	7	360	360	502001	503001	504001
unidfequip308050220999	8	360	360	502001	503001	504001
unidfequip309050220999	9	360	360	502001	503001	504001
unidfequip310050220999	10	360	360	502001	503001	504001
unidfequip307050230999	7	405	450	502001	503001	504001
unidfequip308050230999	8	405	450	502001	503001	504001
unidfequip309050230999	9	405	450	502001	503001	504001
unidfequip310050230999	10	405	450	502001	503001	504001
unidfequip307050240999	7	510	567	502001	503001	504001
unidfequip308050240999	8	510	567	502001	503001	504001
unidfequip309050240999	9	510	567	502001	503001	504001
unidfequip310050240999	10	510	567	502001	503001	504001
unidfequip307060210999	7	223	223	602001	603001	604001
unidfequip308060210999	8	223	223	602001	603001	604001
unidfequip309060210999	9	223	223	602001	603001	604001
unidfequip310060210999	10	223	223	602001	603001	604001
unidfequip307060220999	7	446	446	602001	603001	604001
unidfequip308060220999	8	446	446	602001	603001	604001
unidfequip309060220999	9	446	446	602001	603001	604001
unidfequip310060220999	10	446	446	602001	603001	604001
unidfequip307060230999	7	502	558	602001	603001	604001
unidfequip308060230999	8	502	558	602001	603001	604001
unidfequip309060230999	9	502	558	602001	603001	604001
unidfequip310060230999	10	502	558	602001	603001	604001
unidfequip307060240999	7	595	661	602001	603001	604001
unidfequip308060240999	8	595	661	602001	603001	604001
unidfequip309060240999	9	595	661	602001	603001	604001
unidfequip310060240999	10	595	661	602001	603001	604001
unidfequip301020430001	1	226	252	202001	203001	204001
unidfequip302020430001	2	226	252	202001	203001	204001
unidfequip303020430001	3	226	252	202001	203001	204001
unidfequip304020430001	4	226	252	202001	203001	204001
unidfequip305020430001	5	226	252	202001	203001	204001
unidfequip306020430001	6	226	252	202001	203001	204001
unidfequip301020430002	1	226	252	202001	203001	204001
unidfequip302020430002	2	226	252	202001	203001	204001
unidfequip303020430002	3	226	252	202001	203001	204001
unidfequip304020430002	4	226	252	202001	203001	204001
unidfequip305020430002	5	226	252	202001	203001	204001
unidfequip306020430002	6	226	252	202001	203001	204001
unidfequip301020430003	1	226	252	202001	203001	204001
unidfequip302020430003	2	226	252	202001	203001	204001
unidfequip303020430003	3	226	252	202001	203001	204001
unidfequip304020430003	4	226	252	202001	203001	204001
unidfequip305020430003	5	226	252	202001	203001	204001
unidfequip306020430003	6	226	252	202001	203001	204001
unidfequip301020430004	1	226	252	202001	203001	204001
unidfequip302020430004	2	226	252	202001	203001	204001
unidfequip303020430004	3	226	252	202001	203001	204001
unidfequip304020430004	4	226	252	202001	203001	204001
unidfequip305020430004	5	226	252	202001	203001	204001
unidfequip306020430004	6	226	252	202001	203001	204001
unidfequip301020430005	1	226	252	202001	203001	204001
unidfequip302020430005	2	226	252	202001	203001	204001
unidfequip303020430005	3	226	252	202001	203001	204001
unidfequip304020430005	4	226	252	202001	203001	204001
unidfequip305020430005	5	226	252	202001	203001	204001
unidfequip306020430005	6	226	252	202001	203001	204001
unidfequip301020430006	1	226	252	202001	203001	204001
unidfequip302020430006	2	226	252	202001	203001	204001
unidfequip303020430006	3	226	252	202001	203001	204001
unidfequip304020430006	4	226	252	202001	203001	204001
unidfequip305020430006	5	226	252	202001	203001	204001
unidfequip306020430006	6	226	252	202001	203001	204001
unidfequip301030430001	1	340	378	302001	303001	304001
unidfequip302030430001	2	340	378	302001	303001	304001
unidfequip303030430001	3	340	378	302001	303001	304001
unidfequip304030430001	4	340	378	302001	303001	304001
unidfequip305030430001	5	340	378	302001	303001	304001
unidfequip306030430001	6	340	378	302001	303001	304001
unidfequip301030430002	1	340	378	302001	303001	304001
unidfequip302030430002	2	340	378	302001	303001	304001
unidfequip303030430002	3	340	378	302001	303001	304001
unidfequip304030430002	4	340	378	302001	303001	304001
unidfequip305030430002	5	340	378	302001	303001	304001
unidfequip306030430002	6	340	378	302001	303001	304001
unidfequip301030430003	1	340	378	302001	303001	304001
unidfequip302030430003	2	340	378	302001	303001	304001
unidfequip303030430003	3	340	378	302001	303001	304001
unidfequip304030430003	4	340	378	302001	303001	304001
unidfequip305030430003	5	340	378	302001	303001	304001
unidfequip306030430003	6	340	378	302001	303001	304001
unidfequip301030430004	1	340	378	302001	303001	304001
unidfequip302030430004	2	340	378	302001	303001	304001
unidfequip303030430004	3	340	378	302001	303001	304001
unidfequip304030430004	4	340	378	302001	303001	304001
unidfequip305030430004	5	340	378	302001	303001	304001
unidfequip306030430004	6	340	378	302001	303001	304001
unidfequip301030430005	1	340	378	302001	303001	304001
unidfequip302030430005	2	340	378	302001	303001	304001
unidfequip303030430005	3	340	378	302001	303001	304001
unidfequip304030430005	4	340	378	302001	303001	304001
unidfequip305030430005	5	340	378	302001	303001	304001
unidfequip306030430005	6	340	378	302001	303001	304001
unidfequip301030430006	1	340	378	302001	303001	304001
unidfequip302030430006	2	340	378	302001	303001	304001
unidfequip303030430006	3	340	378	302001	303001	304001
unidfequip304030430006	4	340	378	302001	303001	304001
unidfequip305030430006	5	340	378	302001	303001	304001
unidfequip306030430006	6	340	378	302001	303001	304001
unidfequip301040430001	1	453	504	402001	403001	404001
unidfequip302040430001	2	453	504	402001	403001	404001
unidfequip303040430001	3	453	504	402001	403001	404001
unidfequip304040430001	4	453	504	402001	403001	404001
unidfequip305040430001	5	453	504	402001	403001	404001
unidfequip306040430001	6	453	504	402001	403001	404001
unidfequip301040430002	1	453	504	402001	403001	404001
unidfequip302040430002	2	453	504	402001	403001	404001
unidfequip303040430002	3	453	504	402001	403001	404001
unidfequip304040430002	4	453	504	402001	403001	404001
unidfequip305040430002	5	453	504	402001	403001	404001
unidfequip306040430002	6	453	504	402001	403001	404001
unidfequip301040430003	1	453	504	402001	403001	404001
unidfequip302040430003	2	453	504	402001	403001	404001
unidfequip303040430003	3	453	504	402001	403001	404001
unidfequip304040430003	4	453	504	402001	403001	404001
unidfequip305040430003	5	453	504	402001	403001	404001
unidfequip306040430003	6	453	504	402001	403001	404001
unidfequip301040430004	1	453	504	402001	403001	404001
unidfequip302040430004	2	453	504	402001	403001	404001
unidfequip303040430004	3	453	504	402001	403001	404001
unidfequip304040430004	4	453	504	402001	403001	404001
unidfequip305040430004	5	453	504	402001	403001	404001
unidfequip306040430004	6	453	504	402001	403001	404001
unidfequip301040430005	1	453	504	402001	403001	404001
unidfequip302040430005	2	453	504	402001	403001	404001
unidfequip303040430005	3	453	504	402001	403001	404001
unidfequip304040430005	4	453	504	402001	403001	404001
unidfequip305040430005	5	453	504	402001	403001	404001
unidfequip306040430005	6	453	504	402001	403001	404001
unidfequip301040430006	1	453	504	402001	403001	404001
unidfequip302040430006	2	453	504	402001	403001	404001
unidfequip303040430006	3	453	504	402001	403001	404001
unidfequip304040430006	4	453	504	402001	403001	404001
unidfequip305040430006	5	453	504	402001	403001	404001
unidfequip306040430006	6	453	504	402001	403001	404001
unidfequip307030430999	7	315	351	302001	303001	304001
unidfequip308030430999	8	315	351	302001	303001	304001
unidfequip309030430999	9	315	351	302001	303001	304001
unidfequip310030430999	10	315	351	302001	303001	304001
unidfequip307040430999	7	425	472	402001	403001	404001
unidfequip308040430999	8	425	472	402001	403001	404001
unidfequip309040430999	9	425	472	402001	403001	404001
unidfequip310040430999	10	425	472	402001	403001	404001
unidfequip307035540999	7	540	540	402001	403001	404001
unidfequip307035540998	7	540	540	402001	403001	404001
unidfequip307035540997	7	540	540	402001	403001	404001
unidfequip308035540999	8	540	540	402001	403001	404001
unidfequip308035540998	8	540	540	402001	403001	404001
unidfequip308035540997	8	540	540	402001	403001	404001
unidfequip309035540999	9	540	540	402001	403001	404001
unidfequip309035540998	9	540	540	402001	403001	404001
unidfequip309035540997	9	540	540	402001	403001	404001
unidfequip310035540999	10	540	540	402001	403001	404001
unidfequip310035540998	10	540	540	402001	403001	404001
unidfequip310035540997	10	540	540	402001	403001	404001
unidfequip510320999	10	90	113	202001	203001	204001
unidfequip404020430001	4	84	84	202001	203001	204001
unidfequip404020430002	4	84	84	202001	203001	204001
unidfequip404020430003	4	84	84	202001	203001	204001
unidfequip404020430004	4	84	84	202001	203001	204001
unidfequip404020430005	4	84	84	202001	203001	204001
unidfequip404020430006	4	84	84	202001	203001	204001
unidfequip404020420001	4	84	84	202001	203001	204001
unidfequip404020420002	4	84	84	202001	203001	204001
unidfequip404020420003	4	84	84	202001	203001	204001
unidfequip404020420004	4	84	84	202001	203001	204001
unidfequip404020420005	4	84	84	202001	203001	204001
unidfequip404020420006	4	84	84	202001	203001	204001
unidfequip401030230001	1	178	198	302001	303001	304001
unidfequip401030230002	1	178	198	302001	303001	304001
unidfequip401030230003	1	178	198	302001	303001	304001
unidfequip401030230004	1	178	198	302001	303001	304001
unidfequip401030230005	1	178	198	302001	303001	304001
unidfequip401030230006	1	178	198	302001	303001	304001
unidfequip407030230999	7	307	342	302001	303001	304001
unidfequip401030331001	1	178	198	302001	303001	304001
unidfequip401030331002	1	178	198	302001	303001	304001
unidfequip401030331003	1	178	198	302001	303001	304001
unidfequip401030331004	1	178	198	302001	303001	304001
unidfequip401030331005	1	178	198	302001	303001	304001
unidfequip401030331006	1	178	198	302001	303001	304001
unidfequip307030331999	7	210	234	302001	303001	304001
unidfequip408030331999	7	210	234	302001	303001	304001
unidfequip301070210001	1	244	244	602001	603001	604001
unidfequip302070210001	2	244	244	702001	703001	704001
unidfequip303070210001	3	244	244	702001	703001	704001
unidfequip304070210001	4	244	244	702001	703001	704001
unidfequip305070210001	5	244	244	702001	703001	704001
unidfequip306070210001	6	244	244	702001	703001	704001
unidfequip301070210002	1	244	244	702001	703001	704001
unidfequip302070210002	2	244	244	702001	703001	704001
unidfequip303070210002	3	244	244	702001	703001	704001
unidfequip304070210002	4	244	244	702001	703001	704001
unidfequip305070210002	5	244	244	702001	703001	704001
unidfequip306070210002	6	244	244	702001	703001	704001
unidfequip301070210003	1	244	244	702001	703001	704001
unidfequip302070210003	2	244	244	702001	703001	704001
unidfequip303070210003	3	244	244	702001	703001	704001
unidfequip304070210003	4	244	244	702001	703001	704001
unidfequip305070210003	5	244	244	702001	703001	704001
unidfequip306070210003	6	244	244	702001	703001	704001
unidfequip301070210004	1	244	244	702001	703001	704001
unidfequip302070210004	2	244	244	702001	703001	704001
unidfequip303070210004	3	244	244	702001	703001	704001
unidfequip304070210004	4	244	244	702001	703001	704001
unidfequip305070210004	5	244	244	702001	703001	704001
unidfequip306070210004	6	244	244	702001	703001	704001
unidfequip301070210005	1	244	244	702001	703001	704001
unidfequip302070210005	2	244	244	702001	703001	704001
unidfequip303070210005	3	244	244	702001	703001	704001
unidfequip304070210005	4	244	244	702001	703001	704001
unidfequip305070210005	5	244	244	702001	703001	704001
unidfequip306070210005	6	244	244	702001	703001	704001
unidfequip301070210006	1	244	244	702001	703001	704001
unidfequip302070210006	2	244	244	702001	703001	704001
unidfequip303070210006	3	244	244	702001	703001	704001
unidfequip304070210006	4	244	244	702001	703001	704001
unidfequip305070210006	5	244	244	702001	703001	704001
unidfequip306070210006	6	244	244	702001	703001	704001
unidfequip301070220001	1	489	489	702001	703001	704001
unidfequip302070220001	2	489	489	702001	703001	704001
unidfequip303070220001	3	489	489	702001	703001	704001
unidfequip304070220001	4	489	489	702001	703001	704001
unidfequip305070220001	5	489	489	702001	703001	704001
unidfequip306070220001	6	489	489	702001	703001	704001
unidfequip301070220002	1	489	489	702001	703001	704001
unidfequip302070220002	2	489	489	702001	703001	704001
unidfequip303070220002	3	489	489	702001	703001	704001
unidfequip304070220002	4	489	489	702001	703001	704001
unidfequip305070220002	5	489	489	702001	703001	704001
unidfequip306070220002	6	489	489	702001	703001	704001
unidfequip301070220003	1	489	489	702001	703001	704001
unidfequip302070220003	2	489	489	702001	703001	704001
unidfequip303070220003	3	489	489	702001	703001	704001
unidfequip304070220003	4	489	489	702001	703001	704001
unidfequip305070220003	5	489	489	702001	703001	704001
unidfequip306070220003	6	489	489	702001	703001	704001
unidfequip301070220004	1	489	489	702001	703001	704001
unidfequip302070220004	2	489	489	702001	703001	704001
unidfequip303070220004	3	489	489	702001	703001	704001
unidfequip304070220004	4	489	489	702001	703001	704001
unidfequip305070220004	5	489	489	702001	703001	704001
unidfequip306070220004	6	489	489	702001	703001	704001
unidfequip301070220005	1	489	489	702001	703001	704001
unidfequip302070220005	2	489	489	702001	703001	704001
unidfequip303070220005	3	489	489	702001	703001	704001
unidfequip304070220005	4	489	489	702001	703001	704001
unidfequip305070220005	5	489	489	702001	703001	704001
unidfequip306070220005	6	489	489	702001	703001	704001
unidfequip301070220006	1	489	489	702001	703001	704001
unidfequip302070220006	2	489	489	702001	703001	704001
unidfequip303070220006	3	489	489	702001	703001	704001
unidfequip304070220006	4	489	489	702001	703001	704001
unidfequip305070220006	5	489	489	702001	703001	704001
unidfequip306070220006	6	489	489	702001	703001	704001
unidfequip301070230001	1	550	612	702001	703001	704001
unidfequip302070230001	2	550	612	702001	703001	704001
unidfequip303070230001	3	550	612	702001	703001	704001
unidfequip304070230001	4	550	612	702001	703001	704001
unidfequip305070230001	5	550	612	702001	703001	704001
unidfequip306070230001	6	550	612	702001	703001	704001
unidfequip301070230002	1	550	612	702001	703001	704001
unidfequip302070230002	2	550	612	702001	703001	704001
unidfequip303070230002	3	550	612	702001	703001	704001
unidfequip304070230002	4	550	612	702001	703001	704001
unidfequip305070230002	5	550	612	702001	703001	704001
unidfequip306070230002	6	550	612	702001	703001	704001
unidfequip301070230003	1	550	612	702001	703001	704001
unidfequip302070230003	2	550	612	702001	703001	704001
unidfequip303070230003	3	550	612	702001	703001	704001
unidfequip304070230003	4	550	612	702001	703001	704001
unidfequip305070230003	5	550	612	702001	703001	704001
unidfequip306070230003	6	550	612	702001	703001	704001
unidfequip301070230004	1	550	612	702001	703001	704001
unidfequip302070230004	2	550	612	702001	703001	704001
unidfequip303070230004	3	550	612	702001	703001	704001
unidfequip304070230004	4	550	612	702001	703001	704001
unidfequip305070230004	5	550	612	702001	703001	704001
unidfequip306070230004	6	550	612	702001	703001	704001
unidfequip301070230005	1	550	612	702001	703001	704001
unidfequip302070230005	2	550	612	702001	703001	704001
unidfequip303070230005	3	550	612	702001	703001	704001
unidfequip304070230005	4	550	612	702001	703001	704001
unidfequip305070230005	5	550	612	702001	703001	704001
unidfequip306070230005	6	550	612	702001	703001	704001
unidfequip301070230006	1	550	612	702001	703001	704001
unidfequip302070230006	2	550	612	702001	703001	704001
unidfequip303070230006	3	550	612	702001	703001	704001
unidfequip304070230006	4	550	612	702001	703001	704001
unidfequip305070230006	5	550	612	702001	703001	704001
unidfequip306070230006	6	550	612	702001	703001	704001
unidfequip301070240001	1	664	738	702001	703001	704001
unidfequip302070240001	2	664	738	702001	703001	704001
unidfequip303070240001	3	664	738	702001	703001	704001
unidfequip304070240001	4	664	738	702001	703001	704001
unidfequip305070240001	5	664	738	702001	703001	704001
unidfequip306070240001	6	664	738	702001	703001	704001
unidfequip301070240002	1	664	738	702001	703001	704001
unidfequip302070240002	2	664	738	702001	703001	704001
unidfequip303070240002	3	664	738	702001	703001	704001
unidfequip304070240002	4	664	738	702001	703001	704001
unidfequip305070240002	5	664	738	702001	703001	704001
unidfequip306070240002	6	664	738	702001	703001	704001
unidfequip301070240003	1	664	738	702001	703001	704001
unidfequip302070240003	2	664	738	702001	703001	704001
unidfequip303070240003	3	664	738	702001	703001	704001
unidfequip304070240003	4	664	738	702001	703001	704001
unidfequip305070240003	5	664	738	702001	703001	704001
unidfequip306070240003	6	664	738	702001	703001	704001
unidfequip301070240004	1	664	738	702001	703001	704001
unidfequip302070240004	2	664	738	702001	703001	704001
unidfequip303070240004	3	664	738	702001	703001	704001
unidfequip304070240004	4	664	738	702001	703001	704001
unidfequip305070240004	5	664	738	702001	703001	704001
unidfequip306070240004	6	664	738	702001	703001	704001
unidfequip301070240005	1	664	738	702001	703001	704001
unidfequip302070240005	2	664	738	702001	703001	704001
unidfequip303070240005	3	664	738	702001	703001	704001
unidfequip304070240005	4	664	738	702001	703001	704001
unidfequip305070240005	5	664	738	702001	703001	704001
unidfequip306070240005	6	664	738	702001	703001	704001
unidfequip301070240006	1	664	738	702001	703001	704001
unidfequip302070240006	2	664	738	702001	703001	704001
unidfequip303070240006	3	664	738	702001	703001	704001
unidfequip304070240006	4	664	738	702001	703001	704001
unidfequip305070240006	5	664	738	702001	703001	704001
unidfequip306070240006	6	664	738	702001	703001	704001
unidfequip307070210999	7	266	266	702001	703001	704001
unidfequip308070210999	8	266	266	702001	703001	704001
unidfequip309070210999	9	266	266	702001	703001	704001
unidfequip310070210999	10	266	266	702001	703001	704001
unidfequip307070220999	7	532	532	702001	703001	704001
unidfequip308070220999	8	532	532	702001	703001	704001
unidfequip309070220999	9	532	532	702001	703001	704001
unidfequip310070220999	10	532	532	702001	703001	704001
unidfequip307070230999	7	599	666	702001	703001	704001
unidfequip308070230999	8	599	666	702001	703001	704001
unidfequip309070230999	9	599	666	702001	703001	704001
unidfequip310070230999	10	599	666	702001	703001	704001
unidfequip307070240999	7	0	661	702001	703001	704001
unidfequip308070240999	8	0	661	702001	703001	704001
unidfequip309070240999	9	0	661	702001	703001	704001
unidfequip310070240999	10	0	661	702001	703001	704001
unidfequip301080210001	1	284	284	802001	803001	804001
unidfequip302080210001	2	284	284	802001	803001	804001
unidfequip303080210001	3	284	284	802001	803001	804001
unidfequip304080210001	4	284	284	802001	803001	804001
unidfequip305080210001	5	284	284	802001	803001	804001
unidfequip306080210001	6	284	284	802001	803001	804001
unidfequip301080210002	1	284	284	802001	803001	804001
unidfequip302080210002	2	284	284	802001	803001	804001
unidfequip303080210002	3	284	284	802001	803001	804001
unidfequip304080210002	4	284	284	802001	803001	804001
unidfequip305080210002	5	284	284	802001	803001	804001
unidfequip306080210002	6	284	284	802001	803001	804001
unidfequip301080210003	1	284	284	802001	803001	804001
unidfequip302080210003	2	284	284	802001	803001	804001
unidfequip303080210003	3	284	284	802001	803001	804001
unidfequip304080210003	4	284	284	802001	803001	804001
unidfequip305080210003	5	284	284	802001	803001	804001
unidfequip306080210003	6	284	284	802001	803001	804001
unidfequip301080210004	1	284	284	802001	803001	804001
unidfequip302080210004	2	284	284	802001	803001	804001
unidfequip303080210004	3	284	284	802001	803001	804001
unidfequip304080210004	4	284	284	802001	803001	804001
unidfequip305080210004	5	284	284	802001	803001	804001
unidfequip306080210004	6	284	284	802001	803001	804001
unidfequip301080210005	1	284	284	802001	803001	804001
unidfequip302080210005	2	284	284	802001	803001	804001
unidfequip303080210005	3	284	284	802001	803001	804001
unidfequip304080210005	4	284	284	802001	803001	804001
unidfequip305080210005	5	284	284	802001	803001	804001
unidfequip306080210005	6	284	284	802001	803001	804001
unidfequip301080210006	1	284	284	802001	803001	804001
unidfequip302080210006	2	284	284	802001	803001	804001
unidfequip303080210006	3	284	284	802001	803001	804001
unidfequip304080210006	4	284	284	802001	803001	804001
unidfequip305080210006	5	284	284	802001	803001	804001
unidfequip306080210006	6	284	284	802001	803001	804001
unidfequip301080220001	1	568	568	802001	803001	804001
unidfequip302080220001	2	568	568	802001	803001	804001
unidfequip303080220001	3	568	568	802001	803001	804001
unidfequip304080220001	4	568	568	802001	803001	804001
unidfequip305080220001	5	568	568	802001	803001	804001
unidfequip306080220001	6	568	568	802001	803001	804001
unidfequip301080220002	1	568	568	802001	803001	804001
unidfequip302080220002	2	568	568	802001	803001	804001
unidfequip303080220002	3	568	568	802001	803001	804001
unidfequip304080220002	4	568	568	802001	803001	804001
unidfequip305080220002	5	568	568	802001	803001	804001
unidfequip306080220002	6	568	568	802001	803001	804001
unidfequip301080220003	1	568	568	802001	803001	804001
unidfequip302080220003	2	568	568	802001	803001	804001
unidfequip303080220003	3	568	568	802001	803001	804001
unidfequip304080220003	4	568	568	802001	803001	804001
unidfequip305080220003	5	568	568	802001	803001	804001
unidfequip306080220003	6	568	568	802001	803001	804001
unidfequip301080220004	1	568	568	802001	803001	804001
unidfequip302080220004	2	568	568	802001	803001	804001
unidfequip303080220004	3	568	568	802001	803001	804001
unidfequip304080220004	4	568	568	802001	803001	804001
unidfequip305080220004	5	568	568	802001	803001	804001
unidfequip306080220004	6	568	568	802001	803001	804001
unidfequip301080220005	1	568	568	802001	803001	804001
unidfequip302080220005	2	568	568	802001	803001	804001
unidfequip303080220005	3	568	568	802001	803001	804001
unidfequip304080220005	4	568	568	802001	803001	804001
unidfequip305080220005	5	568	568	802001	803001	804001
unidfequip306080220005	6	568	568	802001	803001	804001
unidfequip301080220006	1	568	568	802001	803001	804001
unidfequip302080220006	2	568	568	802001	803001	804001
unidfequip303080220006	3	568	568	802001	803001	804001
unidfequip304080220006	4	568	568	802001	803001	804001
unidfequip305080220006	5	568	568	802001	803001	804001
unidfequip306080220006	6	568	568	802001	803001	804001
unidfequip301080230001	1	639	711	802001	803001	804001
unidfequip302080230001	2	639	711	802001	803001	804001
unidfequip303080230001	3	639	711	802001	803001	804001
unidfequip304080230001	4	639	711	802001	803001	804001
unidfequip305080230001	5	639	711	802001	803001	804001
unidfequip306080230001	6	639	711	802001	803001	804001
unidfequip301080230002	1	639	711	802001	803001	804001
unidfequip302080230002	2	639	711	802001	803001	804001
unidfequip303080230002	3	639	711	802001	803001	804001
unidfequip304080230002	4	639	711	802001	803001	804001
unidfequip305080230002	5	639	711	802001	803001	804001
unidfequip306080230002	6	639	711	802001	803001	804001
unidfequip301080230003	1	639	711	802001	803001	804001
unidfequip302080230003	2	639	711	802001	803001	804001
unidfequip303080230003	3	639	711	802001	803001	804001
unidfequip304080230003	4	639	711	802001	803001	804001
unidfequip305080230003	5	639	711	802001	803001	804001
unidfequip306080230003	6	639	711	802001	803001	804001
unidfequip301080230004	1	639	711	802001	803001	804001
unidfequip302080230004	2	639	711	802001	803001	804001
unidfequip303080230004	3	639	711	802001	803001	804001
unidfequip304080230004	4	639	711	802001	803001	804001
unidfequip305080230004	5	639	711	802001	803001	804001
unidfequip306080230004	6	639	711	802001	803001	804001
unidfequip301080230005	1	639	711	802001	803001	804001
unidfequip302080230005	2	639	711	802001	803001	804001
unidfequip303080230005	3	639	711	802001	803001	804001
unidfequip304080230005	4	639	711	802001	803001	804001
unidfequip305080230005	5	639	711	802001	803001	804001
unidfequip306080230005	6	639	711	802001	803001	804001
unidfequip301080230006	1	639	711	802001	803001	804001
unidfequip302080230006	2	639	711	802001	803001	804001
unidfequip303080230006	3	639	711	802001	803001	804001
unidfequip304080230006	4	639	711	802001	803001	804001
unidfequip305080230006	5	639	711	802001	803001	804001
unidfequip306080230006	6	639	711	802001	803001	804001
unidfequip301080240001	1	753	837	802001	803001	804001
unidfequip302080240001	2	753	837	802001	803001	804001
unidfequip303080240001	3	753	837	802001	803001	804001
unidfequip304080240001	4	753	837	802001	803001	804001
unidfequip305080240001	5	753	837	802001	803001	804001
unidfequip306080240001	6	753	837	802001	803001	804001
unidfequip301080240002	1	753	837	802001	803001	804001
unidfequip302080240002	2	753	837	802001	803001	804001
unidfequip303080240002	3	753	837	802001	803001	804001
