星座ID	星座名	星痕简体描述	星座概要描述	星痕下方的展示奖励	首通奖励	首通奖励展示	通关奖励	通关奖励展示	未通关星座图	已通关星座图	地表特效	地表特效偏移	最小携带佣兵数量	关联星域星座表头	关联任务描述	挑战星痕限制时长	挑战星痕限制等级
69	Star_Sagittarius	StarSimple_Sagittarius	Star_Sagittarius_des	item105000000029	item1000,90000;item105000000029,1;item105000000030,3;item177000000001,1;item177000000002,2	item1000,90000;item105000000029,1;item105000000030,3;item177000000001,1;item177000000002,2	item1000,34000;item1026,5;item105000000030,1;item2001,17000;item177000000003,3;item177000000006,2	item1000,34000;item1026,5;item105000000030,1;item2001,17000;item177000000003,3;item177000000006,2	icon_sagittarius_down	icon_sagittarius_up	10000062	0,-4,0	1	Star_Sagittarius	StarStr	60	50
70	Star_Capricorn	StarSimple_Capricorn	Star_Capricorn_des	item105000000029	item1000,95000;item105000000029,1;item105000000030,3;item177000000001,1;item177000000002,2	item1000,95000;item105000000029,1;item105000000030,3;item177000000001,1;item177000000002,2	item1000,36000;item1026,5;item105000000030,1;item2001,24000;item177000000003,3	item1000,36000;item1026,5;item105000000030,1;item2001,24000;item177000000003,3	icon_capricorn_down	icon_capricorn_up	10000063	0,-4,0	1	Star_Capricorn	StarStr	70	50
71	Star_Aquarius	StarSimple_Aquarius	Star_Aquarius_des	item105000000029	item1000,100000;item105000000029,1;item105000000030,3;item177000000001,1;item177000000002,2	item1000,100000;item105000000029,1;item105000000030,3;item177000000001,1;item177000000002,2	item1000,38000;item1026,5;item105000000030,1;item2001,34000;item177000000003,3	item1000,38000;item1026,5;item105000000030,1;item2001,34000;item177000000003,3	icon_aquarius_down	icon_aquarius_up	10000064	0,-4,0	1	Star_Aquarius	StarStr	90	50
72	Star_Pisces	StarSimple_Pisces	Star_Pisces_des	item105000000029	item1000,105000;item105000000029,1;item105000000030,3;item177000000001,1;item177000000002,2	item1000,105000;item105000000029,1;item105000000030,3;item177000000001,1;item177000000002,2	item1000,40000;item1026,5;item105000000030,1;item2001,44000;item177000000003,3;item177000000006,2	item1000,40000;item1026,5;item105000000030,1;item2001,44000;item177000000003,3;item177000000006,2	icon_pisces_down	icon_pisces_up	10000065	0,-4,0	1	Star_Pisces	StarStr	100	50
73	Star_Aries	StarSimple_Aries	Star_Aries_des	item105000000029	item1000,55000;item105000000029,1;item105000000030,3;item177000000001,1;item177000000002,2	item1000,55000;item105000000029,1;item105000000030,3;item177000000001,1;item177000000002,2	item1000,20000;item1026,5;item105000000030,1;item2001,10000;item177000000003,3	item1000,20000;item1026,5;item105000000030,1;item2001,10000;item177000000003,3	icon_aries_down	icon_aries_up	10000054	0,-4,0	1	Star_Aries	StarStr	30	55
74	Star_Taurus	StarSimple_Taurus	Star_Taurus_des	item105000000029	item1000,60000;item105000000029,1;item105000000030,3;item177000000001,1;item177000000002,2	item1000,60000;item105000000029,1;item105000000030,3;item177000000001,1;item177000000002,2	item1000,22000;item1026,5;item105000000030,1;item2001,11000;item177000000003,3	item1000,22000;item1026,5;item105000000030,1;item2001,11000;item177000000003,3	icon_taurus_down	icon_taurus_up	10000055	0,-4,0	1	Star_Taurus	StarStr	30	55
75	Star_Gemini	StarSimple_Gemini	Star_Gemini_des	item105000000029	item1000,65000;item105000000029,1;item105000000030,3;item177000000001,1;item177000000002,2	item1000,65000;item105000000029,1;item105000000030,3;item177000000001,1;item177000000002,2	item1000,24000;item1026,5;item105000000030,1;item2001,12000;item177000000003,3;item177000000007,1	item1000,24000;item1026,5;item105000000030,1;item2001,12000;item177000000003,3;item177000000007,1	icon_gemini_down	icon_gemini_up	10000056	0,-4,0	1	Star_Gemini	StarStr	30	55
76	Star_Cancer	StarSimple_Cancer	Star_Cancer_des	item105000000029	item1000,70000;item105000000029,1;item105000000030,3;item177000000001,1;item177000000002,2	item1000,70000;item105000000029,1;item105000000030,3;item177000000001,1;item177000000002,2	item1000,26000;item1026,5;item105000000030,1;item2001,13000;item177000000003,3	item1000,26000;item1026,5;item105000000030,1;item2001,13000;item177000000003,3	icon_cancer_down	icon_cancer_up	10000057	0,-4,0	1	Star_Cancer	StarStr	50	55
77	Star_Leo	StarSimple_Leo	Star_Leo_des	item105000000029	item1000,75000;item105000000029,1;item105000000030,3;item177000000001,1;item177000000002,2	item1000,75000;item105000000029,1;item105000000030,3;item177000000001,1;item177000000002,2	item1000,28000;item1026,5;item105000000030,1;item2001,14000;item177000000003,3	item1000,28000;item1026,5;item105000000030,1;item2001,14000;item177000000003,3	icon_leo_down	icon_leo_up	10000058	0,-4,0	1	Star_Leo	StarStr	50	55
78	Star_Virgo	StarSimple_Virgo	Star_Virgo_des	item105000000029	item1000,80000;item105000000029,1;item105000000030,3;item177000000001,1;item177000000002,2	item1000,80000;item105000000029,1;item105000000030,3;item177000000001,1;item177000000002,2	item1000,30000;item1026,5;item105000000030,1;item2001,15000;item177000000003,3;item177000000007,1	item1000,30000;item1026,5;item105000000030,1;item2001,15000;item177000000003,3;item177000000007,1	icon_virgo_down	icon_virgo_up	10000059	0,-4,0	1	Star_Virgo	StarStr	50	55
79	Star_Libra	StarSimple_Libra	Star_Libra_des	item105000000029	item1000,85000;item105000000029,1;item105000000030,3;item177000000001,1;item177000000002,2	item1000,85000;item105000000029,1;item105000000030,3;item177000000001,1;item177000000002,2	item1000,32000;item1026,5;item105000000030,1;item2001,16000;item177000000003,3	item1000,32000;item1026,5;item105000000030,1;item2001,16000;item177000000003,3	icon_libra_down	icon_libra_up	10000060	0,-4,0	1	Star_Libra	StarStr	60	55
80	Star_Scorpio	StarSimple_Scorpio	Star_Scorpio_des	item105000000029	item1000,90000;item105000000029,1;item105000000030,3;item177000000001,1;item177000000002,2	item1000,90000;item105000000029,1;item105000000030,3;item177000000001,1;item177000000002,2	item1000,34000;item1026,5;item105000000030,1;item2001,17000;item177000000003,3	item1000,34000;item1026,5;item105000000030,1;item2001,17000;item177000000003,3	icon_scorpio_down	icon_scorpio_up	10000061	0,-4,0	1	Star_Scorpio	StarStr	60	55
81	Star_Sagittarius	StarSimple_Sagittarius	Star_Sagittarius_des	item105000000029	item1000,95000;item105000000029,1;item105000000030,3;item177000000001,1;item177000000002,2	item1000,95000;item105000000029,1;item105000000030,3;item177000000001,1;item177000000002,2	item1000,36000;item1026,5;item105000000030,1;item2001,18000;item177000000003,3;item177000000007,2	item1000,36000;item1026,5;item105000000030,1;item2001,18000;item177000000003,3;item177000000007,2	icon_sagittarius_down	icon_sagittarius_up	10000062	0,-4,0	1	Star_Sagittarius	StarStr	60	55
82	Star_Capricorn	StarSimple_Capricorn	Star_Capricorn_des	item105000000029	item1000,100000;item105000000029,1;item105000000030,3;item177000000001,1;item177000000002,2	item1000,100000;item105000000029,1;item105000000030,3;item177000000001,1;item177000000002,2	item1000,38000;item1026,5;item105000000030,1;item2001,25000;item177000000003,3	item1000,38000;item1026,5;item105000000030,1;item2001,25000;item177000000003,3	icon_capricorn_down	icon_capricorn_up	10000063	0,-4,0	1	Star_Capricorn	StarStr	70	55
83	Star_Aquarius	StarSimple_Aquarius	Star_Aquarius_des	item105000000029	item1000,105000;item105000000029,1;item105000000030,3;item177000000001,1;item177000000002,2	item1000,105000;item105000000029,1;item105000000030,3;item177000000001,1;item177000000002,2	item1000,40000;item1026,5;item105000000030,1;item2001,35000;item177000000003,3	item1000,40000;item1026,5;item105000000030,1;item2001,35000;item177000000003,3	icon_aquarius_down	icon_aquarius_up	10000064	0,-4,0	1	Star_Aquarius	StarStr	90	55
84	Star_Pisces	StarSimple_Pisces	Star_Pisces_des	item105000000029	item1000,110000;item105000000029,1;item105000000030,3;item177000000001,1;item177000000002,2	item1000,110000;item105000000029,1;item105000000030,3;item177000000001,1;item177000000002,2	item1000,42000;item1026,5;item105000000030,1;item2001,45000;item177000000003,3;item177000000007,2	item1000,42000;item1026,5;item105000000030,1;item2001,45000;item177000000003,3;item177000000007,2	icon_pisces_down	icon_pisces_up	10000065	0,-4,0	1	Star_Pisces	StarStr	100	55
85	Star_Aries	StarSimple_Aries	Star_Aries_des	item105000000029	item1000,60000;item105000000029,1;item105000000030,3;item177000000001,1;item177000000002,2	item1000,60000;item105000000029,1;item105000000030,3;item177000000001,1;item177000000002,2	item1000,22000;item1026,5;item105000000030,1;item2001,11000;item177000000003,3	item1000,22000;item1026,5;item105000000030,1;item2001,11000;item177000000003,3	icon_aries_down	icon_aries_up	10000054	0,-4,0	1	Star_Aries	StarStr	30	56
86	Star_Taurus	StarSimple_Taurus	Star_Taurus_des	item105000000029	item1000,65000;item105000000029,1;item105000000030,3;item177000000001,1;item177000000002,2	item1000,65000;item105000000029,1;item105000000030,3;item177000000001,1;item177000000002,2	item1000,24000;item1026,5;item105000000030,1;item2001,12000;item177000000003,3	item1000,24000;item1026,5;item105000000030,1;item2001,12000;item177000000003,3	icon_taurus_down	icon_taurus_up	10000055	0,-4,0	1	Star_Taurus	StarStr	30	56
87	Star_Gemini	StarSimple_Gemini	Star_Gemini_des	item105000000029	item1000,70000;item105000000029,1;item105000000030,3;item177000000001,1;item177000000002,2	item1000,70000;item105000000029,1;item105000000030,3;item177000000001,1;item177000000002,2	item1000,26000;item1026,5;item105000000030,1;item2001,13000;item177000000003,3;item177000000008,1	item1000,26000;item1026,5;item105000000030,1;item2001,13000;item177000000003,3;item177000000008,1	icon_gemini_down	icon_gemini_up	10000056	0,-4,0	1	Star_Gemini	StarStr	30	56
88	Star_Cancer	StarSimple_Cancer	Star_Cancer_des	item105000000029	item1000,75000;item105000000029,1;item105000000030,3;item177000000001,1;item177000000002,2	item1000,75000;item105000000029,1;item105000000030,3;item177000000001,1;item177000000002,2	item1000,28000;item1026,5;item105000000030,1;item2001,14000;item177000000003,3	item1000,28000;item1026,5;item105000000030,1;item2001,14000;item177000000003,3	icon_cancer_down	icon_cancer_up	10000057	0,-4,0	1	Star_Cancer	StarStr	50	56
89	Star_Leo	StarSimple_Leo	Star_Leo_des	item105000000029	item1000,80000;item105000000029,1;item105000000030,3;item177000000001,1;item177000000002,2	item1000,80000;item105000000029,1;item105000000030,3;item177000000001,1;item177000000002,2	item1000,30000;item1026,5;item105000000030,1;item2001,15000;item177000000003,3	item1000,30000;item1026,5;item105000000030,1;item2001,15000;item177000000003,3	icon_leo_down	icon_leo_up	10000058	0,-4,0	1	Star_Leo	StarStr	50	56
90	Star_Virgo	StarSimple_Virgo	Star_Virgo_des	item105000000029	item1000,85000;item105000000029,1;item105000000030,3;item177000000001,1;item177000000002,2	item1000,85000;item105000000029,1;item105000000030,3;item177000000001,1;item177000000002,2	item1000,32000;item1026,5;item105000000030,1;item2001,16000;item177000000003,3;item177000000008,1	item1000,32000;item1026,5;item105000000030,1;item2001,16000;item177000000003,3;item177000000008,1	icon_virgo_down	icon_virgo_up	10000059	0,-4,0	1	Star_Virgo	StarStr	50	56
91	Star_Libra	StarSimple_Libra	Star_Libra_des	item105000000029	item1000,90000;item105000000029,1;item105000000030,3;item177000000001,1;item177000000002,2	item1000,90000;item105000000029,1;item105000000030,3;item177000000001,1;item177000000002,2	item1000,34000;item1026,5;item105000000030,1;item2001,17000;item177000000003,3	item1000,34000;item1026,5;item105000000030,1;item2001,17000;item177000000003,3	icon_libra_down	icon_libra_up	10000060	0,-4,0	1	Star_Libra	StarStr	60	56
92	Star_Scorpio	StarSimple_Scorpio	Star_Scorpio_des	item105000000029	item1000,95000;item105000000029,1;item105000000030,3;item177000000001,1;item177000000002,2	item1000,95000;item105000000029,1;item105000000030,3;item177000000001,1;item177000000002,2	item1000,36000;item1026,5;item105000000030,1;item2001,18000;item177000000003,3	item1000,36000;item1026,5;item105000000030,1;item2001,18000;item177000000003,3	icon_scorpio_down	icon_scorpio_up	10000061	0,-4,0	1	Star_Scorpio	StarStr	60	56
93	Star_Sagittarius	StarSimple_Sagittarius	Star_Sagittarius_des	item105000000029	item1000,100000;item105000000029,1;item105000000030,3;item177000000001,1;item177000000002,2	item1000,100000;item105000000029,1;item105000000030,3;item177000000001,1;item177000000002,2	item1000,38000;item1026,5;item105000000030,1;item2001,19000;item177000000003,3;item177000000008,2	item1000,38000;item1026,5;item105000000030,1;item2001,19000;item177000000003,3;item177000000008,2	icon_sagittarius_down	icon_sagittarius_up	10000062	0,-4,0	1	Star_Sagittarius	StarStr	60	56
94	Star_Capricorn	StarSimple_Capricorn	Star_Capricorn_des	item105000000029	item1000,105000;item105000000029,1;item105000000030,3;item177000000001,1;item177000000002,2	item1000,105000;item105000000029,1;item105000000030,3;item177000000001,1;item177000000002,2	item1000,40000;item1026,5;item105000000030,1;item2001,26000;item177000000003,3	item1000,40000;item1026,5;item105000000030,1;item2001,26000;item177000000003,3	icon_capricorn_down	icon_capricorn_up	10000063	0,-4,0	1	Star_Capricorn	StarStr	70	56
95	Star_Aquarius	StarSimple_Aquarius	Star_Aquarius_des	item105000000029	item1000,110000;item105000000029,1;item105000000030,3;item177000000001,1;item177000000002,2	item1000,110000;item105000000029,1;item105000000030,3;item177000000001,1;item177000000002,2	item1000,42000;item1026,5;item105000000030,1;item2001,36000;item177000000003,3	item1000,42000;item1026,5;item105000000030,1;item2001,36000;item177000000003,3	icon_aquarius_down	icon_aquarius_up	10000064	0,-4,0	1	Star_Aquarius	StarStr	90	56
96	Star_Pisces	StarSimple_Pisces	Star_Pisces_des	item105000000029	item1000,115000;item105000000029,1;item105000000030,3;item177000000001,1;item177000000002,2	item1000,115000;item105000000029,1;item105000000030,3;item177000000001,1;item177000000002,2	item1000,44000;item1026,5;item105000000030,1;item2001,46000;item177000000003,3;item177000000008,2	item1000,44000;item1026,5;item105000000030,1;item2001,46000;item177000000003,3;item177000000008,2	icon_pisces_down	icon_pisces_up	10000065	0,-4,0	1	Star_Pisces	StarStr	100	56
97	Star_Aries	StarSimple_Aries	Star_Aries_des	item105000000029	item1000,65000;item105000000029,1;item105000000030,3;item177000000001,1;item177000000002,2	item1000,65000;item105000000029,1;item105000000030,3;item177000000001,1;item177000000002,2	item1000,24000;item1026,5;item105000000030,1;item2001,12000;item177000000003,3	item1000,24000;item1026,5;item105000000030,1;item2001,12000;item177000000003,3	icon_aries_down	icon_aries_up	10000054	0,-4,0	1	Star_Aries	StarStr	30	57
98	Star_Taurus	StarSimple_Taurus	Star_Taurus_des	item105000000029	item1000,70000;item105000000029,1;item105000000030,3;item177000000001,1;item177000000002,2	item1000,70000;item105000000029,1;item105000000030,3;item177000000001,1;item177000000002,2	item1000,26000;item1026,5;item105000000030,1;item2001,13000;item177000000003,3	item1000,26000;item1026,5;item105000000030,1;item2001,13000;item177000000003,3	icon_taurus_down	icon_taurus_up	10000055	0,-4,0	1	Star_Taurus	StarStr	30	57
99	Star_Gemini	StarSimple_Gemini	Star_Gemini_des	item105000000029	item1000,75000;item105000000029,1;item105000000030,3;item177000000001,1;item177000000002,2	item1000,75000;item105000000029,1;item105000000030,3;item177000000001,1;item177000000002,2	item1000,28000;item1026,5;item105000000030,1;item2001,14000;item177000000003,3;item177000000009,1	item1000,28000;item1026,5;item105000000030,1;item2001,14000;item177000000003,3;item177000000009,1	icon_gemini_down	icon_gemini_up	10000056	0,-4,0	1	Star_Gemini	StarStr	30	57
100	Star_Cancer	StarSimple_Cancer	Star_Cancer_des	item105000000029	item1000,80000;item105000000029,1;item105000000030,3;item177000000001,1;item177000000002,2	item1000,80000;item105000000029,1;item105000000030,3;item177000000001,1;item177000000002,2	item1000,30000;item1026,5;item105000000030,1;item2001,15000;item177000000003,3	item1000,30000;item1026,5;item105000000030,1;item2001,15000;item177000000003,3	icon_cancer_down	icon_cancer_up	10000057	0,-4,0	1	Star_Cancer	StarStr	50	57
101	Star_Leo	StarSimple_Leo	Star_Leo_des	item105000000029	item1000,85000;item105000000029,1;item105000000030,3;item177000000001,1;item177000000002,2	item1000,85000;item105000000029,1;item105000000030,3;item177000000001,1;item177000000002,2	item1000,32000;item1026,5;item105000000030,1;item2001,16000;item177000000003,3	item1000,32000;item1026,5;item105000000030,1;item2001,16000;item177000000003,3	icon_leo_down	icon_leo_up	10000058	0,-4,0	1	Star_Leo	StarStr	50	57
102	Star_Virgo	StarSimple_Virgo	Star_Virgo_des	item105000000029	item1000,90000;item105000000029,1;item105000000030,3;item177000000001,1;item177000000002,2	item1000,90000;item105000000029,1;item105000000030,3;item177000000001,1;item177000000002,2	item1000,34000;item1026,5;item105000000030,1;item2001,17000;item177000000003,3;item177000000009,1	item1000,34000;item1026,5;item105000000030,1;item2001,17000;item177000000003,3;item177000000009,1	icon_virgo_down	icon_virgo_up	10000059	0,-4,0	1	Star_Virgo	StarStr	50	57
103	Star_Libra	StarSimple_Libra	Star_Libra_des	item105000000029	item1000,95000;item105000000029,1;item105000000030,3;item177000000001,1;item177000000002,2	item1000,95000;item105000000029,1;item105000000030,3;item177000000001,1;item177000000002,2	item1000,36000;item1026,5;item105000000030,1;item2001,18000;item177000000003,3	item1000,36000;item1026,5;item105000000030,1;item2001,18000;item177000000003,3	icon_libra_down	icon_libra_up	10000060	0,-4,0	1	Star_Libra	StarStr	60	57
104	Star_Scorpio	StarSimple_Scorpio	Star_Scorpio_des	item105000000029	item1000,100000;item105000000029,1;item105000000030,3;item177000000001,1;item177000000002,2	item1000,100000;item105000000029,1;item105000000030,3;item177000000001,1;item177000000002,2	item1000,38000;item1026,5;item105000000030,1;item2001,19000;item177000000003,3	item1000,38000;item1026,5;item105000000030,1;item2001,19000;item177000000003,3	icon_scorpio_down	icon_scorpio_up	10000061	0,-4,0	1	Star_Scorpio	StarStr	60	57
105	Star_Sagittarius	StarSimple_Sagittarius	Star_Sagittarius_des	item105000000029	item1000,105000;item105000000029,1;item105000000030,3;item177000000001,1;item177000000002,2	item1000,105000;item105000000029,1;item105000000030,3;item177000000001,1;item177000000002,2	item1000,40000;item1026,5;item105000000030,1;item2001,20000;item177000000003,3;item177000000009,2	item1000,40000;item1026,5;item105000000030,1;item2001,20000;item177000000003,3;item177000000009,2	icon_sagittarius_down	icon_sagittarius_up	10000062	0,-4,0	1	Star_Sagittarius	StarStr	60	57
106	Star_Capricorn	StarSimple_Capricorn	Star_Capricorn_des	item105000000029	item1000,110000;item105000000029,1;item105000000030,3;item177000000001,1;item177000000002,2	item1000,110000;item105000000029,1;item105000000030,3;item177000000001,1;item177000000002,2	item1000,42000;item1026,5;item105000000030,1;item2001,27000;item177000000003,3	item1000,42000;item1026,5;item105000000030,1;item2001,27000;item177000000003,3	icon_capricorn_down	icon_capricorn_up	10000063	0,-4,0	1	Star_Capricorn	StarStr	70	57
107	Star_Aquarius	StarSimple_Aquarius	Star_Aquarius_des	item105000000029	item1000,115000;item105000000029,1;item105000000030,3;item177000000001,1;item177000000002,2	item1000,115000;item105000000029,1;item105000000030,3;item177000000001,1;item177000000002,2	item1000,44000;item1026,5;item105000000030,1;item2001,37000;item177000000003,3	item1000,44000;item1026,5;item105000000030,1;item2001,37000;item177000000003,3	icon_aquarius_down	icon_aquarius_up	10000064	0,-4,0	1	Star_Aquarius	StarStr	90	57
108	Star_Pisces	StarSimple_Pisces	Star_Pisces_des	item105000000029	item1000,120000;item105000000029,1;item105000000030,3;item177000000001,1;item177000000002,2	item1000,120000;item105000000029,1;item105000000030,3;item177000000001,1;item177000000002,2	item1000,46000;item1026,5;item105000000030,1;item2001,47000;item177000000003,3;item177000000009,2	item1000,46000;item1026,5;item105000000030,1;item2001,47000;item177000000003,3;item177000000009,2	icon_pisces_down	icon_pisces_up	10000065	0,-4,0	1	Star_Pisces	StarStr	100	57
109	Star_Aries	StarSimple_Aries	Star_Aries_des	item105000000029	item1000,70000;item105000000029,1;item105000000030,3;item177000000001,1;item177000000002,2	item1000,70000;item105000000029,1;item105000000030,3;item177000000001,1;item177000000002,2	item1000,26000;item1026,5;item105000000030,1;item2001,13000;item177000000003,3	item1000,26000;item1026,5;item105000000030,1;item2001,13000;item177000000003,3	icon_aries_down	icon_aries_up	10000054	0,-4,0	1	Star_Aries	StarStr	30	58
110	Star_Taurus	StarSimple_Taurus	Star_Taurus_des	item105000000029	item1000,75000;item105000000029,1;item105000000030,3;item177000000001,1;item177000000002,2	item1000,75000;item105000000029,1;item105000000030,3;item177000000001,1;item177000000002,2	item1000,28000;item1026,5;item105000000030,1;item2001,14000;item177000000003,3	item1000,28000;item1026,5;item105000000030,1;item2001,14000;item177000000003,3	icon_taurus_down	icon_taurus_up	10000055	0,-4,0	1	Star_Taurus	StarStr	30	58
111	Star_Gemini	StarSimple_Gemini	Star_Gemini_des	item105000000029	item1000,80000;item105000000029,1;item105000000030,3;item177000000001,1;item177000000002,2	item1000,80000;item105000000029,1;item105000000030,3;item177000000001,1;item177000000002,2	item1000,30000;item1026,5;item105000000030,1;item2001,15000;item177000000003,3;item177000000010,1	item1000,30000;item1026,5;item105000000030,1;item2001,15000;item177000000003,3;item177000000010,1	icon_gemini_down	icon_gemini_up	10000056	0,-4,0	1	Star_Gemini	StarStr	30	58
112	Star_Cancer	StarSimple_Cancer	Star_Cancer_des	item105000000029	item1000,85000;item105000000029,1;item105000000030,3;item177000000001,1;item177000000002,2	item1000,85000;item105000000029,1;item105000000030,3;item177000000001,1;item177000000002,2	item1000,32000;item1026,5;item105000000030,1;item2001,16000;item177000000003,3	item1000,32000;item1026,5;item105000000030,1;item2001,16000;item177000000003,3	icon_cancer_down	icon_cancer_up	10000057	0,-4,0	1	Star_Cancer	StarStr	50	58
113	Star_Leo	StarSimple_Leo	Star_Leo_des	item105000000029	item1000,90000;item105000000029,1;item105000000030,3;item177000000001,1;item177000000002,2	item1000,90000;item105000000029,1;item105000000030,3;item177000000001,1;item177000000002,2	item1000,34000;item1026,5;item105000000030,1;item2001,17000;item177000000003,3	item1000,34000;item1026,5;item105000000030,1;item2001,17000;item177000000003,3	icon_leo_down	icon_leo_up	10000058	0,-4,0	1	Star_Leo	StarStr	50	58
114	Star_Virgo	StarSimple_Virgo	Star_Virgo_des	item105000000029	item1000,95000;item105000000029,1;item105000000030,3;item177000000001,1;item177000000002,2	item1000,95000;item105000000029,1;item105000000030,3;item177000000001,1;item177000000002,2	item1000,36000;item1026,5;item105000000030,1;item2001,18000;item177000000003,3;item177000000010,1	item1000,36000;item1026,5;item105000000030,1;item2001,18000;item177000000003,3;item177000000010,1	icon_virgo_down	icon_virgo_up	10000059	0,-4,0	1	Star_Virgo	StarStr	50	58
115	Star_Libra	StarSimple_Libra	Star_Libra_des	item105000000029	item1000,100000;item105000000029,1;item105000000030,3;item177000000001,1;item177000000002,2	item1000,100000;item105000000029,1;item105000000030,3;item177000000001,1;item177000000002,2	item1000,38000;item1026,5;item105000000030,1;item2001,19000;item177000000003,3	item1000,38000;item1026,5;item105000000030,1;item2001,19000;item177000000003,3	icon_libra_down	icon_libra_up	10000060	0,-4,0	1	Star_Libra	StarStr	60	58
116	Star_Scorpio	StarSimple_Scorpio	Star_Scorpio_des	item105000000029	item1000,105000;item105000000029,1;item105000000030,3;item177000000001,1;item177000000002,2	item1000,105000;item105000000029,1;item105000000030,3;item177000000001,1;item177000000002,2	item1000,40000;item1026,5;item105000000030,1;item2001,20000;item177000000003,3	item1000,40000;item1026,5;item105000000030,1;item2001,20000;item177000000003,3	icon_scorpio_down	icon_scorpio_up	10000061	0,-4,0	1	Star_Scorpio	StarStr	60	58
117	Star_Sagittarius	StarSimple_Sagittarius	Star_Sagittarius_des	item105000000029	item1000,110000;item105000000029,1;item105000000030,3;item177000000001,1;item177000000002,2	item1000,110000;item105000000029,1;item105000000030,3;item177000000001,1;item177000000002,2	item1000,42000;item1026,5;item105000000030,1;item2001,21000;item177000000003,3;item177000000010,2	item1000,42000;item1026,5;item105000000030,1;item2001,21000;item177000000003,3;item177000000010,2	icon_sagittarius_down	icon_sagittarius_up	10000062	0,-4,0	1	Star_Sagittarius	StarStr	60	58
118	Star_Capricorn	StarSimple_Capricorn	Star_Capricorn_des	item105000000029	item1000,115000;item105000000029,1;item105000000030,3;item177000000001,1;item177000000002,2	item1000,115000;item105000000029,1;item105000000030,3;item177000000001,1;item177000000002,2	item1000,44000;item1026,5;item105000000030,1;item2001,28000;item177000000003,3	item1000,44000;item1026,5;item105000000030,1;item2001,28000;item177000000003,3	icon_capricorn_down	icon_capricorn_up	10000063	0,-4,0	1	Star_Capricorn	StarStr	70	58
119	Star_Aquarius	StarSimple_Aquarius	Star_Aquarius_des	item105000000029	item1000,120000;item105000000029,1;item105000000030,3;item177000000001,1;item177000000002,2	item1000,120000;item105000000029,1;item105000000030,3;item177000000001,1;item177000000002,2	item1000,46000;item1026,5;item105000000030,1;item2001,38000;item177000000003,3	item1000,46000;item1026,5;item105000000030,1;item2001,38000;item177000000003,3	icon_aquarius_down	icon_aquarius_up	10000064	0,-4,0	1	Star_Aquarius	StarStr	90	58
120	Star_Pisces	StarSimple_Pisces	Star_Pisces_des	item105000000029	item1000,125000;item105000000029,1;item105000000030,3;item177000000001,1;item177000000002,2	item1000,125000;item105000000029,1;item105000000030,3;item177000000001,1;item177000000002,2	item1000,48000;item1026,5;item105000000030,1;item2001,48000;item177000000003,3;item177000000010,2	item1000,48000;item1026,5;item105000000030,1;item2001,48000;item177000000003,3;item177000000010,2	icon_pisces_down	icon_pisces_up	10000065	0,-4,0	1	Star_Pisces	StarStr	100	58
121	Star_Aries	StarSimple_Aries	Star_Aries_des	item105000000029	item1000,75000;item105000000029,1;item105000000030,3;item177000000001,1;item177000000002,2	item1000,75000;item105000000029,1;item105000000030,3;item177000000001,1;item177000000002,2	item1000,28000;item1026,5;item105000000030,1;item2001,14000;item177000000003,3	item1000,28000;item1026,5;item105000000030,1;item2001,14000;item177000000003,3	icon_aries_down	icon_aries_up	10000054	0,-4,0	1	Star_Aries	StarStr	30	59
122	Star_Taurus	StarSimple_Taurus	Star_Taurus_des	item105000000029	item1000,80000;item105000000029,1;item105000000030,3;item177000000001,1;item177000000002,2	item1000,80000;item105000000029,1;item105000000030,3;item177000000001,1;item177000000002,2	item1000,30000;item1026,5;item105000000030,1;item2001,15000;item177000000003,3	item1000,30000;item1026,5;item105000000030,1;item2001,15000;item177000000003,3	icon_taurus_down	icon_taurus_up	10000055	0,-4,0	1	Star_Taurus	StarStr	30	59
123	Star_Gemini	StarSimple_Gemini	Star_Gemini_des	item105000000029	item1000,85000;item105000000029,1;item105000000030,3;item177000000001,1;item177000000002,2	item1000,85000;item105000000029,1;item105000000030,3;item177000000001,1;item177000000002,2	item1000,32000;item1026,5;item105000000030,1;item2001,16000;item177000000003,3;item177000000011,1	item1000,32000;item1026,5;item105000000030,1;item2001,16000;item177000000003,3;item177000000011,1	icon_gemini_down	icon_gemini_up	10000056	0,-4,0	1	Star_Gemini	StarStr	30	59
124	Star_Cancer	StarSimple_Cancer	Star_Cancer_des	item105000000029	item1000,90000;item105000000029,1;item105000000030,3;item177000000001,1;item177000000002,2	item1000,90000;item105000000029,1;item105000000030,3;item177000000001,1;item177000000002,2	item1000,34000;item1026,5;item105000000030,1;item2001,17000;item177000000003,3	item1000,34000;item1026,5;item105000000030,1;item2001,17000;item177000000003,3	icon_cancer_down	icon_cancer_up	10000057	0,-4,0	1	Star_Cancer	StarStr	50	59
125	Star_Leo	StarSimple_Leo	Star_Leo_des	item105000000029	item1000,95000;item105000000029,1;item105000000030,3;item177000000001,1;item177000000002,2	item1000,95000;item105000000029,1;item105000000030,3;item177000000001,1;item177000000002,2	item1000,36000;item1026,5;item105000000030,1;item2001,18000;item177000000003,3	item1000,36000;item1026,5;item105000000030,1;item2001,18000;item177000000003,3	icon_leo_down	icon_leo_up	10000058	0,-4,0	1	Star_Leo	StarStr	50	59
