ID	场景	世界等级小	世界等级大	难度	展示怪物组	界面展示怪物缩放	对应坐标组	奖励展示	boss描述	击杀个人积分	击杀服务器积分	伤害达标服务器积分
57	54	61	70	2	monster36700015;monster36700015_1;monster36700015_2	0.500000	-44.0,0.2,2.524;43.4,0.1,8.6,200;-0.6,0.2,34.9,232	item200000830003,item200000831003,item19200000500001,item19200000400001,item105900000047,item8103010132301,item8103010132311,item8103010132321,item8103010132331,item8103010132201,item8103010132211,item8103010132221,item8103010132231,item104000000012,item104000000011,item104000000001,item104000000003,item104000000002,item18000000000015,item104000000004,item104000000005,item104000000009,item104000000007	HuntPvP_BossDes_54	250	2500	0
58	55	61	70	2	monster36700012;monster36700012_1;monster36700012_2	0.800000	64.8,5.53.9,215;-47.4,3.3,-38.110;-48.10.6,-83.1,34	item200000830003,item200000831003,item19200000500001,item19200000400001,item105900000047,item8103010132301,item8103010132311,item8103010132321,item8103010132331,item8103010132201,item8103010132211,item8103010132221,item8103010132231,item104000000012,item104000000011,item104000000001,item104000000003,item104000000002,item18000000000015,item104000000004,item104000000005,item104000000009,item104000000007	HuntPvP_BossDes_55	250	2500	0
59	56	61	70	2	monster36700011;monster36700011_1;monster36700011_2	0.400000	64.8,5.53.9,215;-47.4,3.3,-38.110;-48.10.6,-83.1,34	item200000830003,item200000831003,item19200000500001,item19200000400001,item105900000047,item8103010132301,item8103010132311,item8103010132321,item8103010132331,item8103010132201,item8103010132211,item8103010132221,item8103010132231,item104000000012,item104000000011,item104000000001,item104000000003,item104000000002,item18000000000015,item104000000004,item104000000005,item104000000009,item104000000007	HuntPvP_BossDes_56	250	2500	0
60	57	61	70	2	monster36700013;monster36700013_1;monster36700013_2	0.500000	64.8,5.53.9,215;-47.4,3.3,-38.110;-48.10.6,-83.1,34	item200000830003,item200000831003,item19200000500001,item19200000400001,item105900000047,item8103010132301,item8103010132311,item8103010132321,item8103010132331,item8103010132201,item8103010132211,item8103010132221,item8103010132231,item104000000012,item104000000011,item104000000001,item104000000003,item104000000002,item18000000000015,item104000000004,item104000000005,item104000000009,item104000000007	HuntPvP_BossDes_57	250	2500	0
61	53	71	80	2	monster36700014;monster36700014_1;monster36700014_2	0.500000	-17.1,-0.5,55.7,225;47.5,4.2,47.7,225;31.6,-5.1,-51.2,250	item200000830003,item200000831003,item19200000500001,item19200000400001,item105900000047,item8103010132301,item8103010132311,item8103010132321,item8103010132331,item8103010132201,item8103010132211,item8103010132221,item8103010132231,item104000000012,item104000000011,item104000000001,item104000000003,item104000000002,item18000000000015,item104000000004,item104000000005,item104000000009,item104000000007	HuntPvP_BossDes_53	250	2500	0
62	54	71	80	2	monster36700015;monster36700015_1;monster36700015_2	0.500000	-44.0,0.2,2.524;43.4,0.1,8.6,200;-0.6,0.2,34.9,232	item200000830003,item200000831003,item19200000500001,item19200000400001,item105900000047,item8103010132301,item8103010132311,item8103010132321,item8103010132331,item8103010132201,item8103010132211,item8103010132221,item8103010132231,item104000000012,item104000000011,item104000000001,item104000000003,item104000000002,item18000000000015,item104000000004,item104000000005,item104000000009,item104000000007	HuntPvP_BossDes_54	250	2500	0
63	55	71	80	2	monster36700012;monster36700012_1;monster36700012_2	0.800000	64.8,5.53.9,215;-47.4,3.3,-38.110;-48.10.6,-83.1,34	item200000830003,item200000831003,item19200000500001,item19200000400001,item105900000047,item8103010132301,item8103010132311,item8103010132321,item8103010132331,item8103010132201,item8103010132211,item8103010132221,item8103010132231,item104000000012,item104000000011,item104000000001,item104000000003,item104000000002,item18000000000015,item104000000004,item104000000005,item104000000009,item104000000007	HuntPvP_BossDes_55	250	2500	0
64	56	71	80	2	monster36700011;monster36700011_1;monster36700011_2	0.400000	64.8,5.53.9,215;-47.4,3.3,-38.110;-48.10.6,-83.1,34	item200000830003,item200000831003,item19200000500001,item19200000400001,item105900000047,item8103010132301,item8103010132311,item8103010132321,item8103010132331,item8103010132201,item8103010132211,item8103010132221,item8103010132231,item104000000012,item104000000011,item104000000001,item104000000003,item104000000002,item18000000000015,item104000000004,item104000000005,item104000000009,item104000000007	HuntPvP_BossDes_56	250	2500	0
65	57	71	80	2	monster36700013;monster36700013_1;monster36700013_2	0.500000	64.8,5.53.9,215;-47.4,3.3,-38.110;-48.10.6,-83.1,34	item200000830003,item200000831003,item19200000500001,item19200000400001,item105900000047,item8103010132301,item8103010132311,item8103010132321,item8103010132331,item8103010132201,item8103010132211,item8103010132221,item8103010132231,item104000000012,item104000000011,item104000000001,item104000000003,item104000000002,item18000000000015,item104000000004,item104000000005,item104000000009,item104000000007	HuntPvP_BossDes_57	250	2500	0
66	53	81	90	2	monster36700014;monster36700014_1;monster36700014_2	0.500000	-17.1,-0.5,55.7,225;47.5,4.2,47.7,225;31.6,-5.1,-51.2,250	item200000830003,item200000831003,item19200000500001,item19200000400001,item105900000047,item8103010132301,item8103010132311,item8103010132321,item8103010132331,item8103010132201,item8103010132211,item8103010132221,item8103010132231,item104000000012,item104000000011,item104000000001,item104000000003,item104000000002,item18000000000015,item104000000004,item104000000005,item104000000009,item104000000007	HuntPvP_BossDes_53	250	2500	0
67	54	81	90	2	monster36700015;monster36700015_1;monster36700015_2	0.500000	-44.0,0.2,2.524;43.4,0.1,8.6,200;-0.6,0.2,34.9,232	item200000830003,item200000831003,item19200000500001,item19200000400001,item105900000047,item8103010132301,item8103010132311,item8103010132321,item8103010132331,item8103010132201,item8103010132211,item8103010132221,item8103010132231,item104000000012,item104000000011,item104000000001,item104000000003,item104000000002,item18000000000015,item104000000004,item104000000005,item104000000009,item104000000007	HuntPvP_BossDes_54	250	2500	0
68	55	81	90	2	monster36700012;monster36700012_1;monster36700012_2	0.800000	64.8,5.53.9,215;-47.4,3.3,-38.110;-48.10.6,-83.1,34	item200000830003,item200000831003,item19200000500001,item19200000400001,item105900000047,item8103010132301,item8103010132311,item8103010132321,item8103010132331,item8103010132201,item8103010132211,item8103010132221,item8103010132231,item104000000012,item104000000011,item104000000001,item104000000003,item104000000002,item18000000000015,item104000000004,item104000000005,item104000000009,item104000000007	HuntPvP_BossDes_55	250	2500	0
69	56	81	90	2	monster36700011;monster36700011_1;monster36700011_2	0.400000	64.8,5.53.9,215;-47.4,3.3,-38.110;-48.10.6,-83.1,34	item200000830003,item200000831003,item19200000500001,item19200000400001,item105900000047,item8103010132301,item8103010132311,item8103010132321,item8103010132331,item8103010132201,item8103010132211,item8103010132221,item8103010132231,item104000000012,item104000000011,item104000000001,item104000000003,item104000000002,item18000000000015,item104000000004,item104000000005,item104000000009,item104000000007	HuntPvP_BossDes_56	250	2500	0
70	57	81	90	2	monster36700013;monster36700013_1;monster36700013_2	0.500000	64.8,5.53.9,215;-47.4,3.3,-38.110;-48.10.6,-83.1,34	item200000830003,item200000831003,item19200000500001,item19200000400001,item105900000047,item8103010132301,item8103010132311,item8103010132321,item8103010132331,item8103010132201,item8103010132211,item8103010132221,item8103010132231,item104000000012,item104000000011,item104000000001,item104000000003,item104000000002,item18000000000015,item104000000004,item104000000005,item104000000009,item104000000007	HuntPvP_BossDes_57	250	2500	0
71	53	91	100	2	monster36700014;monster36700014_1;monster36700014_2	0.500000	-17.1,-0.5,55.7,225;47.5,4.2,47.7,225;31.6,-5.1,-51.2,250	item200000830003,item200000831003,item19200000500001,item19200000400001,item105900000047,item8103010132301,item8103010132311,item8103010132321,item8103010132331,item8103010132201,item8103010132211,item8103010132221,item8103010132231,item104000000012,item104000000011,item104000000001,item104000000003,item104000000002,item18000000000015,item104000000004,item104000000005,item104000000009,item104000000007	HuntPvP_BossDes_53	250	2500	0
72	54	91	100	2	monster36700015;monster36700015_1;monster36700015_2	0.500000	-44.0,0.2,2.524;43.4,0.1,8.6,200;-0.6,0.2,34.9,232	item200000830003,item200000831003,item19200000500001,item19200000400001,item105900000047,item8103010132301,item8103010132311,item8103010132321,item8103010132331,item8103010132201,item8103010132211,item8103010132221,item8103010132231,item104000000012,item104000000011,item104000000001,item104000000003,item104000000002,item18000000000015,item104000000004,item104000000005,item104000000009,item104000000007	HuntPvP_BossDes_54	250	2500	0
73	55	91	100	2	monster36700012;monster36700012_1;monster36700012_2	0.800000	64.8,5.53.9,215;-47.4,3.3,-38.110;-48.10.6,-83.1,34	item200000830003,item200000831003,item19200000500001,item19200000400001,item105900000047,item8103010132301,item8103010132311,item8103010132321,item8103010132331,item8103010132201,item8103010132211,item8103010132221,item8103010132231,item104000000012,item104000000011,item104000000001,item104000000003,item104000000002,item18000000000015,item104000000004,item104000000005,item104000000009,item104000000007	HuntPvP_BossDes_55	250	2500	0
74	56	91	100	2	monster36700011;monster36700011_1;monster36700011_2	0.400000	64.8,5.53.9,215;-47.4,3.3,-38.110;-48.10.6,-83.1,34	item200000830003,item200000831003,item19200000500001,item19200000400001,item105900000047,item8103010132301,item8103010132311,item8103010132321,item8103010132331,item8103010132201,item8103010132211,item8103010132221,item8103010132231,item104000000012,item104000000011,item104000000001,item104000000003,item104000000002,item18000000000015,item104000000004,item104000000005,item104000000009,item104000000007	HuntPvP_BossDes_56	250	2500	0
75	57	91	100	2	monster36700013;monster36700013_1;monster36700013_2	0.500000	64.8,5.53.9,215;-47.4,3.3,-38.110;-48.10.6,-83.1,34	item200000830003,item200000831003,item19200000500001,item19200000400001,item105900000047,item8103010132301,item8103010132311,item8103010132321,item8103010132331,item8103010132201,item8103010132211,item8103010132221,item8103010132231,item104000000012,item104000000011,item104000000001,item104000000003,item104000000002,item18000000000015,item104000000004,item104000000005,item104000000009,item104000000007	HuntPvP_BossDes_57	250	2500	0
76	53	101	110	2	monster36700014;monster36700014_1;monster36700014_2	0.500000	-17.1,-0.5,55.7,225;47.5,4.2,47.7,225;31.6,-5.1,-51.2,250	item200000830003,item200000831003,item19200000500001,item19200000400001,item105900000047,item8103010132301,item8103010132311,item8103010132321,item8103010132331,item8103010132201,item8103010132211,item8103010132221,item8103010132231,item104000000012,item104000000011,item104000000001,item104000000003,item104000000002,item18000000000015,item104000000004,item104000000005,item104000000009,item104000000007	HuntPvP_BossDes_53	250	2500	0
77	54	101	110	2	monster36700015;monster36700015_1;monster36700015_2	0.500000	-44.0,0.2,2.524;43.4,0.1,8.6,200;-0.6,0.2,34.9,232	item200000830003,item200000831003,item19200000500001,item19200000400001,item105900000047,item8103010132301,item8103010132311,item8103010132321,item8103010132331,item8103010132201,item8103010132211,item8103010132221,item8103010132231,item104000000012,item104000000011,item104000000001,item104000000003,item104000000002,item18000000000015,item104000000004,item104000000005,item104000000009,item104000000007	HuntPvP_BossDes_54	250	2500	0
78	55	101	110	2	monster36700012;monster36700012_1;monster36700012_2	0.800000	64.8,5.53.9,215;-47.4,3.3,-38.110;-48.10.6,-83.1,34	item200000830003,item200000831003,item19200000500001,item19200000400001,item105900000047,item8103010132301,item8103010132311,item8103010132321,item8103010132331,item8103010132201,item8103010132211,item8103010132221,item8103010132231,item104000000012,item104000000011,item104000000001,item104000000003,item104000000002,item18000000000015,item104000000004,item104000000005,item104000000009,item104000000007	HuntPvP_BossDes_55	250	2500	0
79	56	101	110	2	monster36700011;monster36700011_1;monster36700011_2	0.400000	64.8,5.53.9,215;-47.4,3.3,-38.110;-48.10.6,-83.1,34	item200000830003,item200000831003,item19200000500001,item19200000400001,item105900000047,item8103010132301,item8103010132311,item8103010132321,item8103010132331,item8103010132201,item8103010132211,item8103010132221,item8103010132231,item104000000012,item104000000011,item104000000001,item104000000003,item104000000002,item18000000000015,item104000000004,item104000000005,item104000000009,item104000000007	HuntPvP_BossDes_56	250	2500	0
80	57	101	110	2	monster36700013;monster36700013_1;monster36700013_2	0.500000	64.8,5.53.9,215;-47.4,3.3,-38.110;-48.10.6,-83.1,34	item200000830003,item200000831003,item19200000500001,item19200000400001,item105900000047,item8103010132301,item8103010132311,item8103010132321,item8103010132331,item8103010132201,item8103010132211,item8103010132221,item8103010132231,item104000000012,item104000000011,item104000000001,item104000000003,item104000000002,item18000000000015,item104000000004,item104000000005,item104000000009,item104000000007	HuntPvP_BossDes_57	250	2500	0
81	53	1	40	3	monster36700114;monster36700114_1;monster36700114_2	0.500000	-17.1,-0.5,55.7,225;47.5,4.2,47.7,225;31.6,-5.1,-51.2,250	item200000830003,item200000831003,item105900000003,item19200000500001,item19200000400001,item105900000047,item8103010132301,item8103010132311,item8103010132321,item8103010132331,item8103010132201,item8103010132211,item8103010132221,item8103010132231,item104000000012,item104000000011,item104000000001,item104000000003,item104000000002,item18000000000015,item104000000004,item104000000005,item104000000009,item104000000007	HuntPvP_BossDes_53	500	5000	0
82	54	1	40	3	monster36700115;monster36700115_1;monster36700115_2	0.500000	-44.0,0.2,2.524;43.4,0.1,8.6,200;-0.6,0.2,34.9,232	item200000830003,item200000831003,item105900000003,item19200000500001,item19200000400001,item105900000047,item8103010132301,item8103010132311,item8103010132321,item8103010132331,item8103010132201,item8103010132211,item8103010132221,item8103010132231,item104000000012,item104000000011,item104000000001,item104000000003,item104000000002,item18000000000015,item104000000004,item104000000005,item104000000009,item104000000007	HuntPvP_BossDes_54	500	5000	0
83	55	1	40	3	monster36700112;monster36700112_1;monster36700112_2	0.800000	64.8,5.53.9,215;-47.4,3.3,-38.110;-48.10.6,-83.1,34	item200000830003,item200000831003,item105900000003,item19200000500001,item19200000400001,item105900000047,item8103010132301,item8103010132311,item8103010132321,item8103010132331,item8103010132201,item8103010132211,item8103010132221,item8103010132231,item104000000012,item104000000011,item104000000001,item104000000003,item104000000002,item18000000000015,item104000000004,item104000000005,item104000000009,item104000000007	HuntPvP_BossDes_55	500	5000	0
84	56	1	40	3	monster36700111;monster36700111_1;monster36700111_2	0.400000	64.8,5.53.9,215;-47.4,3.3,-38.110;-48.10.6,-83.1,34	item200000830003,item200000831003,item105900000003,item19200000500001,item19200000400001,item105900000047,item8103010132301,item8103010132311,item8103010132321,item8103010132331,item8103010132201,item8103010132211,item8103010132221,item8103010132231,item104000000012,item104000000011,item104000000001,item104000000003,item104000000002,item18000000000015,item104000000004,item104000000005,item104000000009,item104000000007	HuntPvP_BossDes_56	500	5000	0
85	57	1	40	3	monster36700113;monster36700113_1;monster36700113_2	0.500000	64.8,5.53.9,215;-47.4,3.3,-38.110;-48.10.6,-83.1,34	item200000830003,item200000831003,item105900000003,item19200000500001,item19200000400001,item105900000047,item8103010132301,item8103010132311,item8103010132321,item8103010132331,item8103010132201,item8103010132211,item8103010132221,item8103010132231,item104000000012,item104000000011,item104000000001,item104000000003,item104000000002,item18000000000015,item104000000004,item104000000005,item104000000009,item104000000007	HuntPvP_BossDes_57	500	5000	0
86	53	41	50	3	monster36700114;monster36700114_1;monster36700114_2	0.500000	-17.1,-0.5,55.7,225;47.5,4.2,47.7,225;31.6,-5.1,-51.2,250	item200000830003,item200000831003,item105900000003,item19200000500001,item19200000400001,item105900000047,item8103010132301,item8103010132311,item8103010132321,item8103010132331,item8103010132201,item8103010132211,item8103010132221,item8103010132231,item104000000012,item104000000011,item104000000001,item104000000003,item104000000002,item18000000000015,item104000000004,item104000000005,item104000000009,item104000000007	HuntPvP_BossDes_53	500	5000	0
87	54	41	50	3	monster36700115;monster36700115_1;monster36700115_2	0.500000	-44.0,0.2,2.524;43.4,0.1,8.6,200;-0.6,0.2,34.9,232	item200000830003,item200000831003,item105900000003,item19200000500001,item19200000400001,item105900000047,item8103010132301,item8103010132311,item8103010132321,item8103010132331,item8103010132201,item8103010132211,item8103010132221,item8103010132231,item104000000012,item104000000011,item104000000001,item104000000003,item104000000002,item18000000000015,item104000000004,item104000000005,item104000000009,item104000000007	HuntPvP_BossDes_54	500	5000	0
88	55	41	50	3	monster36700112;monster36700112_1;monster36700112_2	0.800000	64.8,5.53.9,215;-47.4,3.3,-38.110;-48.10.6,-83.1,34	item200000830003,item200000831003,item105900000003,item19200000500001,item19200000400001,item105900000047,item8103010132301,item8103010132311,item8103010132321,item8103010132331,item8103010132201,item8103010132211,item8103010132221,item8103010132231,item104000000012,item104000000011,item104000000001,item104000000003,item104000000002,item18000000000015,item104000000004,item104000000005,item104000000009,item104000000007	HuntPvP_BossDes_55	500	5000	0
89	56	41	50	3	monster36700111;monster36700111_1;monster36700111_2	0.400000	64.8,5.53.9,215;-47.4,3.3,-38.110;-48.10.6,-83.1,34	item200000830003,item200000831003,item105900000003,item19200000500001,item19200000400001,item105900000047,item8103010132301,item8103010132311,item8103010132321,item8103010132331,item8103010132201,item8103010132211,item8103010132221,item8103010132231,item104000000012,item104000000011,item104000000001,item104000000003,item104000000002,item18000000000015,item104000000004,item104000000005,item104000000009,item104000000007	HuntPvP_BossDes_56	500	5000	0
90	57	41	50	3	monster36700113;monster36700113_1;monster36700113_2	0.500000	64.8,5.53.9,215;-47.4,3.3,-38.110;-48.10.6,-83.1,34	item200000830003,item200000831003,item105900000003,item19200000500001,item19200000400001,item105900000047,item8103010132301,item8103010132311,item8103010132321,item8103010132331,item8103010132201,item8103010132211,item8103010132221,item8103010132231,item104000000012,item104000000011,item104000000001,item104000000003,item104000000002,item18000000000015,item104000000004,item104000000005,item104000000009,item104000000007	HuntPvP_BossDes_57	500	5000	0
91	53	51	60	3	monster36700114;monster36700114_1;monster36700114_2	0.500000	-17.1,-0.5,55.7,225;47.5,4.2,47.7,225;31.6,-5.1,-51.2,250	item200000830003,item200000831003,item105900000003,item19200000500001,item19200000400001,item105900000047,item8103010132301,item8103010132311,item8103010132321,item8103010132331,item8103010132201,item8103010132211,item8103010132221,item8103010132231,item104000000012,item104000000011,item104000000001,item104000000003,item104000000002,item18000000000015,item104000000004,item104000000005,item104000000009,item104000000007	HuntPvP_BossDes_53	500	5000	0
92	54	51	60	3	monster36700115;monster36700115_1;monster36700115_2	0.500000	-44.0,0.2,2.524;43.4,0.1,8.6,200;-0.6,0.2,34.9,232	item200000830003,item200000831003,item105900000003,item19200000500001,item19200000400001,item105900000047,item8103010132301,item8103010132311,item8103010132321,item8103010132331,item8103010132201,item8103010132211,item8103010132221,item8103010132231,item104000000012,item104000000011,item104000000001,item104000000003,item104000000002,item18000000000015,item104000000004,item104000000005,item104000000009,item104000000007	HuntPvP_BossDes_54	500	5000	0
93	55	51	60	3	monster36700112;monster36700112_1;monster36700112_2	0.800000	64.8,5.53.9,215;-47.4,3.3,-38.110;-48.10.6,-83.1,34	item200000830003,item200000831003,item105900000003,item19200000500001,item19200000400001,item105900000047,item8103010132301,item8103010132311,item8103010132321,item8103010132331,item8103010132201,item8103010132211,item8103010132221,item8103010132231,item104000000012,item104000000011,item104000000001,item104000000003,item104000000002,item18000000000015,item104000000004,item104000000005,item104000000009,item104000000007	HuntPvP_BossDes_55	500	5000	0
94	56	51	60	3	monster36700111;monster36700111_1;monster36700111_2	0.400000	64.8,5.53.9,215;-47.4,3.3,-38.110;-48.10.6,-83.1,34	item200000830003,item200000831003,item105900000003,item19200000500001,item19200000400001,item105900000047,item8103010132301,item8103010132311,item8103010132321,item8103010132331,item8103010132201,item8103010132211,item8103010132221,item8103010132231,item104000000012,item104000000011,item104000000001,item104000000003,item104000000002,item18000000000015,item104000000004,item104000000005,item104000000009,item104000000007	HuntPvP_BossDes_56	500	5000	0
95	57	51	60	3	monster36700113;monster36700113_1;monster36700113_2	0.500000	64.8,5.53.9,215;-47.4,3.3,-38.110;-48.10.6,-83.1,34	item200000830003,item200000831003,item105900000003,item19200000500001,item19200000400001,item105900000047,item8103010132301,item8103010132311,item8103010132321,item8103010132331,item8103010132201,item8103010132211,item8103010132221,item8103010132231,item104000000012,item104000000011,item104000000001,item104000000003,item104000000002,item18000000000015,item104000000004,item104000000005,item104000000009,item104000000007	HuntPvP_BossDes_57	500	5000	0
96	53	61	70	3	monster36700114;monster36700114_1;monster36700114_2	0.500000	-17.1,-0.5,55.7,225;47.5,4.2,47.7,225;31.6,-5.1,-51.2,250	item200000830003,item200000831003,item105900000003,item19200000500001,item19200000400001,item105900000047,item8103010132301,item8103010132311,item8103010132321,item8103010132331,item8103010132201,item8103010132211,item8103010132221,item8103010132231,item104000000012,item104000000011,item104000000001,item104000000003,item104000000002,item18000000000015,item104000000004,item104000000005,item104000000009,item104000000007	HuntPvP_BossDes_53	500	5000	0
97	54	61	70	3	monster36700115;monster36700115_1;monster36700115_2	0.500000	-44.0,0.2,2.524;43.4,0.1,8.6,200;-0.6,0.2,34.9,232	item200000830003,item200000831003,item105900000003,item19200000500001,item19200000400001,item105900000047,item8103010132301,item8103010132311,item8103010132321,item8103010132331,item8103010132201,item8103010132211,item8103010132221,item8103010132231,item104000000012,item104000000011,item104000000001,item104000000003,item104000000002,item18000000000015,item104000000004,item104000000005,item104000000009,item104000000007	HuntPvP_BossDes_54	500	5000	0
98	55	61	70	3	monster36700112;monster36700112_1;monster36700112_2	0.800000	64.8,5.53.9,215;-47.4,3.3,-38.110;-48.10.6,-83.1,34	item200000830003,item200000831003,item105900000003,item19200000500001,item19200000400001,item105900000047,item8103010132301,item8103010132311,item8103010132321,item8103010132331,item8103010132201,item8103010132211,item8103010132221,item8103010132231,item104000000012,item104000000011,item104000000001,item104000000003,item104000000002,item18000000000015,item104000000004,item104000000005,item104000000009,item104000000007	HuntPvP_BossDes_55	500	5000	0
99	56	61	70	3	monster36700111;monster36700111_1;monster36700111_2	0.400000	64.8,5.53.9,215;-47.4,3.3,-38.110;-48.10.6,-83.1,34	item200000830003,item200000831003,item105900000003,item19200000500001,item19200000400001,item105900000047,item8103010132301,item8103010132311,item8103010132321,item8103010132331,item8103010132201,item8103010132211,item8103010132221,item8103010132231,item104000000012,item104000000011,item104000000001,item104000000003,item104000000002,item18000000000015,item104000000004,item104000000005,item104000000009,item104000000007	HuntPvP_BossDes_56	500	5000	0
100	57	61	70	3	monster36700113;monster36700113_1;monster36700113_2	0.500000	64.8,5.53.9,215;-47.4,3.3,-38.110;-48.10.6,-83.1,34	item200000830003,item200000831003,item105900000003,item19200000500001,item19200000400001,item105900000047,item8103010132301,item8103010132311,item8103010132321,item8103010132331,item8103010132201,item8103010132211,item8103010132221,item8103010132231,item104000000012,item104000000011,item104000000001,item104000000003,item104000000002,item18000000000015,item104000000004,item104000000005,item104000000009,item104000000007	HuntPvP_BossDes_57	500	5000	0
101	53	71	80	3	monster36700114;monster36700114_1;monster36700114_2	0.500000	-17.1,-0.5,55.7,225;47.5,4.2,47.7,225;31.6,-5.1,-51.2,250	item200000830003,item200000831003,item105900000003,item19200000500001,item19200000400001,item105900000047,item8103010132301,item8103010132311,item8103010132321,item8103010132331,item8103010132201,item8103010132211,item8103010132221,item8103010132231,item104000000012,item104000000011,item104000000001,item104000000003,item104000000002,item18000000000015,item104000000004,item104000000005,item104000000009,item104000000007	HuntPvP_BossDes_53	500	5000	0
102	54	71	80	3	monster36700115;monster36700115_1;monster36700115_2	0.500000	-44.0,0.2,2.524;43.4,0.1,8.6,200;-0.6,0.2,34.9,232	item200000830003,item200000831003,item105900000003,item19200000500001,item19200000400001,item105900000047,item8103010132301,item8103010132311,item8103010132321,item8103010132331,item8103010132201,item8103010132211,item8103010132221,item8103010132231,item104000000012,item104000000011,item104000000001,item104000000003,item104000000002,item18000000000015,item104000000004,item104000000005,item104000000009,item104000000007	HuntPvP_BossDes_54	500	5000	0
103	55	71	80	3	monster36700112;monster36700112_1;monster36700112_2	0.800000	64.8,5.53.9,215;-47.4,3.3,-38.110;-48.10.6,-83.1,34	item200000830003,item200000831003,item105900000003,item19200000500001,item19200000400001,item105900000047,item8103010132301,item8103010132311,item8103010132321,item8103010132331,item8103010132201,item8103010132211,item8103010132221,item8103010132231,item104000000012,item104000000011,item104000000001,item104000000003,item104000000002,item18000000000015,item104000000004,item104000000005,item104000000009,item104000000007	HuntPvP_BossDes_55	500	5000	0
104	56	71	80	3	monster36700111;monster36700111_1;monster36700111_2	0.400000	64.8,5.53.9,215;-47.4,3.3,-38.110;-48.10.6,-83.1,34	item200000830003,item200000831003,item105900000003,item19200000500001,item19200000400001,item105900000047,item8103010132301,item8103010132311,item8103010132321,item8103010132331,item8103010132201,item8103010132211,item8103010132221,item8103010132231,item104000000012,item104000000011,item104000000001,item104000000003,item104000000002,item18000000000015,item104000000004,item104000000005,item104000000009,item104000000007	HuntPvP_BossDes_56	500	5000	0
105	57	71	80	3	monster36700113;monster36700113_1;monster36700113_2	0.500000	64.8,5.53.9,215;-47.4,3.3,-38.110;-48.10.6,-83.1,34	item200000830003,item200000831003,item105900000003,item19200000500001,item19200000400001,item105900000047,item8103010132301,item8103010132311,item8103010132321,item8103010132331,item8103010132201,item8103010132211,item8103010132221,item8103010132231,item104000000012,item104000000011,item104000000001,item104000000003,item104000000002,item18000000000015,item104000000004,item104000000005,item104000000009,item104000000007	HuntPvP_BossDes_57	500	5000	0
106	53	81	90	3	monster36700114;monster36700114_1;monster36700114_2	0.500000	-17.1,-0.5,55.7,225;47.5,4.2,47.7,225;31.6,-5.1,-51.2,250	item200000830003,item200000831003,item105900000003,item19200000500001,item19200000400001,item105900000047,item8103010132301,item8103010132311,item8103010132321,item8103010132331,item8103010132201,item8103010132211,item8103010132221,item8103010132231,item104000000012,item104000000011,item104000000001,item104000000003,item104000000002,item18000000000015,item104000000004,item104000000005,item104000000009,item104000000007	HuntPvP_BossDes_53	500	5000	0
107	54	81	90	3	monster36700115;monster36700115_1;monster36700115_2	0.500000	-44.0,0.2,2.524;43.4,0.1,8.6,200;-0.6,0.2,34.9,232	item200000830003,item200000831003,item105900000003,item19200000500001,item19200000400001,item105900000047,item8103010132301,item8103010132311,item8103010132321,item8103010132331,item8103010132201,item8103010132211,item8103010132221,item8103010132231,item104000000012,item104000000011,item104000000001,item104000000003,item104000000002,item18000000000015,item104000000004,item104000000005,item104000000009,item104000000007	HuntPvP_BossDes_54	500	5000	0
108	55	81	90	3	monster36700112;monster36700112_1;monster36700112_2	0.800000	64.8,5.53.9,215;-47.4,3.3,-38.110;-48.10.6,-83.1,34	item200000830003,item200000831003,item105900000003,item19200000500001,item19200000400001,item105900000047,item8103010132301,item8103010132311,item8103010132321,item8103010132331,item8103010132201,item8103010132211,item8103010132221,item8103010132231,item104000000012,item104000000011,item104000000001,item104000000003,item104000000002,item18000000000015,item104000000004,item104000000005,item104000000009,item104000000007	HuntPvP_BossDes_55	500	5000	0
109	56	81	90	3	monster36700111;monster36700111_1;monster36700111_2	0.400000	64.8,5.53.9,215;-47.4,3.3,-38.110;-48.10.6,-83.1,34	item200000830003,item200000831003,item105900000003,item19200000500001,item19200000400001,item105900000047,item8103010132301,item8103010132311,item8103010132321,item8103010132331,item8103010132201,item8103010132211,item8103010132221,item8103010132231,item104000000012,item104000000011,item104000000001,item104000000003,item104000000002,item18000000000015,item104000000004,item104000000005,item104000000009,item104000000007	HuntPvP_BossDes_56	500	5000	0
110	57	81	90	3	monster36700113;monster36700113_1;monster36700113_2	0.500000	64.8,5.53.9,215;-47.4,3.3,-38.110;-48.10.6,-83.1,34	item200000830003,item200000831003,item105900000003,item19200000500001,item19200000400001,item105900000047,item8103010132301,item8103010132311,item8103010132321,item8103010132331,item8103010132201,item8103010132211,item8103010132221,item8103010132231,item104000000012,item104000000011,item104000000001,item104000000003,item104000000002,item18000000000015,item104000000004,item104000000005,item104000000009,item104000000007	HuntPvP_BossDes_57	500	5000	0
111	53	91	100	3	monster36700114;monster36700114_1;monster36700114_2	0.500000	-17.1,-0.5,55.7,225;47.5,4.2,47.7,225;31.6,-5.1,-51.2,250	item200000830003,item200000831003,item105900000003,item19200000500001,item19200000400001,item105900000047,item8103010132301,item8103010132311,item8103010132321,item8103010132331,item8103010132201,item8103010132211,item8103010132221,item8103010132231,item104000000012,item104000000011,item104000000001,item104000000003,item104000000002,item18000000000015,item104000000004,item104000000005,item104000000009,item104000000007	HuntPvP_BossDes_53	500	5000	0
