流水号	星灵ID	蕴养类型	蕴养等级	属性加成	需要经验	评分类型	值/公式
702	170000014	1	25	10000	0	1	6
703	170000014	2	0	0	120	1	6
704	170000014	2	1	400	360	1	6
705	170000014	2	2	800	600	1	6
706	170000014	2	3	1200	840	1	6
707	170000014	2	4	1600	1080	1	6
708	170000014	2	5	2000	1320	1	6
709	170000014	2	6	2400	1560	1	6
710	170000014	2	7	2800	1800	1	6
711	170000014	2	8	3200	2040	1	6
712	170000014	2	9	3600	2280	1	6
713	170000014	2	10	4000	2520	1	6
714	170000014	2	11	4400	2760	1	6
715	170000014	2	12	4800	3000	1	6
716	170000014	2	13	5200	3240	1	6
717	170000014	2	14	5600	3480	1	6
718	170000014	2	15	6000	3720	1	6
719	170000014	2	16	6400	3960	1	6
720	170000014	2	17	6800	4200	1	6
721	170000014	2	18	7200	4440	1	6
722	170000014	2	19	7600	4680	1	6
723	170000014	2	20	8000	4920	1	6
724	170000014	2	21	8400	5160	1	6
725	170000014	2	22	8800	5400	1	6
726	170000014	2	23	9200	5640	1	6
727	170000014	2	24	9600	5880	1	6
728	170000014	2	25	10000	0	1	6
729	170000015	1	0	0	120	1	6
730	170000015	1	1	400	360	1	6
731	170000015	1	2	800	600	1	6
732	170000015	1	3	1200	840	1	6
733	170000015	1	4	1600	1080	1	6
734	170000015	1	5	2000	1320	1	6
735	170000015	1	6	2400	1560	1	6
736	170000015	1	7	2800	1800	1	6
737	170000015	1	8	3200	2040	1	6
738	170000015	1	9	3600	2280	1	6
739	170000015	1	10	4000	2520	1	6
740	170000015	1	11	4400	2760	1	6
741	170000015	1	12	4800	3000	1	6
742	170000015	1	13	5200	3240	1	6
743	170000015	1	14	5600	3480	1	6
744	170000015	1	15	6000	3720	1	6
745	170000015	1	16	6400	3960	1	6
746	170000015	1	17	6800	4200	1	6
747	170000015	1	18	7200	4440	1	6
748	170000015	1	19	7600	4680	1	6
749	170000015	1	20	8000	4920	1	6
750	170000015	1	21	8400	5160	1	6
751	170000015	1	22	8800	5400	1	6
752	170000015	1	23	9200	5640	1	6
753	170000015	1	24	9600	5880	1	6
754	170000015	1	25	10000	0	1	6
755	170000015	2	0	0	120	1	6
756	170000015	2	1	400	360	1	6
757	170000015	2	2	800	600	1	6
758	170000015	2	3	1200	840	1	6
759	170000015	2	4	1600	1080	1	6
760	170000015	2	5	2000	1320	1	6
761	170000015	2	6	2400	1560	1	6
762	170000015	2	7	2800	1800	1	6
763	170000015	2	8	3200	2040	1	6
764	170000015	2	9	3600	2280	1	6
765	170000015	2	10	4000	2520	1	6
766	170000015	2	11	4400	2760	1	6
767	170000015	2	12	4800	3000	1	6
768	170000015	2	13	5200	3240	1	6
769	170000015	2	14	5600	3480	1	6
770	170000015	2	15	6000	3720	1	6
771	170000015	2	16	6400	3960	1	6
772	170000015	2	17	6800	4200	1	6
773	170000015	2	18	7200	4440	1	6
774	170000015	2	19	7600	4680	1	6
775	170000015	2	20	8000	4920	1	6
776	170000015	2	21	8400	5160	1	6
777	170000015	2	22	8800	5400	1	6
778	170000015	2	23	9200	5640	1	6
779	170000015	2	24	9600	5880	1	6
780	170000015	2	25	10000	0	1	6
781	170000016	1	0	0	120	1	6
782	170000016	1	1	400	360	1	6
783	170000016	1	2	800	600	1	6
784	170000016	1	3	1200	840	1	6
785	170000016	1	4	1600	1080	1	6
786	170000016	1	5	2000	1320	1	6
787	170000016	1	6	2400	1560	1	6
788	170000016	1	7	2800	1800	1	6
789	170000016	1	8	3200	2040	1	6
790	170000016	1	9	3600	2280	1	6
791	170000016	1	10	4000	2520	1	6
792	170000016	1	11	4400	2760	1	6
793	170000016	1	12	4800	3000	1	6
794	170000016	1	13	5200	3240	1	6
795	170000016	1	14	5600	3480	1	6
796	170000016	1	15	6000	3720	1	6
797	170000016	1	16	6400	3960	1	6
798	170000016	1	17	6800	4200	1	6
799	170000016	1	18	7200	4440	1	6
800	170000016	1	19	7600	4680	1	6
801	170000016	1	20	8000	4920	1	6
802	170000016	1	21	8400	5160	1	6
803	170000016	1	22	8800	5400	1	6
804	170000016	1	23	9200	5640	1	6
805	170000016	1	24	9600	5880	1	6
806	170000016	1	25	10000	0	1	6
807	170000016	2	0	0	120	1	6
808	170000016	2	1	400	360	1	6
809	170000016	2	2	800	600	1	6
810	170000016	2	3	1200	840	1	6
811	170000016	2	4	1600	1080	1	6
812	170000016	2	5	2000	1320	1	6
813	170000016	2	6	2400	1560	1	6
814	170000016	2	7	2800	1800	1	6
815	170000016	2	8	3200	2040	1	6
816	170000016	2	9	3600	2280	1	6
817	170000016	2	10	4000	2520	1	6
818	170000016	2	11	4400	2760	1	6
819	170000016	2	12	4800	3000	1	6
820	170000016	2	13	5200	3240	1	6
821	170000016	2	14	5600	3480	1	6
822	170000016	2	15	6000	3720	1	6
823	170000016	2	16	6400	3960	1	6
824	170000016	2	17	6800	4200	1	6
825	170000016	2	18	7200	4440	1	6
826	170000016	2	19	7600	4680	1	6
827	170000016	2	20	8000	4920	1	6
828	170000016	2	21	8400	5160	1	6
829	170000016	2	22	8800	5400	1	6
830	170000016	2	23	9200	5640	1	6
831	170000016	2	24	9600	5880	1	6
832	170000016	2	25	10000	0	1	6
833	170000017	1	0	0	40	1	6
834	170000017	1	1	400	120	1	6
835	170000017	1	2	800	200	1	6
836	170000017	1	3	1200	280	1	6
837	170000017	1	4	1600	360	1	6
838	170000017	1	5	2000	440	1	6
839	170000017	1	6	2400	520	1	6
840	170000017	1	7	2800	600	1	6
841	170000017	1	8	3200	680	1	6
842	170000017	1	9	3600	760	1	6
843	170000017	1	10	4000	840	1	6
844	170000017	1	11	4400	920	1	6
845	170000017	1	12	4800	1000	1	6
846	170000017	1	13	5200	1080	1	6
847	170000017	1	14	5600	1160	1	6
848	170000017	1	15	6000	1240	1	6
849	170000017	1	16	6400	1320	1	6
850	170000017	1	17	6800	1400	1	6
851	170000017	1	18	7200	1480	1	6
852	170000017	1	19	7600	1560	1	6
853	170000017	1	20	8000	1640	1	6
854	170000017	1	21	8400	1720	1	6
855	170000017	1	22	8800	1800	1	6
856	170000017	1	23	9200	1880	1	6
857	170000017	1	24	9600	1960	1	6
858	170000017	1	25	10000	0	1	6
859	170000017	2	0	0	40	1	6
860	170000017	2	1	400	120	1	6
861	170000017	2	2	800	200	1	6
862	170000017	2	3	1200	280	1	6
863	170000017	2	4	1600	360	1	6
864	170000017	2	5	2000	440	1	6
865	170000017	2	6	2400	520	1	6
866	170000017	2	7	2800	600	1	6
867	170000017	2	8	3200	680	1	6
868	170000017	2	9	3600	760	1	6
869	170000017	2	10	4000	840	1	6
870	170000017	2	11	4400	920	1	6
871	170000017	2	12	4800	1000	1	6
872	170000017	2	13	5200	1080	1	6
873	170000017	2	14	5600	1160	1	6
874	170000017	2	15	6000	1240	1	6
875	170000017	2	16	6400	1320	1	6
876	170000017	2	17	6800	1400	1	6
877	170000017	2	18	7200	1480	1	6
878	170000017	2	19	7600	1560	1	6
879	170000017	2	20	8000	1640	1	6
880	170000017	2	21	8400	1720	1	6
881	170000017	2	22	8800	1800	1	6
882	170000017	2	23	9200	1880	1	6
883	170000017	2	24	9600	1960	1	6
884	170000017	2	25	10000	0	1	6
885	170000018	1	0	0	40	1	6
886	170000018	1	1	400	120	1	6
887	170000018	1	2	800	200	1	6
888	170000018	1	3	1200	280	1	6
889	170000018	1	4	1600	360	1	6
890	170000018	1	5	2000	440	1	6
891	170000018	1	6	2400	520	1	6
892	170000018	1	7	2800	600	1	6
893	170000018	1	8	3200	680	1	6
894	170000018	1	9	3600	760	1	6
895	170000018	1	10	4000	840	1	6
896	170000018	1	11	4400	920	1	6
897	170000018	1	12	4800	1000	1	6
898	170000018	1	13	5200	1080	1	6
899	170000018	1	14	5600	1160	1	6
900	170000018	1	15	6000	1240	1	6
901	170000018	1	16	6400	1320	1	6
902	170000018	1	17	6800	1400	1	6
903	170000018	1	18	7200	1480	1	6
904	170000018	1	19	7600	1560	1	6
905	170000018	1	20	8000	1640	1	6
906	170000018	1	21	8400	1720	1	6
907	170000018	1	22	8800	1800	1	6
908	170000018	1	23	9200	1880	1	6
909	170000018	1	24	9600	1960	1	6
910	170000018	1	25	10000	0	1	6
911	170000018	2	0	0	40	1	6
912	170000018	2	1	400	120	1	6
913	170000018	2	2	800	200	1	6
914	170000018	2	3	1200	280	1	6
915	170000018	2	4	1600	360	1	6
916	170000018	2	5	2000	440	1	6
917	170000018	2	6	2400	520	1	6
918	170000018	2	7	2800	600	1	6
919	170000018	2	8	3200	680	1	6
920	170000018	2	9	3600	760	1	6
921	170000018	2	10	4000	840	1	6
922	170000018	2	11	4400	920	1	6
923	170000018	2	12	4800	1000	1	6
924	170000018	2	13	5200	1080	1	6
925	170000018	2	14	5600	1160	1	6
926	170000018	2	15	6000	1240	1	6
927	170000018	2	16	6400	1320	1	6
928	170000018	2	17	6800	1400	1	6
929	170000018	2	18	7200	1480	1	6
930	170000018	2	19	7600	1560	1	6
931	170000018	2	20	8000	1640	1	6
932	170000018	2	21	8400	1720	1	6
933	170000018	2	22	8800	1800	1	6
934	170000018	2	23	9200	1880	1	6
935	170000018	2	24	9600	1960	1	6
936	170000018	2	25	10000	0	1	6
937	170000019	1	0	0	40	1	6
938	170000019	1	1	400	120	1	6
939	170000019	1	2	800	200	1	6
940	170000019	1	3	1200	280	1	6
941	170000019	1	4	1600	360	1	6
942	170000019	1	5	2000	440	1	6
943	170000019	1	6	2400	520	1	6
944	170000019	1	7	2800	600	1	6
945	170000019	1	8	3200	680	1	6
946	170000019	1	9	3600	760	1	6
947	170000019	1	10	4000	840	1	6
948	170000019	1	11	4400	920	1	6
949	170000019	1	12	4800	1000	1	6
950	170000019	1	13	5200	1080	1	6
951	170000019	1	14	5600	1160	1	6
952	170000019	1	15	6000	1240	1	6
953	170000019	1	16	6400	1320	1	6
954	170000019	1	17	6800	1400	1	6
955	170000019	1	18	7200	1480	1	6
956	170000019	1	19	7600	1560	1	6
957	170000019	1	20	8000	1640	1	6
958	170000019	1	21	8400	1720	1	6
959	170000019	1	22	8800	1800	1	6
960	170000019	1	23	9200	1880	1	6
961	170000019	1	24	9600	1960	1	6
962	170000019	1	25	10000	0	1	6
963	170000019	2	0	0	40	1	6
964	170000019	2	1	400	120	1	6
965	170000019	2	2	800	200	1	6
966	170000019	2	3	1200	280	1	6
967	170000019	2	4	1600	360	1	6
968	170000019	2	5	2000	440	1	6
969	170000019	2	6	2400	520	1	6
970	170000019	2	7	2800	600	1	6
971	170000019	2	8	3200	680	1	6
972	170000019	2	9	3600	760	1	6
973	170000019	2	10	4000	840	1	6
974	170000019	2	11	4400	920	1	6
975	170000019	2	12	4800	1000	1	6
976	170000019	2	13	5200	1080	1	6
977	170000019	2	14	5600	1160	1	6
978	170000019	2	15	6000	1240	1	6
979	170000019	2	16	6400	1320	1	6
980	170000019	2	17	6800	1400	1	6
981	170000019	2	18	7200	1480	1	6
982	170000019	2	19	7600	1560	1	6
983	170000019	2	20	8000	1640	1	6
984	170000019	2	21	8400	1720	1	6
985	170000019	2	22	8800	1800	1	6
986	170000019	2	23	9200	1880	1	6
987	170000019	2	24	9600	1960	1	6
988	170000019	2	25	10000	0	1	6
989	170000020	1	0	0	40	1	6
990	170000020	1	1	400	120	1	6
991	170000020	1	2	800	200	1	6
992	170000020	1	3	1200	280	1	6
993	170000020	1	4	1600	360	1	6
994	170000020	1	5	2000	440	1	6
995	170000020	1	6	2400	520	1	6
996	170000020	1	7	2800	600	1	6
997	170000020	1	8	3200	680	1	6
998	170000020	1	9	3600	760	1	6
999	170000020	1	10	4000	840	1	6
1000	170000020	1	11	4400	920	1	6
1001	170000020	1	12	4800	1000	1	6
1002	170000020	1	13	5200	1080	1	6
1003	170000020	1	14	5600	1160	1	6
1004	170000020	1	15	6000	1240	1	6
1005	170000020	1	16	6400	1320	1	6
1006	170000020	1	17	6800	1400	1	6
1007	170000020	1	18	7200	1480	1	6
1008	170000020	1	19	7600	1560	1	6
1009	170000020	1	20	8000	1640	1	6
1010	170000020	1	21	8400	1720	1	6
1011	170000020	1	22	8800	1800	1	6
1012	170000020	1	23	9200	1880	1	6
1013	170000020	1	24	9600	1960	1	6
1014	170000020	1	25	10000	0	1	6
1015	170000020	2	0	0	40	1	6
1016	170000020	2	1	400	120	1	6
1017	170000020	2	2	800	200	1	6
1018	170000020	2	3	1200	280	1	6
1019	170000020	2	4	1600	360	1	6
1020	170000020	2	5	2000	440	1	6
1021	170000020	2	6	2400	520	1	6
1022	170000020	2	7	2800	600	1	6
1023	170000020	2	8	3200	680	1	6
1024	170000020	2	9	3600	760	1	6
1025	170000020	2	10	4000	840	1	6
1026	170000020	2	11	4400	920	1	6
1027	170000020	2	12	4800	1000	1	6
1028	170000020	2	13	5200	1080	1	6
1029	170000020	2	14	5600	1160	1	6
1030	170000020	2	15	6000	1240	1	6
1031	170000020	2	16	6400	1320	1	6
1032	170000020	2	17	6800	1400	1	6
1033	170000020	2	18	7200	1480	1	6
1034	170000020	2	19	7600	1560	1	6
1035	170000020	2	20	8000	1640	1	6
1036	170000020	2	21	8400	1720	1	6
1037	170000020	2	22	8800	1800	1	6
1038	170000020	2	23	9200	1880	1	6
1039	170000020	2	24	9600	1960	1	6
1040	170000020	2	25	10000	0	1	6
1041	170000021	1	0	0	8	1	6
1042	170000021	1	1	400	24	1	6
1043	170000021	1	2	800	40	1	6
1044	170000021	1	3	1200	56	1	6
1045	170000021	1	4	1600	72	1	6
1046	170000021	1	5	2000	88	1	6
1047	170000021	1	6	2400	104	1	6
1048	170000021	1	7	2800	120	1	6
1049	170000021	1	8	3200	136	1	6
1050	170000021	1	9	3600	152	1	6
1051	170000021	1	10	4000	168	1	6
1052	170000021	1	11	4400	184	1	6
1053	170000021	1	12	4800	200	1	6
1054	170000021	1	13	5200	216	1	6
1055	170000021	1	14	5600	232	1	6
1056	170000021	1	15	6000	248	1	6
1057	170000021	1	16	6400	264	1	6
1058	170000021	1	17	6800	280	1	6
1059	170000021	1	18	7200	296	1	6
1060	170000021	1	19	7600	312	1	6
1061	170000021	1	20	8000	328	1	6
1062	170000021	1	21	8400	344	1	6
1063	170000021	1	22	8800	360	1	6
1064	170000021	1	23	9200	376	1	6
1065	170000021	1	24	9600	392	1	6
1066	170000021	1	25	10000	0	1	6
1067	170000021	2	0	0	8	1	6
1068	170000021	2	1	400	24	1	6
1069	170000021	2	2	800	40	1	6
1070	170000021	2	3	1200	56	1	6
1071	170000021	2	4	1600	72	1	6
1072	170000021	2	5	2000	88	1	6
1073	170000021	2	6	2400	104	1	6
1074	170000021	2	7	2800	120	1	6
1075	170000021	2	8	3200	136	1	6
1076	170000021	2	9	3600	152	1	6
1077	170000021	2	10	4000	168	1	6
1078	170000021	2	11	4400	184	1	6
1079	170000021	2	12	4800	200	1	6
1080	170000021	2	13	5200	216	1	6
1081	170000021	2	14	5600	232	1	6
1082	170000021	2	15	6000	248	1	6
1083	170000021	2	16	6400	264	1	6
1084	170000021	2	17	6800	280	1	6
1085	170000021	2	18	7200	296	1	6
1086	170000021	2	19	7600	312	1	6
1087	170000021	2	20	8000	328	1	6
1088	170000021	2	21	8400	344	1	6
1089	170000021	2	22	8800	360	1	6
1090	170000021	2	23	9200	376	1	6
1091	170000021	2	24	9600	392	1	6
1092	170000021	2	25	10000	0	1	6
1093	170000022	1	0	0	8	1	6
1094	170000022	1	1	400	24	1	6
1095	170000022	1	2	800	40	1	6
1096	170000022	1	3	1200	56	1	6
1097	170000022	1	4	1600	72	1	6
1098	170000022	1	5	2000	88	1	6
1099	170000022	1	6	2400	104	1	6
1100	170000022	1	7	2800	120	1	6
1101	170000022	1	8	3200	136	1	6
1102	170000022	1	9	3600	152	1	6
1103	170000022	1	10	4000	168	1	6
1104	170000022	1	11	4400	184	1	6
1105	170000022	1	12	4800	200	1	6
1106	170000022	1	13	5200	216	1	6
1107	170000022	1	14	5600	232	1	6
1108	170000022	1	15	6000	248	1	6
1109	170000022	1	16	6400	264	1	6
1110	170000022	1	17	6800	280	1	6
1111	170000022	1	18	7200	296	1	6
1112	170000022	1	19	7600	312	1	6
1113	170000022	1	20	8000	328	1	6
1114	170000022	1	21	8400	344	1	6
1115	170000022	1	22	8800	360	1	6
1116	170000022	1	23	9200	376	1	6
1117	170000022	1	24	9600	392	1	6
1118	170000022	1	25	10000	0	1	6
1119	170000022	2	0	0	8	1	6
1120	170000022	2	1	400	24	1	6
1121	170000022	2	2	800	40	1	6
1122	170000022	2	3	1200	56	1	6
1123	170000022	2	4	1600	72	1	6
1124	170000022	2	5	2000	88	1	6
1125	170000022	2	6	2400	104	1	6
1126	170000022	2	7	2800	120	1	6
1127	170000022	2	8	3200	136	1	6
1128	170000022	2	9	3600	152	1	6
1129	170000022	2	10	4000	168	1	6
1130	170000022	2	11	4400	184	1	6
1131	170000022	2	12	4800	200	1	6
1132	170000022	2	13	5200	216	1	6
1133	170000022	2	14	5600	232	1	6
1134	170000022	2	15	6000	248	1	6
1135	170000022	2	16	6400	264	1	6
1136	170000022	2	17	6800	280	1	6
1137	170000022	2	18	7200	296	1	6
1138	170000022	2	19	7600	312	1	6
1139	170000022	2	20	8000	328	1	6
1140	170000022	2	21	8400	344	1	6
1141	170000022	2	22	8800	360	1	6
1142	170000022	2	23	9200	376	1	6
1143	170000022	2	24	9600	392	1	6
1144	170000022	2	25	10000	0	1	6
1145	170000023	1	0	0	8	1	6
1146	170000023	1	1	400	24	1	6
1147	170000023	1	2	800	40	1	6
1148	170000023	1	3	1200	56	1	6
1149	170000023	1	4	1600	72	1	6
1150	170000023	1	5	2000	88	1	6
1151	170000023	1	6	2400	104	1	6
1152	170000023	1	7	2800	120	1	6
1153	170000023	1	8	3200	136	1	6
1154	170000023	1	9	3600	152	1	6
1155	170000023	1	10	4000	168	1	6
1156	170000023	1	11	4400	184	1	6
1157	170000023	1	12	4800	200	1	6
1158	170000023	1	13	5200	216	1	6
1159	170000023	1	14	5600	232	1	6
1160	170000023	1	15	6000	248	1	6
1161	170000023	1	16	6400	264	1	6
1162	170000023	1	17	6800	280	1	6
1163	170000023	1	18	7200	296	1	6
1164	170000023	1	19	7600	312	1	6
1165	170000023	1	20	8000	328	1	6
1166	170000023	1	21	8400	344	1	6
1167	170000023	1	22	8800	360	1	6
1168	170000023	1	23	9200	376	1	6
1169	170000023	1	24	9600	392	1	6
1170	170000023	1	25	10000	0	1	6
1171	170000023	2	0	0	8	1	6
1172	170000023	2	1	400	24	1	6
1173	170000023	2	2	800	40	1	6
1174	170000023	2	3	1200	56	1	6
1175	170000023	2	4	1600	72	1	6
1176	170000023	2	5	2000	88	1	6
1177	170000023	2	6	2400	104	1	6
1178	170000023	2	7	2800	120	1	6
1179	170000023	2	8	3200	136	1	6
1180	170000023	2	9	3600	152	1	6
1181	170000023	2	10	4000	168	1	6
1182	170000023	2	11	4400	184	1	6
1183	170000023	2	12	4800	200	1	6
1184	170000023	2	13	5200	216	1	6
1185	170000023	2	14	5600	232	1	6
1186	170000023	2	15	6000	248	1	6
1187	170000023	2	16	6400	264	1	6
1188	170000023	2	17	6800	280	1	6
1189	170000023	2	18	7200	296	1	6
1190	170000023	2	19	7600	312	1	6
1191	170000023	2	20	8000	328	1	6
1192	170000023	2	21	8400	344	1	6
1193	170000023	2	22	8800	360	1	6
1194	170000023	2	23	9200	376	1	6
1195	170000023	2	24	9600	392	1	6
1196	170000023	2	25	10000	0	1	6
1197	170000024	1	0	0	8	1	6
1198	170000024	1	1	400	24	1	6
1199	170000024	1	2	800	40	1	6
1200	170000024	1	3	1200	56	1	6
1201	170000024	1	4	1600	72	1	6
1202	170000024	1	5	2000	88	1	6
1203	170000024	1	6	2400	104	1	6
1204	170000024	1	7	2800	120	1	6
1205	170000024	1	8	3200	136	1	6
1206	170000024	1	9	3600	152	1	6
1207	170000024	1	10	4000	168	1	6
1208	170000024	1	11	4400	184	1	6
1209	170000024	1	12	4800	200	1	6
1210	170000024	1	13	5200	216	1	6
1211	170000024	1	14	5600	232	1	6
1212	170000024	1	15	6000	248	1	6
1213	170000024	1	16	6400	264	1	6
1214	170000024	1	17	6800	280	1	6
1215	170000024	1	18	7200	296	1	6
1216	170000024	1	19	7600	312	1	6
1217	170000024	1	20	8000	328	1	6
1218	170000024	1	21	8400	344	1	6
1219	170000024	1	22	8800	360	1	6
1220	170000024	1	23	9200	376	1	6
1221	170000024	1	24	9600	392	1	6
1222	170000024	1	25	10000	0	1	6
1223	170000024	2	0	0	8	1	6
1224	170000024	2	1	400	24	1	6
1225	170000024	2	2	800	40	1	6
1226	170000024	2	3	1200	56	1	6
1227	170000024	2	4	1600	72	1	6
1228	170000024	2	5	2000	88	1	6
1229	170000024	2	6	2400	104	1	6
1230	170000024	2	7	2800	120	1	6
1231	170000024	2	8	3200	136	1	6
1232	170000024	2	9	3600	152	1	6
1233	170000024	2	10	4000	168	1	6
1234	170000024	2	11	4400	184	1	6
1235	170000024	2	12	4800	200	1	6
1236	170000024	2	13	5200	216	1	6
1237	170000024	2	14	5600	232	1	6
1238	170000024	2	15	6000	248	1	6
1239	170000024	2	16	6400	264	1	6
1240	170000024	2	17	6800	280	1	6
1241	170000024	2	18	7200	296	1	6
1242	170000024	2	19	7600	312	1	6
1243	170000024	2	20	8000	328	1	6
1244	170000024	2	21	8400	344	1	6
1245	170000024	2	22	8800	360	1	6
1246	170000024	2	23	9200	376	1	6
1247	170000024	2	24	9600	392	1	6
1248	170000024	2	25	10000	0	1	6
1249	170000025	1	0	0	400	1	6
1250	170000025	1	1	400	1200	1	6
1251	170000025	1	2	800	2000	1	6
1252	170000025	1	3	1200	2800	1	6
1253	170000025	1	4	1600	3600	1	6
1254	170000025	1	5	2000	4400	1	6
1255	170000025	1	6	2400	5200	1	6
1256	170000025	1	7	2800	6000	1	6
1257	170000025	1	8	3200	6800	1	6
1258	170000025	1	9	3600	7600	1	6
1259	170000025	1	10	4000	8400	1	6
1260	170000025	1	11	4400	9200	1	6
1261	170000025	1	12	4800	10000	1	6
1262	170000025	1	13	5200	10800	1	6
1263	170000025	1	14	5600	11600	1	6
1264	170000025	1	15	6000	12400	1	6
1265	170000025	1	16	6400	13200	1	6
1266	170000025	1	17	6800	14000	1	6
1267	170000025	1	18	7200	14800	1	6
1268	170000025	1	19	7600	15600	1	6
1269	170000025	1	20	8000	16400	1	6
1270	170000025	1	21	8400	17200	1	6
1271	170000025	1	22	8800	18000	1	6
1272	170000025	1	23	9200	18800	1	6
1273	170000025	1	24	9600	19600	1	6
1274	170000025	1	25	10000	0	1	6
1275	170000025	2	0	0	400	1	6
1276	170000025	2	1	400	1200	1	6
1277	170000025	2	2	800	2000	1	6
1278	170000025	2	3	1200	2800	1	6
1279	170000025	2	4	1600	3600	1	6
1280	170000025	2	5	2000	4400	1	6
1281	170000025	2	6	2400	5200	1	6
1282	170000025	2	7	2800	6000	1	6
1283	170000025	2	8	3200	6800	1	6
1284	170000025	2	9	3600	7600	1	6
1285	170000025	2	10	4000	8400	1	6
1286	170000025	2	11	4400	9200	1	6
1287	170000025	2	12	4800	10000	1	6
1288	170000025	2	13	5200	10800	1	6
1289	170000025	2	14	5600	11600	1	6
1290	170000025	2	15	6000	12400	1	6
1291	170000025	2	16	6400	13200	1	6
1292	170000025	2	17	6800	14000	1	6
1293	170000025	2	18	7200	14800	1	6
1294	170000025	2	19	7600	15600	1	6
1295	170000025	2	20	8000	16400	1	6
1296	170000025	2	21	8400	17200	1	6
1297	170000025	2	22	8800	18000	1	6
1298	170000025	2	23	9200	18800	1	6
1299	170000025	2	24	9600	19600	1	6
1300	170000025	2	25	10000	0	1	6
1301	170000026	1	0	0	400	1	6
1302	170000026	1	1	400	1200	1	6
1303	170000026	1	2	800	2000	1	6
1304	170000026	1	3	1200	2800	1	6
1305	170000026	1	4	1600	3600	1	6
1306	170000026	1	5	2000	4400	1	6
1307	170000026	1	6	2400	5200	1	6
1308	170000026	1	7	2800	6000	1	6
1309	170000026	1	8	3200	6800	1	6
1310	170000026	1	9	3600	7600	1	6
1311	170000026	1	10	4000	8400	1	6
1312	170000026	1	11	4400	9200	1	6
1313	170000026	1	12	4800	10000	1	6
1314	170000026	1	13	5200	10800	1	6
1315	170000026	1	14	5600	11600	1	6
1316	170000026	1	15	6000	12400	1	6
1317	170000026	1	16	6400	13200	1	6
1318	170000026	1	17	6800	14000	1	6
1319	170000026	1	18	7200	14800	1	6
1320	170000026	1	19	7600	15600	1	6
1321	170000026	1	20	8000	16400	1	6
1322	170000026	1	21	8400	17200	1	6
1323	170000026	1	22	8800	18000	1	6
1324	170000026	1	23	9200	18800	1	6
1325	170000026	1	24	9600	19600	1	6
1326	170000026	1	25	10000	0	1	6
1327	170000026	2	0	0	400	1	6
1328	170000026	2	1	400	1200	1	6
1329	170000026	2	2	800	2000	1	6
1330	170000026	2	3	1200	2800	1	6
1331	170000026	2	4	1600	3600	1	6
1332	170000026	2	5	2000	4400	1	6
1333	170000026	2	6	2400	5200	1	6
1334	170000026	2	7	2800	6000	1	6
1335	170000026	2	8	3200	6800	1	6
1336	170000026	2	9	3600	7600	1	6
1337	170000026	2	10	4000	8400	1	6
1338	170000026	2	11	4400	9200	1	6
1339	170000026	2	12	4800	10000	1	6
1340	170000026	2	13	5200	10800	1	6
1341	170000026	2	14	5600	11600	1	6
1342	170000026	2	15	6000	12400	1	6
1343	170000026	2	16	6400	13200	1	6
1344	170000026	2	17	6800	14000	1	6
1345	170000026	2	18	7200	14800	1	6
1346	170000026	2	19	7600	15600	1	6
1347	170000026	2	20	8000	16400	1	6
1348	170000026	2	21	8400	17200	1	6
1349	170000026	2	22	8800	18000	1	6
1350	170000026	2	23	9200	18800	1	6
1351	170000026	2	24	9600	19600	1	6
1352	170000026	2	25	10000	0	1	6
1353	170000027	1	0	0	400	1	6
1354	170000027	1	1	400	1200	1	6
1355	170000027	1	2	800	2000	1	6
1356	170000027	1	3	1200	2800	1	6
1357	170000027	1	4	1600	3600	1	6
1358	170000027	1	5	2000	4400	1	6
1359	170000027	1	6	2400	5200	1	6
1360	170000027	1	7	2800	6000	1	6
1361	170000027	1	8	3200	6800	1	6
1362	170000027	1	9	3600	7600	1	6
1363	170000027	1	10	4000	8400	1	6
1364	170000027	1	11	4400	9200	1	6
1365	170000027	1	12	4800	10000	1	6
1366	170000027	1	13	5200	10800	1	6
1367	170000027	1	14	5600	11600	1	6
1368	170000027	1	15	6000	12400	1	6
1369	170000027	1	16	6400	13200	1	6
1370	170000027	1	17	6800	14000	1	6
1371	170000027	1	18	7200	14800	1	6
1372	170000027	1	19	7600	15600	1	6
1373	170000027	1	20	8000	16400	1	6
1374	170000027	1	21	8400	17200	1	6
1375	170000027	1	22	8800	18000	1	6
1376	170000027	1	23	9200	18800	1	6
1377	170000027	1	24	9600	19600	1	6
1378	170000027	1	25	10000	0	1	6
1379	170000027	2	0	0	400	1	6
1380	170000027	2	1	400	1200	1	6
1381	170000027	2	2	800	2000	1	6
1382	170000027	2	3	1200	2800	1	6
1383	170000027	2	4	1600	3600	1	6
1384	170000027	2	5	2000	4400	1	6
1385	170000027	2	6	2400	5200	1	6
1386	170000027	2	7	2800	6000	1	6
1387	170000027	2	8	3200	6800	1	6
1388	170000027	2	9	3600	7600	1	6
1389	170000027	2	10	4000	8400	1	6
1390	170000027	2	11	4400	9200	1	6
1391	170000027	2	12	4800	10000	1	6
1392	170000027	2	13	5200	10800	1	6
1393	170000027	2	14	5600	11600	1	6
1394	170000027	2	15	6000	12400	1	6
1395	170000027	2	16	6400	13200	1	6
1396	170000027	2	17	6800	14000	1	6
1397	170000027	2	18	7200	14800	1	6
1398	170000027	2	19	7600	15600	1	6
1399	170000027	2	20	8000	16400	1	6
1400	170000027	2	21	8400	17200	1	6
