流水	任务类型	任务参数	任务目标	任务参数2	任务目标2	显示类型	显示内容	任务描述	奖励	链接命令	链接参数	开放等级
22007	3	1853	10			1	10	contract_task_des_22007	item100900001001,80	LinkUI	MauDungeonActivityPanel;1;0;1859	0
22008	3	1853	15			1	15	contract_task_des_22008	item100900001001,80	LinkUI	MauDungeonActivityPanel;1;0;1859	0
22009	1	1854	1			1	1	contract_task_des_22009	item100900001001,125	LinkUI	MauDungeonActivityPanel;2;0;1860	0
22010	1	1854	3			1	3	contract_task_des_22010	item100900001001,125	LinkUI	MauDungeonActivityPanel;2;0;1860	0
22011	1	1854	5			1	5	contract_task_des_22011	item100900001001,100	LinkUI	MauDungeonActivityPanel;2;0;1860	0
22012	1	1854	8			1	8	contract_task_des_22012	item100900001001,100	LinkUI	MauDungeonActivityPanel;2;0;1860	0
22013	1	1854	12			1	12	contract_task_des_22013	item100900001001,100	LinkUI	MauDungeonActivityPanel;2;0;1860	0
22014	1	1854	16			1	16	contract_task_des_22014	item100900001001,100	LinkUI	MauDungeonActivityPanel;2;0;1860	0
22015	1	1854	20			1	20	contract_task_des_22015	item100900001001,150	LinkUI	MauDungeonActivityPanel;2;0;1860	0
22016	1	1854	25			1	25	contract_task_des_22016	item100900001001,100	LinkUI	MauDungeonActivityPanel;2;0;1860	0
22017	1	1854	30			1	30	contract_task_des_22017	item100900001001,80	LinkUI	MauDungeonActivityPanel;2;0;1860	0
22018	1	1854	35			1	35	contract_task_des_22018	item100900001001,50	LinkUI	MauDungeonActivityPanel;2;0;1860	0
22019	1	1854	42			1	42	contract_task_des_22019	item100900001001,50	LinkUI	MauDungeonActivityPanel;2;0;1860	0
22020	2	201,215,218	1854			2	201,215,218	contract_task_des_22020	item100900001001,100	LinkUI	MauDungeonActivityPanel;2;0;1860	0
22021	2	205,222,210	1854			2	205,222,210	contract_task_des_22021	item100900001001,100	LinkUI	MauDungeonActivityPanel;2;0;1860	0
22022	2	209,240,226	1854			2	209,240,226	contract_task_des_22022	item100900001001,100	LinkUI	MauDungeonActivityPanel;2;0;1860	0
22023	2	211,217,243	1854			2	211,217,243	contract_task_des_22023	item100900001001,100	LinkUI	MauDungeonActivityPanel;2;0;1860	0
22024	2	213,228,242	1854			2	213,228,242	contract_task_des_22024	item100900001001,100	LinkUI	MauDungeonActivityPanel;2;0;1860	0
22025	2	214,227,244	1854			2	214,227,244	contract_task_des_22025	item100900001001,100	LinkUI	MauDungeonActivityPanel;2;0;1860	0
22026	2	203,226,242	1854			2	203,226,242	contract_task_des_22026	item100900001001,100	LinkUI	MauDungeonActivityPanel;2;0;1860	0
22027	2	206,223,241	1854			2	206,223,241	contract_task_des_22027	item100900001001,100	LinkUI	MauDungeonActivityPanel;2;0;1860	0
13001	1	1855	1			1	1	contract_task_des_13001	item100900001001,20	LinkUI	MauDungeonActivityPanel;1;0;1859	0
13002	1	1855	3			1	3	contract_task_des_13002	item100900001001,20	LinkUI	MauDungeonActivityPanel;1;0;1859	0
13003	1	1855	5			1	5	contract_task_des_13003	item100900001001,20	LinkUI	MauDungeonActivityPanel;1;0;1859	0
13004	2	101,110	1855			2	101,110	contract_task_des_13004	item100900001001,60	LinkUI	MauDungeonActivityPanel;1;0;1859	0
13005	2	104,107,111	1855			2	104,107,111	contract_task_des_13005	item100900001001,60	LinkUI	MauDungeonActivityPanel;1;0;1859	0
13006	1	1855	1			1	1	contract_task_des_13006	item100900001001,20	LinkUI	MauDungeonActivityPanel;1;0;1859	0
13007	1	1855	3			1	3	contract_task_des_13007	item100900001001,20	LinkUI	MauDungeonActivityPanel;1;0;1859	0
13008	1	1855	5			1	5	contract_task_des_13008	item100900001001,20	LinkUI	MauDungeonActivityPanel;1;0;1859	0
13009	1	1855	8			1	8	contract_task_des_13009	item100900001001,20	LinkUI	MauDungeonActivityPanel;1;0;1859	0
13010	2	107,112	1855			2	107,112	contract_task_des_13010	item100900001001,60	LinkUI	MauDungeonActivityPanel;1;0;1859	0
13011	2	105,120,121	1855			2	105,120,121	contract_task_des_13011	item100900001001,60	LinkUI	MauDungeonActivityPanel;1;0;1859	0
13012	1	1855	1			1	1	contract_task_des_13012	item100900001001,20	LinkUI	MauDungeonActivityPanel;1;0;1859	0
13013	1	1855	3			1	3	contract_task_des_13013	item100900001001,20	LinkUI	MauDungeonActivityPanel;1;0;1859	0
13014	1	1855	5			1	5	contract_task_des_13014	item100900001001,20	LinkUI	MauDungeonActivityPanel;1;0;1859	0
13015	1	1855	8			1	8	contract_task_des_13015	item100900001001,20	LinkUI	MauDungeonActivityPanel;1;0;1859	0
13016	2	122,108	1855			2	122,108	contract_task_des_13016	item100900001001,60	LinkUI	MauDungeonActivityPanel;1;0;1859	0
13017	2	102,118,112	1855			2	102,118,112	contract_task_des_13017	item100900001001,60	LinkUI	MauDungeonActivityPanel;1;0;1859	0
13018	1	1855	1			1	1	contract_task_des_13018	item100900001001,20	LinkUI	MauDungeonActivityPanel;1;0;1859	0
13019	1	1855	3			1	3	contract_task_des_13019	item100900001001,20	LinkUI	MauDungeonActivityPanel;1;0;1859	0
13020	1	1855	5			1	5	contract_task_des_13020	item100900001001,20	LinkUI	MauDungeonActivityPanel;1;0;1859	0
13021	1	1855	8			1	8	contract_task_des_13021	item100900001001,20	LinkUI	MauDungeonActivityPanel;1;0;1859	0
13022	2	123,139	1855			2	123,139	contract_task_des_13022	item100900001001,60	LinkUI	MauDungeonActivityPanel;1;0;1859	0
13023	2	105,109,114	1855			2	105,109,114	contract_task_des_13023	item100900001001,60	LinkUI	MauDungeonActivityPanel;1;0;1859	0
13024	1	1855	1			1	1	contract_task_des_13024	item100900001001,20	LinkUI	MauDungeonActivityPanel;1;0;1859	0
13025	1	1855	3			1	3	contract_task_des_13025	item100900001001,20	LinkUI	MauDungeonActivityPanel;1;0;1859	0
13026	1	1855	5			1	5	contract_task_des_13026	item100900001001,20	LinkUI	MauDungeonActivityPanel;1;0;1859	0
13027	1	1855	8			1	8	contract_task_des_13027	item100900001001,20	LinkUI	MauDungeonActivityPanel;1;0;1859	0
13028	1	1855	12			1	12	contract_task_des_13028	item100900001001,60	LinkUI	MauDungeonActivityPanel;1;0;1859	0
13029	2	113,109	1855			2	113,109	contract_task_des_13029	item100900001001,60	LinkUI	MauDungeonActivityPanel;1;0;1859	0
13030	2	106,116,140	1855			2	106,116,140	contract_task_des_13030	item100900001001,80	LinkUI	MauDungeonActivityPanel;1;0;1859	0
13031	1	1855	1			1	1	contract_task_des_13031	item100900001001,20	LinkUI	MauDungeonActivityPanel;1;0;1859	0
13032	1	1855	3			1	3	contract_task_des_13032	item100900001001,20	LinkUI	MauDungeonActivityPanel;1;0;1859	0
13033	1	1855	5			1	5	contract_task_des_13033	item100900001001,20	LinkUI	MauDungeonActivityPanel;1;0;1859	0
13034	1	1855	8			1	8	contract_task_des_13034	item100900001001,20	LinkUI	MauDungeonActivityPanel;1;0;1859	0
13035	1	1855	12			1	12	contract_task_des_13035	item100900001001,60	LinkUI	MauDungeonActivityPanel;1;0;1859	0
13036	2	115,117	1855			2	115,117	contract_task_des_13036	item100900001001,60	LinkUI	MauDungeonActivityPanel;1;0;1859	0
13037	2	141,109,103	1855			2	141,109,103	contract_task_des_13037	item100900001001,80	LinkUI	MauDungeonActivityPanel;1;0;1859	0
13038	1	1855	1			1	1	contract_task_des_13038	item100900001001,20	LinkUI	MauDungeonActivityPanel;1;0;1859	0
13039	1	1855	3			1	3	contract_task_des_13039	item100900001001,20	LinkUI	MauDungeonActivityPanel;1;0;1859	0
13040	1	1855	5			1	5	contract_task_des_13040	item100900001001,20	LinkUI	MauDungeonActivityPanel;1;0;1859	0
13041	1	1855	8			1	8	contract_task_des_13041	item100900001001,20	LinkUI	MauDungeonActivityPanel;1;0;1859	0
13042	1	1855	12			1	12	contract_task_des_13042	item100900001001,60	LinkUI	MauDungeonActivityPanel;1;0;1859	0
13043	2	123,124	1855			2	123,124	contract_task_des_13043	item100900001001,60	LinkUI	MauDungeonActivityPanel;1;0;1859	0
13044	2	142,106,109	1855			2	142,106,109	contract_task_des_13044	item100900001001,80	LinkUI	MauDungeonActivityPanel;1;0;1859	0
13045	1	1855	1			1	1	contract_task_des_13045	item100900001001,20	LinkUI	MauDungeonActivityPanel;1;0;1859	0
13046	1	1855	3			1	3	contract_task_des_13046	item100900001001,20	LinkUI	MauDungeonActivityPanel;1;0;1859	0
13047	1	1855	5			1	5	contract_task_des_13047	item100900001001,20	LinkUI	MauDungeonActivityPanel;1;0;1859	0
13048	1	1855	8			1	8	contract_task_des_13048	item100900001001,20	LinkUI	MauDungeonActivityPanel;1;0;1859	0
13049	1	1855	12			1	12	contract_task_des_13049	item100900001001,60	LinkUI	MauDungeonActivityPanel;1;0;1859	0
13050	2	122,112,106	1855			2	122,112,106	contract_task_des_13050	item100900001001,60	LinkUI	MauDungeonActivityPanel;1;0;1859	0
13051	2	115,143,103	1855			2	115,143,103	contract_task_des_13051	item100900001001,80	LinkUI	MauDungeonActivityPanel;1;0;1859	0
13052	1	1855	1			1	1	contract_task_des_13052	item100900001001,20	LinkUI	MauDungeonActivityPanel;1;0;1859	0
13053	1	1855	3			1	3	contract_task_des_13053	item100900001001,20	LinkUI	MauDungeonActivityPanel;1;0;1859	0
13054	1	1855	5			1	5	contract_task_des_13054	item100900001001,20	LinkUI	MauDungeonActivityPanel;1;0;1859	0
13055	1	1855	8			1	8	contract_task_des_13055	item100900001001,20	LinkUI	MauDungeonActivityPanel;1;0;1859	0
13056	1	1855	12			1	12	contract_task_des_13056	item100900001001,60	LinkUI	MauDungeonActivityPanel;1;0;1859	0
13057	2	114,144,103	1855			2	114,144,103	contract_task_des_13057	item100900001001,60	LinkUI	MauDungeonActivityPanel;1;0;1859	0
13058	2	110,145,109	1855			2	110,145,109	contract_task_des_13058	item100900001001,80	LinkUI	MauDungeonActivityPanel;1;0;1859	0
13059	1	1855	1			1	1	contract_task_des_13059	item100900001001,20	LinkUI	MauDungeonActivityPanel;1;0;1859	0
13060	1	1855	3			1	3	contract_task_des_13060	item100900001001,20	LinkUI	MauDungeonActivityPanel;1;0;1859	0
13061	1	1855	5			1	5	contract_task_des_13061	item100900001001,20	LinkUI	MauDungeonActivityPanel;1;0;1859	0
13062	1	1855	8			1	8	contract_task_des_13062	item100900001001,20	LinkUI	MauDungeonActivityPanel;1;0;1859	0
13063	1	1855	12			1	12	contract_task_des_13063	item100900001001,10	LinkUI	MauDungeonActivityPanel;1;0;1859	0
13064	2	111,125,109	1855			2	111,125,109	contract_task_des_13064	item100900001001,60	LinkUI	MauDungeonActivityPanel;1;0;1859	0
13065	2	120,118,124	1855			2	120,118,124	contract_task_des_13065	item100900001001,80	LinkUI	MauDungeonActivityPanel;1;0;1859	0
13066	1	1855	1			1	1	contract_task_des_13066	item100900001001,20	LinkUI	MauDungeonActivityPanel;1;0;1859	0
13067	1	1855	3			1	3	contract_task_des_13067	item100900001001,20	LinkUI	MauDungeonActivityPanel;1;0;1859	0
13068	1	1855	5			1	5	contract_task_des_13068	item100900001001,20	LinkUI	MauDungeonActivityPanel;1;0;1859	0
13069	1	1855	8			1	8	contract_task_des_13069	item100900001001,20	LinkUI	MauDungeonActivityPanel;1;0;1859	0
13070	1	1855	12			1	12	contract_task_des_13070	item100900001001,10	LinkUI	MauDungeonActivityPanel;1;0;1859	0
13071	2	111,112,106	1855			2	111,112,106	contract_task_des_13071	item100900001001,60	LinkUI	MauDungeonActivityPanel;1;0;1859	0
13072	2	124,126,123	1855			2	124,126,123	contract_task_des_13072	item100900001001,80	LinkUI	MauDungeonActivityPanel;1;0;1859	0
13073	1	1855	1			1	1	contract_task_des_13073	item100900001001,20	LinkUI	MauDungeonActivityPanel;1;0;1859	0
13074	1	1855	3			1	3	contract_task_des_13074	item100900001001,20	LinkUI	MauDungeonActivityPanel;1;0;1859	0
13075	1	1855	5			1	5	contract_task_des_13075	item100900001001,20	LinkUI	MauDungeonActivityPanel;1;0;1859	0
13076	1	1855	8			1	8	contract_task_des_13076	item100900001001,20	LinkUI	MauDungeonActivityPanel;1;0;1859	0
13077	1	1855	13			1	13	contract_task_des_13077	item100900001001,10	LinkUI	MauDungeonActivityPanel;1;0;1859	0
13078	2	106,109,113	1855			2	106,109,113	contract_task_des_13078	item100900001001,60	LinkUI	MauDungeonActivityPanel;1;0;1859	0
13079	2	115,117,127	1855			2	115,117,127	contract_task_des_13079	item100900001001,80	LinkUI	MauDungeonActivityPanel;1;0;1859	0
13080	1	1855	1			1	1	contract_task_des_13080	item100900001001,20	LinkUI	MauDungeonActivityPanel;1;0;1859	0
13081	1	1855	3			1	3	contract_task_des_13081	item100900001001,20	LinkUI	MauDungeonActivityPanel;1;0;1859	0
13082	1	1855	5			1	5	contract_task_des_13082	item100900001001,20	LinkUI	MauDungeonActivityPanel;1;0;1859	0
13083	1	1855	8			1	8	contract_task_des_13083	item100900001001,20	LinkUI	MauDungeonActivityPanel;1;0;1859	0
13084	1	1855	14			1	14	contract_task_des_13084	item100900001001,10	LinkUI	MauDungeonActivityPanel;1;0;1859	0
13085	2	103,115,111	1855			2	103,115,111	contract_task_des_13085	item100900001001,60	LinkUI	MauDungeonActivityPanel;1;0;1859	0
13086	2	118,122,125	1855			2	118,122,125	contract_task_des_13086	item100900001001,60	LinkUI	MauDungeonActivityPanel;1;0;1859	0
13087	1	1855	1			1	1	contract_task_des_13087	item100900001001,20	LinkUI	MauDungeonActivityPanel;1;0;1859	0
13088	1	1855	3			1	3	contract_task_des_13088	item100900001001,20	LinkUI	MauDungeonActivityPanel;1;0;1859	0
13089	1	1855	5			1	5	contract_task_des_13089	item100900001001,20	LinkUI	MauDungeonActivityPanel;1;0;1859	0
13090	1	1855	8			1	8	contract_task_des_13090	item100900001001,20	LinkUI	MauDungeonActivityPanel;1;0;1859	0
13091	1	1855	15			1	15	contract_task_des_13091	item100900001001,10	LinkUI	MauDungeonActivityPanel;1;0;1859	0
13092	2	114,143,111	1855			2	114,143,111	contract_task_des_13092	item100900001001,60	LinkUI	MauDungeonActivityPanel;1;0;1859	0
13093	2	113,116,127	1855			2	113,116,127	contract_task_des_13093	item100900001001,60	LinkUI	MauDungeonActivityPanel;1;0;1859	0
23001	1	1855	4			1	4	contract_task_des_23001	item100900001001,100	LinkUI	MauDungeonActivityPanel;1;0;1859	0
23002	1	1855	15			1	15	contract_task_des_23002	item100900001001,100	LinkUI	MauDungeonActivityPanel;1;0;1859	0
23003	1	1855	20			1	20	contract_task_des_23003	item100900001001,80	LinkUI	MauDungeonActivityPanel;1;0;1859	0
23004	1	1855	25			1	25	contract_task_des_23004	item140000011024,1	LinkUI	MauDungeonActivityPanel;1;0;1859	0
23005	3	1855	1			1	1	contract_task_des_23005	item100900001001,100	LinkUI	MauDungeonActivityPanel;1;0;1859	0
23006	3	1855	5			1	5	contract_task_des_23006	item100900001001,80	LinkUI	MauDungeonActivityPanel;1;0;1859	0
23007	3	1855	10			1	10	contract_task_des_23007	item100900001001,80	LinkUI	MauDungeonActivityPanel;1;0;1859	0
23008	3	1855	15			1	15	contract_task_des_23008	item100900001001,80	LinkUI	MauDungeonActivityPanel;1;0;1859	0
23009	1	1856	1			1	1	contract_task_des_23009	item100900001001,120	LinkUI	MauDungeonActivityPanel;2;0;1860	0
23010	1	1856	3			1	3	contract_task_des_23010	item100900001001,120	LinkUI	MauDungeonActivityPanel;2;0;1860	0
23011	1	1856	5			1	5	contract_task_des_23011	item100900001001,100	LinkUI	MauDungeonActivityPanel;2;0;1860	0
23012	1	1856	8			1	8	contract_task_des_23012	item100900001001,100	LinkUI	MauDungeonActivityPanel;2;0;1860	0
23013	1	1856	12			1	12	contract_task_des_23013	item100900001001,100	LinkUI	MauDungeonActivityPanel;2;0;1860	0
23014	1	1856	16			1	16	contract_task_des_23014	item100900001001,100	LinkUI	MauDungeonActivityPanel;2;0;1860	0
23015	1	1856	20			1	20	contract_task_des_23015	item100900001001,125	LinkUI	MauDungeonActivityPanel;2;0;1860	0
23016	1	1856	25			1	25	contract_task_des_23016	item100900001001,100	LinkUI	MauDungeonActivityPanel;2;0;1860	0
23017	1	1856	30			1	30	contract_task_des_23017	item100900001001,80	LinkUI	MauDungeonActivityPanel;2;0;1860	0
23018	1	1856	35			1	35	contract_task_des_23018	item100900001001,50	LinkUI	MauDungeonActivityPanel;2;0;1860	0
23019	1	1856	42			1	42	contract_task_des_23019	item140000011025,1	LinkUI	MauDungeonActivityPanel;2;0;1860	0
23020	2	201,215,218	1856			2	201,215,218	contract_task_des_23020	item100900001001,100	LinkUI	MauDungeonActivityPanel;2;0;1860	0
23021	2	205,222,210	1856			2	205,222,210	contract_task_des_23021	item100900001001,100	LinkUI	MauDungeonActivityPanel;2;0;1860	0
23022	2	209,245,249	1856			2	209,245,249	contract_task_des_23022	item100900001001,100	LinkUI	MauDungeonActivityPanel;2;0;1860	0
23023	2	211,217,247	1856			2	211,217,247	contract_task_des_23023	item100900001001,100	LinkUI	MauDungeonActivityPanel;2;0;1860	0
23024	2	213,228,250	1856			2	213,228,250	contract_task_des_23024	item100900001001,100	LinkUI	MauDungeonActivityPanel;2;0;1860	0
23025	2	214,227,248	1856			2	214,227,248	contract_task_des_23025	item100900001001,100	LinkUI	MauDungeonActivityPanel;2;0;1860	0
23026	2	203,246,251	1856			2	203,246,251	contract_task_des_23026	item100900001001,100	LinkUI	MauDungeonActivityPanel;2;0;1860	0
23027	2	206,223,252	1856			2	206,223,252	contract_task_des_23027	item100900001001,100	LinkUI	MauDungeonActivityPanel;2;0;1860	0
14001	1	1857	1			1	1	contract_task_des_14001	item100900001001,25	LinkUI	MauDungeonActivityPanel;1;0;1859	0
14002	1	1857	3			1	3	contract_task_des_14002	item100900001001,25	LinkUI	MauDungeonActivityPanel;1;0;1859	0
14003	1	1857	5			1	5	contract_task_des_14003	item100900001001,20	LinkUI	MauDungeonActivityPanel;1;0;1859	0
14004	2	101,110	1857			2	101,110	contract_task_des_14004	item100900001001,80	LinkUI	MauDungeonActivityPanel;1;0;1859	0
14005	2	104,107,111	1857			2	104,107,111	contract_task_des_14005	item100900001001,80	LinkUI	MauDungeonActivityPanel;1;0;1859	0
14006	1	1857	1			1	1	contract_task_des_14006	item100900001001,25	LinkUI	MauDungeonActivityPanel;1;0;1859	0
14007	1	1857	3			1	3	contract_task_des_14007	item100900001001,25	LinkUI	MauDungeonActivityPanel;1;0;1859	0
14008	1	1857	5			1	5	contract_task_des_14008	item100900001001,20	LinkUI	MauDungeonActivityPanel;1;0;1859	0
14009	1	1857	8			1	8	contract_task_des_14009	item100900001001,20	LinkUI	MauDungeonActivityPanel;1;0;1859	0
14010	2	107,112	1857			2	107,112	contract_task_des_14010	item100900001001,80	LinkUI	MauDungeonActivityPanel;1;0;1859	0
14011	2	105,120,121	1857			2	105,120,121	contract_task_des_14011	item100900001001,80	LinkUI	MauDungeonActivityPanel;1;0;1859	0
14012	1	1857	1			1	1	contract_task_des_14012	item100900001001,25	LinkUI	MauDungeonActivityPanel;1;0;1859	0
14013	1	1857	3			1	3	contract_task_des_14013	item100900001001,25	LinkUI	MauDungeonActivityPanel;1;0;1859	0
14014	1	1857	5			1	5	contract_task_des_14014	item100900001001,20	LinkUI	MauDungeonActivityPanel;1;0;1859	0
14015	1	1857	8			1	8	contract_task_des_14015	item100900001001,20	LinkUI	MauDungeonActivityPanel;1;0;1859	0
14016	2	122,108	1857			2	122,108	contract_task_des_14016	item100900001001,80	LinkUI	MauDungeonActivityPanel;1;0;1859	0
14017	2	102,118,112	1857			2	102,118,112	contract_task_des_14017	item100900001001,80	LinkUI	MauDungeonActivityPanel;1;0;1859	0
14018	1	1857	1			1	1	contract_task_des_14018	item100900001001,25	LinkUI	MauDungeonActivityPanel;1;0;1859	0
14019	1	1857	3			1	3	contract_task_des_14019	item100900001001,25	LinkUI	MauDungeonActivityPanel;1;0;1859	0
14020	1	1857	5			1	5	contract_task_des_14020	item100900001001,20	LinkUI	MauDungeonActivityPanel;1;0;1859	0
14021	1	1857	8			1	8	contract_task_des_14021	item100900001001,20	LinkUI	MauDungeonActivityPanel;1;0;1859	0
14022	2	123,118	1857			2	123,118	contract_task_des_14022	item100900001001,80	LinkUI	MauDungeonActivityPanel;1;0;1859	0
14023	2	105,109,114	1857			2	105,109,114	contract_task_des_14023	item100900001001,80	LinkUI	MauDungeonActivityPanel;1;0;1859	0
14024	1	1857	1			1	1	contract_task_des_14024	item100900001001,25	LinkUI	MauDungeonActivityPanel;1;0;1859	0
14025	1	1857	3			1	3	contract_task_des_14025	item100900001001,25	LinkUI	MauDungeonActivityPanel;1;0;1859	0
14026	1	1857	5			1	5	contract_task_des_14026	item100900001001,20	LinkUI	MauDungeonActivityPanel;1;0;1859	0
14027	1	1857	8			1	8	contract_task_des_14027	item100900001001,20	LinkUI	MauDungeonActivityPanel;1;0;1859	0
14028	1	1857	12			1	12	contract_task_des_14028	item100900001001,10	LinkUI	MauDungeonActivityPanel;1;0;1859	0
14029	2	113,109	1857			2	113,109	contract_task_des_14029	item100900001001,80	LinkUI	MauDungeonActivityPanel;1;0;1859	0
14030	2	106,116,114	1857			2	106,116,114	contract_task_des_14030	item100900001001,80	LinkUI	MauDungeonActivityPanel;1;0;1859	0
14031	1	1857	1			1	1	contract_task_des_14031	item100900001001,25	LinkUI	MauDungeonActivityPanel;1;0;1859	0
14032	1	1857	3			1	3	contract_task_des_14032	item100900001001,25	LinkUI	MauDungeonActivityPanel;1;0;1859	0
14033	1	1857	5			1	5	contract_task_des_14033	item100900001001,20	LinkUI	MauDungeonActivityPanel;1;0;1859	0
14034	1	1857	8			1	8	contract_task_des_14034	item100900001001,20	LinkUI	MauDungeonActivityPanel;1;0;1859	0
14035	1	1857	12			1	12	contract_task_des_14035	item100900001001,10	LinkUI	MauDungeonActivityPanel;1;0;1859	0
14036	2	115,117	1857			2	115,117	contract_task_des_14036	item100900001001,80	LinkUI	MauDungeonActivityPanel;1;0;1859	0
14037	2	116,109,103	1857			2	116,109,103	contract_task_des_14037	item100900001001,80	LinkUI	MauDungeonActivityPanel;1;0;1859	0
14038	1	1857	1			1	1	contract_task_des_14038	item100900001001,25	LinkUI	MauDungeonActivityPanel;1;0;1859	0
14039	1	1857	3			1	3	contract_task_des_14039	item100900001001,25	LinkUI	MauDungeonActivityPanel;1;0;1859	0
14040	1	1857	5			1	5	contract_task_des_14040	item100900001001,20	LinkUI	MauDungeonActivityPanel;1;0;1859	0
14041	1	1857	8			1	8	contract_task_des_14041	item100900001001,20	LinkUI	MauDungeonActivityPanel;1;0;1859	0
14042	1	1857	12			1	12	contract_task_des_14042	item100900001001,10	LinkUI	MauDungeonActivityPanel;1;0;1859	0
14043	2	123,124	1857			2	123,124	contract_task_des_14043	item100900001001,80	LinkUI	MauDungeonActivityPanel;1;0;1859	0
14044	2	159,106,109	1857			2	159,106,109	contract_task_des_14044	item100900001001,80	LinkUI	MauDungeonActivityPanel;1;0;1859	0
14045	1	1857	1			1	1	contract_task_des_14045	item100900001001,25	LinkUI	MauDungeonActivityPanel;1;0;1859	0
14046	1	1857	3			1	3	contract_task_des_14046	item100900001001,25	LinkUI	MauDungeonActivityPanel;1;0;1859	0
14047	1	1857	5			1	5	contract_task_des_14047	item100900001001,20	LinkUI	MauDungeonActivityPanel;1;0;1859	0
14048	1	1857	8			1	8	contract_task_des_14048	item100900001001,20	LinkUI	MauDungeonActivityPanel;1;0;1859	0
14049	1	1857	12			1	12	contract_task_des_14049	item100900001001,10	LinkUI	MauDungeonActivityPanel;1;0;1859	0
14050	2	122,112,106	1857			2	122,112,106	contract_task_des_14050	item100900001001,80	LinkUI	MauDungeonActivityPanel;1;0;1859	0
14051	2	115,139,103	1857			2	115,139,103	contract_task_des_14051	item100900001001,80	LinkUI	MauDungeonActivityPanel;1;0;1859	0
14052	1	1857	1			1	1	contract_task_des_14052	item100900001001,25	LinkUI	MauDungeonActivityPanel;1;0;1859	0
14053	1	1857	3			1	3	contract_task_des_14053	item100900001001,25	LinkUI	MauDungeonActivityPanel;1;0;1859	0
14054	1	1857	5			1	5	contract_task_des_14054	item100900001001,20	LinkUI	MauDungeonActivityPanel;1;0;1859	0
14055	1	1857	8			1	8	contract_task_des_14055	item100900001001,20	LinkUI	MauDungeonActivityPanel;1;0;1859	0
14056	1	1857	12			1	12	contract_task_des_14056	item100900001001,10	LinkUI	MauDungeonActivityPanel;1;0;1859	0
14057	2	114,160,103	1857			2	114,160,103	contract_task_des_14057	item100900001001,80	LinkUI	MauDungeonActivityPanel;1;0;1859	0
14058	2	110,141,109	1857			2	110,141,109	contract_task_des_14058	item100900001001,80	LinkUI	MauDungeonActivityPanel;1;0;1859	0
14059	1	1857	1			1	1	contract_task_des_14059	item100900001001,25	LinkUI	MauDungeonActivityPanel;1;0;1859	0
14060	1	1857	3			1	3	contract_task_des_14060	item100900001001,25	LinkUI	MauDungeonActivityPanel;1;0;1859	0
14061	1	1857	5			1	5	contract_task_des_14061	item100900001001,20	LinkUI	MauDungeonActivityPanel;1;0;1859	0
14062	1	1857	8			1	8	contract_task_des_14062	item100900001001,20	LinkUI	MauDungeonActivityPanel;1;0;1859	0
14063	1	1857	12			1	12	contract_task_des_14063	item100900001001,10	LinkUI	MauDungeonActivityPanel;1;0;1859	0
14064	2	111,140,109	1857			2	111,140,109	contract_task_des_14064	item100900001001,80	LinkUI	MauDungeonActivityPanel;1;0;1859	0
14065	2	120,118,162	1857			2	120,118,162	contract_task_des_14065	item100900001001,80	LinkUI	MauDungeonActivityPanel;1;0;1859	0
14066	1	1857	1			1	1	contract_task_des_14066	item100900001001,25	LinkUI	MauDungeonActivityPanel;1;0;1859	0
14067	1	1857	3			1	3	contract_task_des_14067	item100900001001,25	LinkUI	MauDungeonActivityPanel;1;0;1859	0
14068	1	1857	5			1	5	contract_task_des_14068	item100900001001,20	LinkUI	MauDungeonActivityPanel;1;0;1859	0
14069	1	1857	8			1	8	contract_task_des_14069	item100900001001,20	LinkUI	MauDungeonActivityPanel;1;0;1859	0
14070	1	1857	12			1	12	contract_task_des_14070	item100900001001,10	LinkUI	MauDungeonActivityPanel;1;0;1859	0
14071	2	111,125,106	1857			2	111,125,106	contract_task_des_14071	item100900001001,80	LinkUI	MauDungeonActivityPanel;1;0;1859	0
14072	2	124,161,123	1857			2	124,161,123	contract_task_des_14072	item100900001001,80	LinkUI	MauDungeonActivityPanel;1;0;1859	0
14073	1	1857	1			1	1	contract_task_des_14073	item100900001001,25	LinkUI	MauDungeonActivityPanel;1;0;1859	0
14074	1	1857	3			1	3	contract_task_des_14074	item100900001001,25	LinkUI	MauDungeonActivityPanel;1;0;1859	0
14075	1	1857	5			1	5	contract_task_des_14075	item100900001001,20	LinkUI	MauDungeonActivityPanel;1;0;1859	0
14076	1	1857	8			1	8	contract_task_des_14076	item100900001001,20	LinkUI	MauDungeonActivityPanel;1;0;1859	0
14077	1	1857	13			1	13	contract_task_des_14077	item100900001001,10	LinkUI	MauDungeonActivityPanel;1;0;1859	0
14078	2	106,160,113	1857			2	106,160,113	contract_task_des_14078	item100900001001,80	LinkUI	MauDungeonActivityPanel;1;0;1859	0
14079	2	115,117,127	1857			2	115,117,127	contract_task_des_14079	item100900001001,80	LinkUI	MauDungeonActivityPanel;1;0;1859	0
14080	1	1857	1			1	1	contract_task_des_14080	item100900001001,25	LinkUI	MauDungeonActivityPanel;1;0;1859	0
14081	1	1857	3			1	3	contract_task_des_14081	item100900001001,25	LinkUI	MauDungeonActivityPanel;1;0;1859	0
14082	1	1857	5			1	5	contract_task_des_14082	item100900001001,20	LinkUI	MauDungeonActivityPanel;1;0;1859	0
14083	1	1857	8			1	8	contract_task_des_14083	item100900001001,20	LinkUI	MauDungeonActivityPanel;1;0;1859	0
