流水id	npc编号	天赋技能等级	洗练消耗	洗练消耗银币
515	soldier_npc_10054	5	item105000000028,1	1,20000
516	soldier_npc_10054	6	item105000000028,1	1,20000
517	soldier_npc_10054	7	item105000000028,1	1,20000
518	soldier_npc_10054	8	item105000000028,1	1,20000
519	soldier_npc_10054	9	item105000000028,1	1,20000
520	soldier_npc_10054	10	item105000000028,1	1,20000
521	soldier_npc_10055	1	item105000000028,1	1,20000
522	soldier_npc_10055	2	item105000000028,1	1,20000
523	soldier_npc_10055	3	item105000000028,1	1,20000
524	soldier_npc_10055	4	item105000000028,1	1,20000
525	soldier_npc_10055	5	item105000000028,1	1,20000
526	soldier_npc_10055	6	item105000000028,1	1,20000
527	soldier_npc_10055	7	item105000000028,1	1,20000
528	soldier_npc_10055	8	item105000000028,1	1,20000
529	soldier_npc_10055	9	item105000000028,1	1,20000
530	soldier_npc_10055	10	item105000000028,1	1,20000
531	soldier_npc_10056	1	item105000000028,1	1,20000
532	soldier_npc_10056	2	item105000000028,1	1,20000
533	soldier_npc_10056	3	item105000000028,1	1,20000
534	soldier_npc_10056	4	item105000000028,1	1,20000
535	soldier_npc_10056	5	item105000000028,1	1,20000
536	soldier_npc_10056	6	item105000000028,1	1,20000
537	soldier_npc_10056	7	item105000000028,1	1,20000
538	soldier_npc_10056	8	item105000000028,1	1,20000
539	soldier_npc_10056	9	item105000000028,1	1,20000
540	soldier_npc_10056	10	item105000000028,1	1,20000
541	soldier_npc_10057	1	item105000000028,1	1,20000
542	soldier_npc_10057	2	item105000000028,1	1,20000
543	soldier_npc_10057	3	item105000000028,1	1,20000
544	soldier_npc_10057	4	item105000000028,1	1,20000
545	soldier_npc_10057	5	item105000000028,1	1,20000
546	soldier_npc_10057	6	item105000000028,1	1,20000
547	soldier_npc_10057	7	item105000000028,1	1,20000
548	soldier_npc_10057	8	item105000000028,1	1,20000
549	soldier_npc_10057	9	item105000000028,1	1,20000
550	soldier_npc_10057	10	item105000000028,1	1,20000
551	soldier_npc_10058	1	item105000000028,1	1,20000
552	soldier_npc_10058	2	item105000000028,1	1,20000
553	soldier_npc_10058	3	item105000000028,1	1,20000
554	soldier_npc_10058	4	item105000000028,1	1,20000
555	soldier_npc_10058	5	item105000000028,1	1,20000
556	soldier_npc_10058	6	item105000000028,1	1,20000
557	soldier_npc_10058	7	item105000000028,1	1,20000
558	soldier_npc_10058	8	item105000000028,1	1,20000
559	soldier_npc_10058	9	item105000000028,1	1,20000
560	soldier_npc_10058	10	item105000000028,1	1,20000
561	soldier_npc_10059	1	item105000000028,1	1,20000
562	soldier_npc_10059	2	item105000000028,1	1,20000
563	soldier_npc_10059	3	item105000000028,1	1,20000
564	soldier_npc_10059	4	item105000000028,1	1,20000
565	soldier_npc_10059	5	item105000000028,1	1,20000
566	soldier_npc_10059	6	item105000000028,1	1,20000
567	soldier_npc_10059	7	item105000000028,1	1,20000
568	soldier_npc_10059	8	item105000000028,1	1,20000
569	soldier_npc_10059	9	item105000000028,1	1,20000
570	soldier_npc_10059	10	item105000000028,1	1,20000
