流水id	推送商品组id	商品档位	Npc原画	npc气泡	礼包名字	礼包Icon	礼包描述	礼包价值	礼包内容	展示特效	限购次数	购买类型	购买参数	持续时间
5101	5101	1	7daysaward_19christmas	UI_PushGift_NpcLanguage3402	UI_PushGift_Name5101	icon_treasurebox06_0	PushGift_Des5101	500	item1014,500;item103010139002,20	0,41100023,0	2	2	6073	14400
5102	5102	1	7daysaward_19christmas	UI_PushGift_NpcLanguage3402	UI_PushGift_Name5102	icon_treasurebox06_0	PushGift_Des5102	360	item1014,3880;item103010139003,20	0,41100023,0	2	2	6161	14400
5201	5201	1	7daysaward_19christmas	UI_PushGift_NpcLanguage3402	UI_PushGift_Name5201	icon_treasurebox06_0	PushGift_Des5201	460	item1014,980;item100000000001,25;item100000000000,10	0,41100023,0	1	2	6084	14400
5301	5301	1	7daysaward_19christmas	UI_PushGift_NpcLanguage3402	UI_PushGift_Name5301	icon_treasurebox06_0	PushGift_Des5301	360	item1014,980;item102000020253,5	0,41100023,0	1	2	6084	14400
5302	5302	1	7daysaward_19christmas	UI_PushGift_NpcLanguage3402	UI_PushGift_Name5302	icon_treasurebox06_0	PushGift_Des5302	290	item1014,2680;item102000020253,10	0,41100023,0	1	2	6131	14400
5401	5401	1	7daysaward_19christmas	UI_PushGift_NpcLanguage3402	UI_PushGift_Name5401	icon_treasurebox06_0	PushGift_Des5401	520	item1014,500;item107300000002,30;item107999900002,20	0,41100023,0	1	2	6073	14400
5501	5501	1	7daysaward_19christmas	UI_PushGift_NpcLanguage3402	UI_PushGift_Name5501	icon_treasurebox06_0	PushGift_Des5501	480	item1014,980;item8102020061003,1;item8102020061002,25	0,41100023,0	1	2	6084	14400
5601	5601	1	7daysaward_19christmas	UI_PushGift_NpcLanguage3402	UI_PushGift_Name5601	icon_treasurebox06_0	PushGift_Des5601	1020	item1014,1280;item105000000031,150;item105000000030,515;item105000000073,2	0,41100023,0	1	2	6094	14400
5701	5701	1	7daysaward_19christmas	UI_PushGift_NpcLanguage3402	UI_PushGift_Name5701	icon_treasurebox06_0	PushGift_Des5701	500	item1014,500;item100000000003,10;item1000,10000000	0,41100023,0	1	2	6073	14400
5801	5801	1	7daysaward_19christmas	UI_PushGift_NpcLanguage3402	UI_PushGift_Name5801	icon_treasurebox06_0	PushGift_Des5801	510	item1014,880;item161000000002,10;item161000000001,20	0,41100023,0	1	2	7000	14400
5901	5901	1	7daysaward_19christmas	UI_PushGift_NpcLanguage3402	UI_PushGift_Name5901	icon_treasurebox06_0	PushGift_Des5901	360	item1014,880;item8100400000201,2;item8106210400002,99	0,41100023,0	1	2	7000	14400
10001	10001	1	7daysaward_19christmas	UI_PushGift_NpcLanguage10001	UI_PushGift_Name10001	icon_treasurebox06_0	PushGift_Des10001	430	item119100000003,8;item100000000001,5;item1014,1980	0,41100023,0	2	2	6122	28800
10002	10002	1	7daysaward_19christmas	UI_PushGift_NpcLanguage10001	UI_PushGift_Name10002	icon_treasurebox06_0	PushGift_Des10002	400	item91000000428,1;item91000000429,1;item1014,4880	0,41100023,0	1	2	6172	28800
10003	10003	1	7daysaward_19christmas	UI_PushGift_NpcLanguage10002	UI_PushGift_Name10003	icon_treasurebox06_0	PushGift_Des10003	467	item105000000029,10;item91000000235,1;item105000000030,50	0,41100023,0	1	2	6122	28800
10004	10004	1	7daysaward_19christmas	UI_PushGift_NpcLanguage10002	UI_PushGift_Name10004	icon_treasurebox06_0	PushGift_Des10004	355	item91000000048,8;item101040101017,150;item1014,6480;item100000000000,5	0,41100023,0	1	2	1013	28800
10005	10005	1	7daysaward_19christmas	UI_PushGift_NpcLanguage10003	UI_PushGift_Name10005	icon_treasurebox06_0	PushGift_Des10005	370	item1014,1980;item91000000339,1;item8200000800003,4;item8200000800002,4	0,41100023,0	2	2	6122	28800
10006	10006	1	7daysaward_19christmas	UI_PushGift_NpcLanguage10003	UI_PushGift_Name10006	icon_treasurebox06_0	PushGift_Des10006	385	item1014,980;item8103010121004,40;item100500000001,100;item8103010111018,5	0,41100023,0	2	2	6084	28800
10007	10007	1	7daysaward_19christmas	UI_PushGift_NpcLanguage10004	UI_PushGift_Name10007	icon_treasurebox06_0	PushGift_Des10007	310	item1014,2680;item91000000855,1	0,41100023,0	1	2	6131	28800
10008	10008	1	7daysaward_19christmas	UI_PushGift_NpcLanguage10004	UI_PushGift_Name10008	icon_treasurebox06_0	PushGift_Des10008	410	item1014,6720	41100023	1	2	6101	28800
10009	10009	1	7daysaward_19christmas	UI_PushGift_NpcLanguage10002	UI_PushGift_Name10009	icon_treasurebox06_0	PushGift_Des10009	260	item8230000000004,40;item102000020251,10	0,41100023,0	2	2	6161	28800
10010	10010	1	7daysaward_19christmas	UI_PushGift_NpcLanguage10002	UI_PushGift_Name10010	icon_treasurebox06_0	PushGift_Des10010	310	item1014,1980;item200000800004,4;item1019,1500;item102000020233,5	0,41100023,0	2	2	6122	28800
10011	10011	1	7daysaward_19christmas	UI_PushGift_NpcLanguage10003	UI_PushGift_Name10011	icon_treasurebox06_0	PushGift_Des10011	400	item1014,6720	41100023	2	2	6101	28800
10012	10012	1	7daysaward_19christmas	UI_PushGift_NpcLanguage10003	UI_PushGift_Name10012	icon_treasurebox06_0	PushGift_Des10012	250	item8103010121004,64;item8103010121005,64;item8103010111018,30;item1000,20000000	0,41100023,0	2	2	6172	28800
10013	10013	1	7daysaward_19christmas	UI_PushGift_NpcLanguage10002	UI_PushGift_Name10013	icon_treasurebox06_0	PushGift_Des10013	260	item1014,4880;item91000000048,6;item101040101017,100;item100000000000,5	0,41100023,0	2	2	6172	28800
10014	10014	1	7daysaward_19christmas	UI_PushGift_NpcLanguage10002	UI_PushGift_Name10014	icon_treasurebox06_0	PushGift_Des10014	310	item1014,1980;item200000800004,4;item1019,1500;item102000020233,5	0,41100023,0	2	2	6122	28800
10015	10015	1	7daysaward_19christmas	UI_PushGift_NpcLanguage10003	UI_PushGift_Name10015	icon_treasurebox06_0	PushGift_Des10015	400	item1014,6720	41100023	2	2	6101	28800
10016	10016	1	7daysaward_19christmas	UI_PushGift_NpcLanguage10003	UI_PushGift_Name10016	icon_treasurebox06_0	PushGift_Des10016	250	item119100000003,8;item161000000002,10;item1014,4880;item100000000000,5	0,41100023,0	2	2	6172	28800
10017	10017	1	7daysaward_19christmas	UI_PushGift_NpcLanguage10002	UI_PushGift_Name10017	icon_treasurebox06_0	PushGift_Des10017	310	item1014,1980;item8200000800011,4;item91000000339,1	0,41100023,0	2	2	7031	172800
10018	10018	1	7daysaward_19christmas	UI_PushGift_NpcLanguage10002	UI_PushGift_Name10018	icon_treasurebox06_0	PushGift_Des10018	250	item1014,4880;item8102020061005,1;item8102020061003,1;item8102020061002,10	0,41100023,0	2	2	6171	172800
10019	10019	1	7daysaward_19christmas	UI_PushGift_NpcLanguage10003	UI_PushGift_Name10019	icon_treasurebox06_0	PushGift_Des10019	400	item1014,6720	41100023	2	2	6101	172800
10020	10020	1	7daysaward_19christmas	UI_PushGift_NpcLanguage10003	UI_PushGift_Name10020	icon_treasurebox06_0	PushGift_Des10020	230	item8200000800003,8;item100000000000,5;item8103015110406,1	0,41100023,0	2	2	1013	172800
10021	10021	1	7daysaward_19christmas	UI_PushGift_NpcLanguage10002	UI_PushGift_Name10021	icon_treasurebox06_0	PushGift_Des10021	310	item1014,1980;item200000800004,4;item91000000339,1	0,41100023,0	2	2	7031	172800
10022	10022	1	7daysaward_19christmas	UI_PushGift_NpcLanguage10002	UI_PushGift_Name10022	icon_treasurebox06_0	PushGift_Des10022	250	item91000000428,1;item91000000429,2;item1014,4880	0,41100023,0	2	2	6171	172800
10023	10023	1	7daysaward_19christmas	UI_PushGift_NpcLanguage10003	UI_PushGift_Name10023	icon_treasurebox06_0	PushGift_Des10023	400	item1014,6720	41100023	2	2	6101	172800
10024	10024	1	7daysaward_19christmas	UI_PushGift_NpcLanguage10003	UI_PushGift_Name10024	icon_treasurebox06_0	PushGift_Des10024	250	item119100000003,8;item161000000002,10;item1014,4880;item100000000000,5	0,41100023,0	2	2	6171	172800
10025	10025	1	7daysaward_19christmas	UI_PushGift_NpcLanguage10003	UI_PushGift_Name10025	icon_treasurebox06_0	PushGift_Des10025	400	item1014,6720	41100023	2	2	6101	86400
10026	10026	1	7daysaward_19christmas	UI_PushGift_NpcLanguage10003	UI_PushGift_Name10026	icon_treasurebox06_0	PushGift_Des10026	310	item1014,1980;item8200000800011,4;item91000000339,1;item1019,500	0,41100023,0	2	2	7031	86400
10027	10027	1	7daysaward_19christmas	UI_PushGift_NpcLanguage10003	UI_PushGift_Name10027	icon_treasurebox06_0	PushGift_Des10027	260	item1014,4880;item91000000048,6;item101040101017,100;item100000000000,5	0,41100023,0	2	2	6171	86400
10028	10028	1	7daysaward_19christmas	UI_PushGift_NpcLanguage10003	UI_PushGift_Name10028	icon_treasurebox06_0	PushGift_Des10028	250	item119100000003,8;item161000000002,10;item1014,4880;item100000000000,5	0,41100023,0	2	2	6171	86400
10029	10029	1	7daysaward_19christmas	UI_PushGift_NpcLanguage10003	UI_PushGift_Name10029	icon_treasurebox06_0	PushGift_Des10029	250	item8102020061001,50;item8102020061002,50;item1002,6480;item8102020061003,2	0,41100023,0	2	2	1013	86400
10030	10030	1	7daysaward_19christmas	UI_PushGift_NpcLanguage10003	UI_PushGift_Name10030	icon_treasurebox06_0	PushGift_Des10030	310	item1014,1980;item1019,2000;item91000000339,1	0,41100023,0	2	2	7031	172800
10031	10031	1	7daysaward_19christmas	UI_PushGift_NpcLanguage10003	UI_PushGift_Name10031	icon_treasurebox06_0	PushGift_Des10031	250	item1014,4880;item8103010121007,6;item8103010121008,3	0,41100023,0	2	2	6171	172800
10032	10032	1	7daysaward_19christmas	UI_PushGift_NpcLanguage10003	UI_PushGift_Name10032	icon_treasurebox06_0	PushGift_Des10032	400	item1014,6720	41100023	2	2	6101	172800
10033	10033	1	7daysaward_19christmas	UI_PushGift_NpcLanguage10003	UI_PushGift_Name10033	icon_treasurebox06_0	PushGift_Des10033	250	item8102020061001,50;item8102020061002,50;item1002,6480;item8102020061003,2	0,41100023,0	2	2	1013	172800
10034	10034	1	7daysaward_19christmas	UI_PushGift_NpcLanguage10003	UI_PushGift_Name10034	icon_treasurebox06_0	PushGift_Des10034	400	item1014,6720	41100023	2	2	6101	172800
10035	10035	1	7daysaward_19christmas	UI_PushGift_NpcLanguage10003	UI_PushGift_Name10035	icon_treasurebox06_0	PushGift_Des10035	290	item1014,1000;item8103010139003,15;item100000000000,10	0,41100023,0	2	2	6152	172800
10036	10036	1	7daysaward_19christmas	UI_PushGift_NpcLanguage10003	UI_PushGift_Name10036	icon_treasurebox06_0	PushGift_Des10036	210	item8200000800003,5;item100000000000,5;item8103015110406,1	0,41100023,0	2	2	1013	172800
10037	10037	1	7daysaward_19christmas	UI_PushGift_NpcLanguage10003	UI_PushGift_Name10037	icon_treasurebox06_0	PushGift_Des10037	210	item91000000380,1;item161000000003,1;item161000000002,5;item100000000001,5	0,41100023,0	2	2	1013	172800
10038	10038	1	7daysaward_19christmas	UI_PushGift_NpcLanguage10003	UI_PushGift_Name10038	icon_treasurebox06_0	PushGift_Des10038	400	item1014,6720	41100023	2	2	6101	172800
10039	10039	1	7daysaward_19christmas	UI_PushGift_NpcLanguage10003	UI_PushGift_Name10039	icon_treasurebox06_0	PushGift_Des10039	290	item1014,3280;item200000831003,2;item1019,6000	0,41100023,0	2	2	6152	172800
10040	10040	1	7daysaward_19christmas	UI_PushGift_NpcLanguage10003	UI_PushGift_Name10040	icon_treasurebox06_0	PushGift_Des10040	210	item90000000125,1;item100000000001,5;item1014,3280	0,41100023,0	2	2	1013	172800
10041	10041	1	7daysaward_19christmas	UI_PushGift_NpcLanguage10003	UI_PushGift_Name10041	icon_treasurebox06_0	PushGift_Des10041	210	item91000000022,1;item91000000043,1;item1014,3280;item100000000001,5	0,41100023,0	2	2	1013	172800
10042	10042	1	7daysaward_19christmas	UI_PushGift_NpcLanguage10004	UI_PushGift_Name10042	icon_treasurebox06_0	PushGift_Des10042	300	item1014,6480;item8101020505341,10	0,41100023,0	3	2	1013	172800
10043	10043	1	7daysaward_19christmas	UI_PushGift_NpcLanguage10004	UI_PushGift_Name10043	icon_treasurebox06_0	PushGift_Des10043	300	item1014,6480;item8101020505346,10	0,41100023,0	3	2	1013	172800
10044	10044	1	7daysaward_19christmas	UI_PushGift_NpcLanguage10004	UI_PushGift_Name10044	icon_treasurebox06_0	PushGift_Des10044	410	item8103010121008,4;item8103010121007,6	0,41100023,0	3	2	6171	172800
10045	10045	1	7daysaward_19christmas	UI_PushGift_NpcLanguage10004	UI_PushGift_Name10045	icon_treasurebox06_0	PushGift_Des10045	250	item8102020061005,1;item8102020061006,1;item8102020061003,2	0,41100023,0	3	2	1013	172800
10046	10046	1	7daysaward_19christmas	UI_PushGift_NpcLanguage10003	UI_PushGift_Name10046	icon_treasurebox06_0	PushGift_Des10046	400	item1014,6720	41100023	2	2	6101	172800
10047	10047	1	7daysaward_19christmas	UI_PushGift_NpcLanguage10003	UI_PushGift_Name10047	icon_treasurebox06_0	PushGift_Des10047	220	item8200000800011,5;item8200000800004,5;item8200000800003,5	0,41100023,0	2	2	6141	172800
10048	10048	1	7daysaward_19christmas	UI_PushGift_NpcLanguage10003	UI_PushGift_Name10048	icon_treasurebox06_0	PushGift_Des10048	300	item1014,3280;item200000831003,2;item1019,6000	0,41100023,0	2	2	6152	172800
10049	10049	1	7daysaward_19christmas	UI_PushGift_NpcLanguage10003	UI_PushGift_Name10049	icon_treasurebox06_0	PushGift_Des10049	250	item119100000003,8;item161000000002,10;item1014,4880;item100000000000,5	0,41100023,0	2	2	6171	172800
10050	10050	1	7daysaward_19christmas	UI_PushGift_NpcLanguage10004	UI_PushGift_Name10050	icon_treasurebox06_0	PushGift_Des10050	400	item1014,6720	41100023	2	2	6101	172800
10051	10051	1	7daysaward_19christmas	UI_PushGift_NpcLanguage10003	UI_PushGift_Name10051	icon_treasurebox06_0	PushGift_Des10051	290	item8103010121004,150;item8103010111017,300;item100500000001,250	0,41100023,0	2	2	6141	172800
10052	10052	1	7daysaward_19christmas	UI_PushGift_NpcLanguage10003	UI_PushGift_Name10052	icon_treasurebox06_0	PushGift_Des10052	300	item1014,3280;item200000831003,2;item1019,6000	0,41100023,0	2	2	6152	172800
10053	10053	1	7daysaward_19christmas	UI_PushGift_NpcLanguage10003	UI_PushGift_Name10053	icon_treasurebox06_0	PushGift_Des10053	250	item8102020061001,50;item8102020061002,50;item1002,6480;item8102020061003,2	0,41100023,0	2	2	1013	172800
10054	10054	1	7daysaward_19christmas	UI_PushGift_NpcLanguage10003	UI_PushGift_Name10054	icon_treasurebox06_0	PushGift_Des10054	400	item1014,6720	41100023	2	2	6101	172800
10055	10055	1	7daysaward_19christmas	UI_PushGift_NpcLanguage10003	UI_PushGift_Name10055	icon_treasurebox06_0	PushGift_Des10055	220	item8200000800011,5;item8200000800004,5;item8200000800003,5	0,41100023,0	2	2	6141	172800
10056	10056	1	7daysaward_19christmas	UI_PushGift_NpcLanguage10003	UI_PushGift_Name10056	icon_treasurebox06_0	PushGift_Des10056	300	item1014,3280;item200000831003,2;item1019,6000	0,41100023,0	2	2	6152	172800
10057	10057	1	7daysaward_19christmas	UI_PushGift_NpcLanguage10003	UI_PushGift_Name10057	icon_treasurebox06_0	PushGift_Des10057	250	item119100000003,8;item161000000002,10;item1014,4880;item100000000000,5	0,41100023,0	2	2	6171	172800
10058	10058	1	7daysaward_19christmas	UI_PushGift_NpcLanguage10003	UI_PushGift_Name10058	icon_treasurebox06_0	PushGift_Des10058	400	item1014,6720	41100023	2	2	6101	172800
10059	10059	1	7daysaward_19christmas	UI_PushGift_NpcLanguage10003	UI_PushGift_Name10059	icon_treasurebox06_0	PushGift_Des10059	340	item171000101021,500;item171000101012,100;item1014,2980	0,41100023,0	3	2	6141	172800
10060	10060	1	7daysaward_19christmas	UI_PushGift_NpcLanguage10003	UI_PushGift_Name10060	icon_treasurebox06_0	PushGift_Des10060	320	item1014,3280;item91000000339,2;item1019,3000	0,41100023,0	3	2	6152	172800
10061	10061	1	7daysaward_19christmas	UI_PushGift_NpcLanguage10003	UI_PushGift_Name10061	icon_treasurebox06_0	PushGift_Des10061	310	item101031000021,4;item101040101016,8;item94000000135,6	0,41100023,0	2	2	6152	172800
10062	10062	1	7daysaward_19christmas	UI_PushGift_NpcLanguage10003	UI_PushGift_Name10062	icon_treasurebox06_0	PushGift_Des10062	260	item1014,4880;item91000000048,6;item101040101017,100;item100000000000,5	0,41100023,0	2	2	6171	86400
10063	10063	1	7daysaward_19christmas	UI_PushGift_NpcLanguage10003	UI_PushGift_Name10063	icon_treasurebox06_0	PushGift_Des10063	300	item1014,500;item91000001071,6;item100000000000,2	41100023	10	2	6073	86400
10064	10064	1	7daysaward_19christmas	UI_PushGift_NpcLanguage10003	UI_PushGift_Name10064	icon_treasurebox06_0	PushGift_Des10064	400	item1014,6720	0,41100023,0	2	2	6101	172800
10065	10065	1	7daysaward_19christmas	UI_PushGift_NpcLanguage10003	UI_PushGift_Name10065	icon_treasurebox06_0	PushGift_Des10065	340	item171000101021,500;item171000101012,100;item1014,2980	0,41100023,0	3	2	6141	172800
10066	10066	1	7daysaward_19christmas	UI_PushGift_NpcLanguage10003	UI_PushGift_Name10066	icon_treasurebox06_0	PushGift_Des10066	320	item1014,3280;item91000000339,2;item1019,3000	0,41100023,0	3	2	6152	172800
10067	10067	1	7daysaward_19christmas	UI_PushGift_NpcLanguage10003	UI_PushGift_Name10067	icon_treasurebox06_0	PushGift_Des10067	300	item127000051202,2;item107999900002,150;item107000051202,1	0,41100023,0	5	2	1013	172800
10068	10068	1	7daysaward_19christmas	UI_PushGift_NpcLanguage10003	UI_PushGift_Name10068	icon_treasurebox06_0	PushGift_Des10068	200	item1014,3280;item200000830003,1	0,41100023,0	2	2	1013	86400
10069	10069	1	7daysaward_19christmas	UI_PushGift_NpcLanguage10003	UI_PushGift_Name10069	icon_treasurebox06_0	PushGift_Des10069	400	item1014,6720;,	41100023	2	2	6101	172800
10070	10070	1	7daysaward_19christmas	UI_PushGift_NpcLanguage10003	UI_PushGift_Name10070	icon_treasurebox06_0	PushGift_Des10070	340	item171000101021,500;item171000101012,100;item1014,2980	0,41100023,0	3	2	6141	172800
10071	10071	1	7daysaward_19christmas	UI_PushGift_NpcLanguage10003	UI_PushGift_Name10071	icon_treasurebox06_0	PushGift_Des10071	330	item1014,3280;item200000831003,2;item1019,6000	0,41100023,0	2	2	6152	172800
10072	10072	1	7daysaward_19christmas	UI_PushGift_NpcLanguage10003	UI_PushGift_Name10072	icon_treasurebox06_0	PushGift_Des10072	250	item8102020061002,50;item8102020061003,3;item8102020061001,90	0,41100023,0	2	2	6152	172800
10073	10073	1	7daysaward_19christmas	UI_PushGift_NpcLanguage10003	UI_PushGift_Name10073	icon_treasurebox06_0	PushGift_Des10073	250	item119100000003,8;item161000000002,10;item1014,4880;item100000000000,5	0,41100023,0	2	2	6171	172800
10074	10074	1	7daysaward_19christmas	UI_PushGift_NpcLanguage10003	UI_PushGift_Name10074	icon_treasurebox06_0	PushGift_Des10074	400	item1014,6720	41100023	2	2	6101	172800
10075	10075	1	7daysaward_19christmas	UI_PushGift_NpcLanguage10003	UI_PushGift_Name10075	icon_treasurebox06_0	PushGift_Des10075	340	item171000101021,500;item171000101012,100;item1014,2980	0,41100023,0	3	2	6141	172800
10076	10076	1	7daysaward_19christmas	UI_PushGift_NpcLanguage10003	UI_PushGift_Name10076	icon_treasurebox06_0	PushGift_Des10076	330	item1014,3280;item200000831003,2;item1019,6000	0,41100023,0	2	2	6152	172800
10077	10077	1	7daysaward_19christmas	UI_PushGift_NpcLanguage10003	UI_PushGift_Name10077	icon_treasurebox06_0	PushGift_Des10077	260	item107999900011,5;,;item107300000003,30	0,41100023,0	4	2	1013	172800
10078	10078	1	7daysaward_19christmas	UI_PushGift_NpcLanguage10003	UI_PushGift_Name10078	icon_treasurebox06_0	PushGift_Des10078	310	item101031000021,4;item101040101016,8;item94000000135,6	0,41100023,0	2	2	6152	172800
10079	10079	1	7daysaward_19christmas	UI_PushGift_NpcLanguage10003	UI_PushGift_Name10079	icon_treasurebox06_0	PushGift_Des10079	400	item1014,6720	41100023	2	2	6101	172800
10080	10080	1	7daysaward_19christmas	UI_PushGift_NpcLanguage10003	UI_PushGift_Name10080	icon_treasurebox06_0	PushGift_Des10080	340	item171000101021,500;item171000101012,100;item1014,2980	0,41100023,0	3	2	6141	172800
10081	10081	1	7daysaward_19christmas	UI_PushGift_NpcLanguage10003	UI_PushGift_Name10081	icon_treasurebox06_0	PushGift_Des10081	330	item1014,3280;item200000831003,2;item1019,6000	0,41100023,0	2	2	6152	172800
10082	10082	1	7daysaward_19christmas	UI_PushGift_NpcLanguage10003	UI_PushGift_Name10082	icon_treasurebox06_0	PushGift_Des10082	410	item8103010121008,4;item8103010121007,6	0,41100023,0	3	2	6171	172800
10083	10083	1	7daysaward_19christmas	UI_PushGift_NpcLanguage10003	UI_PushGift_Name10083	icon_treasurebox06_0	PushGift_Des10083	210	item8200000800003,5;item100000000000,5;item8103015110406,1	0,41100023,0	2	2	1013	172800
10084	10084	1	7daysaward_19christmas	UI_PushGift_NpcLanguage3402	UI_PushGift_Name10084	icon_treasurebox06_0	PushGift_Des10084	360	item1019,1500;item200000810004,2	0,41100023,0	5	2	6084	172800
10085	10085	1	7daysaward_19christmas	UI_PushGift_NpcLanguage3402	UI_PushGift_Name10085	icon_treasurebox06_0	PushGift_Des10085	250	item8102020061001,50;item8102020061002,50;item1002,6480;item8102020061003,2	0,41100023,0	2	2	1013	172800
10086	10086	1	7daysaward_19christmas	UI_PushGift_NpcLanguage3402	UI_PushGift_Name10086	icon_treasurebox06_0	PushGift_Des10086	330	item1014,3280;item200000831003,2;item1019,6000	0,41100023,0	2	2	6152	172800
10087	10087	1	7daysaward_19christmas	UI_PushGift_NpcLanguage3402	UI_PushGift_Name10087	icon_treasurebox06_0	PushGift_Des10087	310	item8171000101081,2;item8171000101061,20;item1014,4880;item8171000101071,10	0,41100023,0	4	2	6171	172800
10088	10088	1	7daysaward_19christmas	UI_PushGift_NpcLanguage3402	UI_PushGift_Name10088	icon_treasurebox06_0	PushGift_Des10088	300	item1014,6480;item8101020505341,10	0,41100023,0	3	2	1013	172800
10089	10089	1	7daysaward_19christmas	UI_PushGift_NpcLanguage3402	UI_PushGift_Name10089	icon_treasurebox06_0	PushGift_Des10089	310	item1014,1980;item8200000800011,4;item91000000339,1;item1019,500	41100023	2	2	7031	86400
10090	10090	1	7daysaward_19christmas	UI_PushGift_NpcLanguage3402	UI_PushGift_Name10090	icon_treasurebox06_0	PushGift_Des10090	300	item1014,3280;item200000831003,2;item1019,6000	0,41100023,0	2	2	6152	172800
10091	10091	1	7daysaward_19christmas	UI_PushGift_NpcLanguage3402	UI_PushGift_Name10091	icon_treasurebox06_0	PushGift_Des10091	340	item171000101021,500;item171000101012,100;item1014,2980	0,41100023,0	3	2	6141	172800
10092	10092	1	7daysaward_19christmas	UI_PushGift_NpcLanguage3402	UI_PushGift_Name10092	icon_treasurebox06_0	PushGift_Des10092	467	item105000000029,10;item91000000235,1;item105000000030,50	0,41100023,0	1	2	6121	28800
10093	10093	1	7daysaward_19christmas	UI_PushGift_NpcLanguage3402	UI_PushGift_Name10093	icon_treasurebox06_0	PushGift_Des10093	260	item105000000030,150;item91000000220,1	0,41100023,0	5	2	1013	172800
10094	10094	1	7daysaward_19christmas	UI_PushGift_NpcLanguage3402	UI_PushGift_Name10094	icon_treasurebox06_0	PushGift_Des10094	200	item1014,3280;item200000830003,1	0,41100023,0	2	2	1013	86400
10095	10095	1	7daysaward_19christmas	UI_PushGift_NpcLanguage3402	UI_PushGift_Name10095	icon_treasurebox06_0	PushGift_Des10095	400	item1014,6720	41100023	2	2	6101	172800
10096	10096	1	7daysaward_19christmas	UI_PushGift_NpcLanguage3402	UI_PushGift_Name10096	icon_treasurebox06_0	PushGift_Des10096	340	item171000101021,500;item171000101012,100;item1014,2980	0,41100023,0	3	2	6141	172800
10097	10097	1	7daysaward_19christmas	UI_PushGift_NpcLanguage3402	UI_PushGift_Name10097	icon_treasurebox06_0	PushGift_Des10097	330	item1014,3280;item200000831003,2;item1019,6000	0,41100023,0	2	2	6152	172800
10098	10098	1	7daysaward_19christmas	UI_PushGift_NpcLanguage3402	UI_PushGift_Name10098	icon_treasurebox06_0	PushGift_Des10098	240	item1014,980;item171002010002,10;item171002000001,30	0,41100023,0	4	2	6084	172800
10099	10099	1	7daysaward_19christmas	UI_PushGift_NpcLanguage3402	UI_PushGift_Name10099	icon_treasurebox06_0	PushGift_Des10099	210	item8200000800003,5;item100000000000,5;item8103015110406,1	0,41100023,0	2	2	1013	172800
10100	10100	1	7daysaward_19christmas	UI_PushGift_NpcLanguage3402	UI_PushGift_Name10100	icon_treasurebox06_0	PushGift_Des10100	400	item1014,6720	41100023	2	2	6101	172800
10101	10101	1	7daysaward_19christmas	UI_PushGift_NpcLanguage3402	UI_PushGift_Name10101	icon_treasurebox06_0	PushGift_Des10101	360	item200000810004,2;item1019,1500	0,41100023,0	5	2	6084	172800
10102	10102	1	7daysaward_19christmas	UI_PushGift_NpcLanguage3402	UI_PushGift_Name10102	icon_treasurebox06_0	PushGift_Des10102	343	item105000000028,100;item105000000032,20;item90000000131,10	0,41100023,0	2	2	6094	172800
10103	10103	1	7daysaward_19christmas	UI_PushGift_NpcLanguage3402	UI_PushGift_Name10103	icon_treasurebox06_0	PushGift_Des10103	237	item1014,980;item171002010002,10;item171002000001,30	0,41100023,0	4	2	6083	172800
10104	10104	1	7daysaward_19christmas	UI_PushGift_NpcLanguage3402	UI_PushGift_Name10104	icon_treasurebox06_0	PushGift_Des10104	250	item8102020061001,50;item8102020061002,50;item1002,6480;item8102020061003,2	0,41100023,0	2	2	1013	172800
10105	10105	1	7daysaward_19christmas	UI_PushGift_NpcLanguage3402	UI_PushGift_Name10105	icon_treasurebox06_0	PushGift_Des10105	310	item1014,1980;item8200000800011,4;item91000000339,1;item1019,500	41100023	2	2	7031	172800
10106	10106	1	7daysaward_19christmas	UI_PushGift_NpcLanguage3402	UI_PushGift_Name10106	icon_treasurebox06_0	PushGift_Des10106	300	item1014,3280;item200000831003,2;item1019,6000	0,41100023,0	2	2	6152	172800
10107	10107	1	7daysaward_19christmas	UI_PushGift_NpcLanguage3402	UI_PushGift_Name10107	icon_treasurebox06_0	PushGift_Des10107	340	item171000101021,500;item171000101012,100;item1014,2980	0,41100023,0	3	2	6141	172800
10108	10108	1	7daysaward_19christmas	UI_PushGift_NpcLanguage3402	UI_PushGift_Name10108	icon_treasurebox06_0	PushGift_Des10108	250	item119100000003,8;item161000000002,10;item1014,4880;item100000000000,5	0,41100023,0	2	2	6171	172800
10109	10109	1	7daysaward_19christmas	UI_PushGift_NpcLanguage3402	UI_PushGift_Name10109	icon_treasurebox06_0	PushGift_Des10109	210	item8200000800003,5;item100000000000,5;item8103015110406,1	0,41100023,0	2	2	1013	172800
10110	10110	1	7daysaward_19christmas	UI_PushGift_NpcLanguage3402	UI_PushGift_Name10110	icon_treasurebox06_0	PushGift_Des10110	200	item1014,3280;item200000830003,1	0,41100023,0	2	2	1013	172800
999999	999999	1	7daysaward_19christmas	UI_PushGift_NpcLanguage3402	UI_PushGift_Name999999	icon_treasurebox06_0	PushGift_Des999999	200	item1014,3280;item200000830003,1	0,41100023,0	2	2	1013	172800
10111	10111	1	7daysaward_19christmas	UI_PushGift_NpcLanguage3402	UI_PushGift_Name10111	icon_treasurebox06_0	PushGift_Des10111	400	item1014,6720	41100023	2	2	6101	172800
