流水号	技能编号	技能等级	学习获得武艺属性	学习获得才艺属性	升级消耗其他	升级消耗碎片	技能评分
432	1044	2		1,840;4,840;5,1120	1,400000	item127000065044,5	2800
433	1044	3		1,1020;4,1020;5,1360	1,450000	item127000065044,10	3400
434	1044	4		1,1200;4,1200;5,1600	1,500000	item127000065044,15	4000
435	1044	5		1,1380;4,1380;5,1840	1,550000	item127000065044,20	4600
436	1044	6		1,1560;4,1560;5,2080	1,600000	item127000065044,30	5200
437	1044	7		1,1680;4,1680;5,2240	1,650000	item127000065044,40	5600
438	1044	8		1,1800;4,1800;5,2400	1,700000	item127000065044,60	6000
439	1044	9		1,1860;4,1860;5,2480	1,750000	item127000065044,80	6200
440	1044	10		1,1920;4,1920;5,2560	1,800000	item127000065044,100	6400
441	1045	1		2,600;3,600;6,800		item127000065045,60	2000
442	1045	2		2,840;3,840;6,1120	1,400000	item127000065045,5	2800
443	1045	3		2,1020;3,1020;6,1360	1,450000	item127000065045,10	3400
444	1045	4		2,1200;3,1200;6,1600	1,500000	item127000065045,15	4000
445	1045	5		2,1380;3,1380;6,1840	1,550000	item127000065045,20	4600
446	1045	6		2,1560;3,1560;6,2080	1,600000	item127000065045,30	5200
447	1045	7		2,1680;3,1680;6,2240	1,650000	item127000065045,40	5600
448	1045	8		2,1800;3,1800;6,2400	1,700000	item127000065045,60	6000
449	1045	9		2,1860;3,1860;6,2480	1,750000	item127000065045,80	6200
450	1045	10		2,1920;3,1920;6,2560	1,800000	item127000065045,100	6400
451	1046	1		1,800;3,600;5,600		item127000065046,60	2000
452	1046	2		1,1120;3,840;5,840	1,400000	item127000065046,5	2800
453	1046	3		1,1360;3,1020;5,1020	1,450000	item127000065046,10	3400
454	1046	4		1,1600;3,1200;5,1200	1,500000	item127000065046,15	4000
455	1046	5		1,1840;3,1380;5,1380	1,550000	item127000065046,20	4600
456	1046	6		1,2080;3,1560;5,1560	1,600000	item127000065046,30	5200
457	1046	7		1,2240;3,1680;5,1680	1,650000	item127000065046,40	5600
458	1046	8		1,2400;3,1800;5,1800	1,700000	item127000065046,60	6000
459	1046	9		1,2480;3,1860;5,1860	1,750000	item127000065046,80	6200
460	1046	10		1,2560;3,1920;5,1920	1,800000	item127000065046,100	6400
461	1047	1		2,800;4,600;6,600		item127000065047,60	2000
462	1047	2		2,1120;4,840;6,840	1,400000	item127000065047,5	2800
463	1047	3		2,1360;4,1020;6,1020	1,450000	item127000065047,10	3400
464	1047	4		2,1600;4,1200;6,1200	1,500000	item127000065047,15	4000
465	1047	5		2,1840;4,1380;6,1380	1,550000	item127000065047,20	4600
466	1047	6		2,2080;4,1560;6,1560	1,600000	item127000065047,30	5200
467	1047	7		2,2240;4,1680;6,1680	1,650000	item127000065047,40	5600
468	1047	8		2,2400;4,1800;6,1800	1,700000	item127000065047,60	6000
469	1047	9		2,2480;4,1860;6,1860	1,750000	item127000065047,80	6200
470	1047	10		2,2560;4,1920;6,1920	1,800000	item127000065047,100	6400
471	1048	1		1,600;2,600;3,800		item127000065048,60	2000
472	1048	2		1,840;2,840;3,1120	1,400000	item127000065048,5	2800
473	1048	3		1,1020;2,1020;3,1360	1,450000	item127000065048,10	3400
474	1048	4		1,1200;2,1200;3,1600	1,500000	item127000065048,15	4000
475	1048	5		1,1380;2,1380;3,1840	1,550000	item127000065048,20	4600
476	1048	6		1,1560;2,1560;3,2080	1,600000	item127000065048,30	5200
477	1048	7		1,1680;2,1680;3,2240	1,650000	item127000065048,40	5600
478	1048	8		1,1800;2,1800;3,2400	1,700000	item127000065048,60	6000
479	1048	9		1,1860;2,1860;3,2480	1,750000	item127000065048,80	6200
480	1048	10		1,1920;2,1920;3,2560	1,800000	item127000065048,100	6400
481	1049	1		4,800;5,600;6,600		item127000065049,60	2000
482	1049	2		4,1120;5,840;6,840	1,400000	item127000065049,5	2800
483	1049	3		4,1360;5,1020;6,1020	1,450000	item127000065049,10	3400
484	1049	4		4,1600;5,1200;6,1200	1,500000	item127000065049,15	4000
485	1049	5		4,1840;5,1380;6,1380	1,550000	item127000065049,20	4600
486	1049	6		4,2080;5,1560;6,1560	1,600000	item127000065049,30	5200
487	1049	7		4,2240;5,1680;6,1680	1,650000	item127000065049,40	5600
488	1049	8		4,2400;5,1800;6,1800	1,700000	item127000065049,60	6000
489	1049	9		4,2480;5,1860;6,1860	1,750000	item127000065049,80	6200
490	1049	10		4,2560;5,1920;6,1920	1,800000	item127000065049,100	6400
491	1050	1	1,5000;3,300;32,500;33,500			item127000065050,60	3000
492	1050	2	1,7000;3,420;32,700;33,700		1,600000	item127000065050,5	4200
493	1050	3	1,8500;3,510;32,850;33,850		1,650000	item127000065050,10	5100
494	1050	4	1,10000;3,600;32,1000;33,1000		1,700000	item127000065050,15	6000
495	1050	5	1,11500;3,690;32,1150;33,1150		1,750000	item127000065050,20	6900
496	1050	6	1,13000;3,780;32,1300;33,1300		1,800000	item127000065050,30	7800
497	1050	7	1,14000;3,840;32,1400;33,1400		1,850000	item127000065050,40	8400
498	1050	8	1,15000;3,900;32,1500;33,1500		1,900000	item127000065050,60	9000
499	1050	9	1,15500;3,930;32,1550;33,1550		1,950000	item127000065050,80	9300
500	1050	10	1,16000;3,960;32,1600;33,1600		1,1000000	item127000065050,100	9600
501	1051	1	1,5000;3,300;34,500;35,500			item127000065051,60	3000
502	1051	2	1,7000;3,420;34,700;35,700		1,600000	item127000065051,5	4200
503	1051	3	1,8500;3,510;34,850;35,850		1,650000	item127000065051,10	5100
504	1051	4	1,10000;3,600;34,1000;35,1000		1,700000	item127000065051,15	6000
505	1051	5	1,11500;3,690;34,1150;35,1150		1,750000	item127000065051,20	6900
506	1051	6	1,13000;3,780;34,1300;35,1300		1,800000	item127000065051,30	7800
507	1051	7	1,14000;3,840;34,1400;35,1400		1,850000	item127000065051,40	8400
508	1051	8	1,15000;3,900;34,1500;35,1500		1,900000	item127000065051,60	9000
509	1051	9	1,15500;3,930;34,1550;35,1550		1,950000	item127000065051,80	9300
510	1051	10	1,16000;3,960;34,1600;35,1600		1,1000000	item127000065051,100	9600
511	1052	1	1,5000;3,300;30,500;31,500			item127000065052,60	3000
512	1052	2	1,7000;3,420;30,700;31,700		1,600000	item127000065052,5	4200
513	1052	3	1,8500;3,510;30,850;31,850		1,650000	item127000065052,10	5100
514	1052	4	1,10000;3,600;30,1000;31,1000		1,700000	item127000065052,15	6000
515	1052	5	1,11500;3,690;30,1150;31,1150		1,750000	item127000065052,20	6900
516	1052	6	1,13000;3,780;30,1300;31,1300		1,800000	item127000065052,30	7800
517	1052	7	1,14000;3,840;30,1400;31,1400		1,850000	item127000065052,40	8400
518	1052	8	1,15000;3,900;30,1500;31,1500		1,900000	item127000065052,60	9000
519	1052	9	1,15500;3,930;30,1550;31,1550		1,950000	item127000065052,80	9300
520	1052	10	1,16000;3,960;30,1600;31,1600		1,1000000	item127000065052,100	9600
521	1053	1	1,5000;3,300;32,500;34,500			item127000065053,60	3000
522	1053	2	1,7000;3,420;32,700;34,700		1,600000	item127000065053,5	4200
523	1053	3	1,8500;3,510;32,850;34,850		1,650000	item127000065053,10	5100
524	1053	4	1,10000;3,600;32,1000;34,1000		1,700000	item127000065053,15	6000
525	1053	5	1,11500;3,690;32,1150;34,1150		1,750000	item127000065053,20	6900
526	1053	6	1,13000;3,780;32,1300;34,1300		1,800000	item127000065053,30	7800
527	1053	7	1,14000;3,840;32,1400;34,1400		1,850000	item127000065053,40	8400
528	1053	8	1,15000;3,900;32,1500;34,1500		1,900000	item127000065053,60	9000
529	1053	9	1,15500;3,930;32,1550;34,1550		1,950000	item127000065053,80	9300
530	1053	10	1,16000;3,960;32,1600;34,1600		1,1000000	item127000065053,100	9600
531	1054	1	1,5000;4,300;32,500;33,500			item127000065054,60	3000
532	1054	2	1,7000;4,420;32,700;33,700		1,600000	item127000065054,5	4200
533	1054	3	1,8500;4,510;32,850;33,850		1,650000	item127000065054,10	5100
534	1054	4	1,10000;4,600;32,1000;33,1000		1,700000	item127000065054,15	6000
535	1054	5	1,11500;4,690;32,1150;33,1150		1,750000	item127000065054,20	6900
536	1054	6	1,13000;4,780;32,1300;33,1300		1,800000	item127000065054,30	7800
537	1054	7	1,14000;4,840;32,1400;33,1400		1,850000	item127000065054,40	8400
538	1054	8	1,15000;4,900;32,1500;33,1500		1,900000	item127000065054,60	9000
539	1054	9	1,15500;4,930;32,1550;33,1550		1,950000	item127000065054,80	9300
540	1054	10	1,16000;4,960;32,1600;33,1600		1,1000000	item127000065054,100	9600
541	1055	1	1,5000;4,300;34,500;35,500			item127000065055,60	3000
542	1055	2	1,7000;4,420;34,700;35,700		1,600000	item127000065055,5	4200
543	1055	3	1,8500;4,510;34,850;35,850		1,650000	item127000065055,10	5100
544	1055	4	1,10000;4,600;34,1000;35,1000		1,700000	item127000065055,15	6000
545	1055	5	1,11500;4,690;34,1150;35,1150		1,750000	item127000065055,20	6900
546	1055	6	1,13000;4,780;34,1300;35,1300		1,800000	item127000065055,30	7800
547	1055	7	1,14000;4,840;34,1400;35,1400		1,850000	item127000065055,40	8400
548	1055	8	1,15000;4,900;34,1500;35,1500		1,900000	item127000065055,60	9000
549	1055	9	1,15500;4,930;34,1550;35,1550		1,950000	item127000065055,80	9300
550	1055	10	1,16000;4,960;34,1600;35,1600		1,1000000	item127000065055,100	9600
551	1056	1	1,5000;4,300;30,500;31,500			item127000065056,60	3000
552	1056	2	1,7000;4,420;30,700;31,700		1,600000	item127000065056,5	4200
553	1056	3	1,8500;4,510;30,850;31,850		1,650000	item127000065056,10	5100
554	1056	4	1,10000;4,600;30,1000;31,1000		1,700000	item127000065056,15	6000
555	1056	5	1,11500;4,690;30,1150;31,1150		1,750000	item127000065056,20	6900
556	1056	6	1,13000;4,780;30,1300;31,1300		1,800000	item127000065056,30	7800
557	1056	7	1,14000;4,840;30,1400;31,1400		1,850000	item127000065056,40	8400
558	1056	8	1,15000;4,900;30,1500;31,1500		1,900000	item127000065056,60	9000
559	1056	9	1,15500;4,930;30,1550;31,1550		1,950000	item127000065056,80	9300
560	1056	10	1,16000;4,960;30,1600;31,1600		1,1000000	item127000065056,100	9600
561	1057	1	1,5000;4,300;33,500;31,500			item127000065057,60	3000
562	1057	2	1,7000;4,420;33,700;31,700		1,600000	item127000065057,5	4200
563	1057	3	1,8500;4,510;33,850;31,850		1,650000	item127000065057,10	5100
564	1057	4	1,10000;4,600;33,1000;31,1000		1,700000	item127000065057,15	6000
565	1057	5	1,11500;4,690;33,1150;31,1150		1,750000	item127000065057,20	6900
566	1057	6	1,13000;4,780;33,1300;31,1300		1,800000	item127000065057,30	7800
567	1057	7	1,14000;4,840;33,1400;31,1400		1,850000	item127000065057,40	8400
568	1057	8	1,15000;4,900;33,1500;31,1500		1,900000	item127000065057,60	9000
569	1057	9	1,15500;4,930;33,1550;31,1550		1,950000	item127000065057,80	9300
570	1057	10	1,16000;4,960;33,1600;31,1600		1,1000000	item127000065057,100	9600
571	1058	1	3,500;4,300;32,500;33,500			item127000065058,60	3000
572	1058	2	3,700;4,420;32,700;33,700		1,600000	item127000065058,5	4200
573	1058	3	3,850;4,510;32,850;33,850		1,650000	item127000065058,10	5100
574	1058	4	3,1000;4,600;32,1000;33,1000		1,700000	item127000065058,15	6000
575	1058	5	3,1150;4,690;32,1150;33,1150		1,750000	item127000065058,20	6900
576	1058	6	3,1300;4,780;32,1300;33,1300		1,800000	item127000065058,30	7800
577	1058	7	3,1400;4,840;32,1400;33,1400		1,850000	item127000065058,40	8400
578	1058	8	3,1500;4,900;32,1500;33,1500		1,900000	item127000065058,60	9000
579	1058	9	3,1550;4,930;32,1550;33,1550		1,950000	item127000065058,80	9300
580	1058	10	3,1600;4,960;32,1600;33,1600		1,1000000	item127000065058,100	9600
581	1059	1	3,500;4,300;34,500;35,500			item127000065059,60	3000
582	1059	2	3,700;4,420;34,700;35,700		1,600000	item127000065059,5	4200
583	1059	3	3,850;4,510;34,850;35,850		1,650000	item127000065059,10	5100
584	1059	4	3,1000;4,600;34,1000;35,1000		1,700000	item127000065059,15	6000
585	1059	5	3,1150;4,690;34,1150;35,1150		1,750000	item127000065059,20	6900
586	1059	6	3,1300;4,780;34,1300;35,1300		1,800000	item127000065059,30	7800
587	1059	7	3,1400;4,840;34,1400;35,1400		1,850000	item127000065059,40	8400
588	1059	8	3,1500;4,900;34,1500;35,1500		1,900000	item127000065059,60	9000
589	1059	9	3,1550;4,930;34,1550;35,1550		1,950000	item127000065059,80	9300
590	1059	10	3,1600;4,960;34,1600;35,1600		1,1000000	item127000065059,100	9600
591	1060	1	3,500;4,300;30,500;31,500			item127000065060,60	3000
592	1060	2	3,700;4,420;30,700;31,700		1,600000	item127000065060,5	4200
593	1060	3	3,850;4,510;30,850;31,850		1,650000	item127000065060,10	5100
594	1060	4	3,1000;4,600;30,1000;31,1000		1,700000	item127000065060,15	6000
595	1060	5	3,1150;4,690;30,1150;31,1150		1,750000	item127000065060,20	6900
596	1060	6	3,1300;4,780;30,1300;31,1300		1,800000	item127000065060,30	7800
597	1060	7	3,1400;4,840;30,1400;31,1400		1,850000	item127000065060,40	8400
598	1060	8	3,1500;4,900;30,1500;31,1500		1,900000	item127000065060,60	9000
599	1060	9	3,1550;4,930;30,1550;31,1550		1,950000	item127000065060,80	9300
600	1060	10	3,1600;4,960;30,1600;31,1600		1,1000000	item127000065060,100	9600
601	1061	1	3,500;4,300;30,500;35,500			item127000065061,60	3000
602	1061	2	3,700;4,420;30,700;35,700		1,600000	item127000065061,5	4200
603	1061	3	3,850;4,510;30,850;35,850		1,650000	item127000065061,10	5100
604	1061	4	3,1000;4,600;30,1000;35,1000		1,700000	item127000065061,15	6000
605	1061	5	3,1150;4,690;30,1150;35,1150		1,750000	item127000065061,20	6900
606	1061	6	3,1300;4,780;30,1300;35,1300		1,800000	item127000065061,30	7800
607	1061	7	3,1400;4,840;30,1400;35,1400		1,850000	item127000065061,40	8400
608	1061	8	3,1500;4,900;30,1500;35,1500		1,900000	item127000065061,60	9000
609	1061	9	3,1550;4,930;30,1550;35,1550		1,950000	item127000065061,80	9300
610	1061	10	3,1600;4,960;30,1600;35,1600		1,1000000	item127000065061,100	9600
611	1062	1	30,750;31,750	1,750;4,750		item127000065062,60	3000
612	1062	2	30,1050;31,1050	1,1050;4,1050	1,600000	item127000065062,5	4200
613	1062	3	30,1275;31,1275	1,1275;4,1275	1,650000	item127000065062,10	5100
614	1062	4	30,1500;31,1500	1,1500;4,1500	1,700000	item127000065062,15	6000
615	1062	5	30,1725;31,1725	1,1725;4,1725	1,750000	item127000065062,20	6900
616	1062	6	30,1950;31,1950	1,1950;4,1950	1,800000	item127000065062,30	7800
617	1062	7	30,2100;31,2100	1,2100;4,2100	1,850000	item127000065062,40	8400
618	1062	8	30,2250;31,2250	1,2250;4,2250	1,900000	item127000065062,60	9000
619	1062	9	30,2325;31,2325	1,2325;4,2325	1,950000	item127000065062,80	9300
620	1062	10	30,2400;31,2400	1,2400;4,2400	1,1000000	item127000065062,100	9600
621	1063	1	32,750;33,750	5,750;2,750		item127000065063,60	3000
622	1063	2	32,1050;33,1050	5,1050;2,1050	1,600000	item127000065063,5	4200
623	1063	3	32,1275;33,1275	5,1275;2,1275	1,650000	item127000065063,10	5100
624	1063	4	32,1500;33,1500	5,1500;2,1500	1,700000	item127000065063,15	6000
625	1063	5	32,1725;33,1725	5,1725;2,1725	1,750000	item127000065063,20	6900
626	1063	6	32,1950;33,1950	5,1950;2,1950	1,800000	item127000065063,30	7800
627	1063	7	32,2100;33,2100	5,2100;2,2100	1,850000	item127000065063,40	8400
628	1063	8	32,2250;33,2250	5,2250;2,2250	1,900000	item127000065063,60	9000
629	1063	9	32,2325;33,2325	5,2325;2,2325	1,950000	item127000065063,80	9300
630	1063	10	32,2400;33,2400	5,2400;2,2400	1,1000000	item127000065063,100	9600
631	1064	1	34,750;35,750	3,750;6,750		item127000065064,60	3000
632	1064	2	34,1050;35,1050	3,1050;6,1050	1,600000	item127000065064,5	4200
633	1064	3	34,1275;35,1275	3,1275;6,1275	1,650000	item127000065064,10	5100
634	1064	4	34,1500;35,1500	3,1500;6,1500	1,700000	item127000065064,15	6000
635	1064	5	34,1725;35,1725	3,1725;6,1725	1,750000	item127000065064,20	6900
636	1064	6	34,1950;35,1950	3,1950;6,1950	1,800000	item127000065064,30	7800
637	1064	7	34,2100;35,2100	3,2100;6,2100	1,850000	item127000065064,40	8400
638	1064	8	34,2250;35,2250	3,2250;6,2250	1,900000	item127000065064,60	9000
639	1064	9	34,2325;35,2325	3,2325;6,2325	1,950000	item127000065064,80	9300
640	1064	10	34,2400;35,2400	3,2400;6,2400	1,1000000	item127000065064,100	9600
641	1065	1		6,750;1,750;2,750;3,750		item127000065065,60	3000
642	1065	2		6,1050;1,1050;2,1050;3,1050	1,600000	item127000065065,5	4200
643	1065	3		6,1275;1,1275;2,1275;3,1275	1,650000	item127000065065,10	5100
644	1065	4		6,1500;1,1500;2,1500;3,1500	1,700000	item127000065065,15	6000
645	1065	5		6,1725;1,1725;2,1725;3,1725	1,750000	item127000065065,20	6900
646	1065	6		6,1950;1,1950;2,1950;3,1950	1,800000	item127000065065,30	7800
647	1065	7		6,2100;1,2100;2,2100;3,2100	1,850000	item127000065065,40	8400
648	1065	8		6,2250;1,2250;2,2250;3,2250	1,900000	item127000065065,60	9000
649	1065	9		6,2325;1,2325;2,2325;3,2325	1,950000	item127000065065,80	9300
650	1065	10		6,2400;1,2400;2,2400;3,2400	1,1000000	item127000065065,100	9600
651	1066	1		1,750;4,750;5,750;6,750		item127000065066,60	3000
652	1066	2		1,1050;4,1050;5,1050;6,1050	1,600000	item127000065066,5	4200
653	1066	3		1,1275;4,1275;5,1275;6,1275	1,650000	item127000065066,10	5100
654	1066	4		1,1500;4,1500;5,1500;6,1500	1,700000	item127000065066,15	6000
655	1066	5		1,1725;4,1725;5,1725;6,1725	1,750000	item127000065066,20	6900
656	1066	6		1,1950;4,1950;5,1950;6,1950	1,800000	item127000065066,30	7800
657	1066	7		1,2100;4,2100;5,2100;6,2100	1,850000	item127000065066,40	8400
658	1066	8		1,2250;4,2250;5,2250;6,2250	1,900000	item127000065066,60	9000
659	1066	9		1,2325;4,2325;5,2325;6,2325	1,950000	item127000065066,80	9300
660	1066	10		1,2400;4,2400;5,2400;6,2400	1,1000000	item127000065066,100	9600
661	1067	1		1,750;2,750;3,750;4,750		item127000065067,60	3000
662	1067	2		1,1050;2,1050;3,1050;4,1050	1,600000	item127000065067,5	4200
663	1067	3		1,1275;2,1275;3,1275;4,1275	1,650000	item127000065067,10	5100
664	1067	4		1,1500;2,1500;3,1500;4,1500	1,700000	item127000065067,15	6000
665	1067	5		1,1725;2,1725;3,1725;4,1725	1,750000	item127000065067,20	6900
666	1067	6		1,1950;2,1950;3,1950;4,1950	1,800000	item127000065067,30	7800
667	1067	7		1,2100;2,2100;3,2100;4,2100	1,850000	item127000065067,40	8400
668	1067	8		1,2250;2,2250;3,2250;4,2250	1,900000	item127000065067,60	9000
669	1067	9		1,2325;2,2325;3,2325;4,2325	1,950000	item127000065067,80	9300
670	1067	10		1,2400;2,2400;3,2400;4,2400	1,1000000	item127000065067,100	9600
671	1068	1		1,750;2,750;5,750;6,750		item127000065068,60	3000
672	1068	2		1,1050;2,1050;5,1050;6,1050	1,600000	item127000065068,5	4200
673	1068	3		1,1275;2,1275;5,1275;6,1275	1,650000	item127000065068,10	5100
674	1068	4		1,1500;2,1500;5,1500;6,1500	1,700000	item127000065068,15	6000
675	1068	5		1,1725;2,1725;5,1725;6,1725	1,750000	item127000065068,20	6900
676	1068	6		1,1950;2,1950;5,1950;6,1950	1,800000	item127000065068,30	7800
677	1068	7		1,2100;2,2100;5,2100;6,2100	1,850000	item127000065068,40	8400
678	1068	8		1,2250;2,2250;5,2250;6,2250	1,900000	item127000065068,60	9000
679	1068	9		1,2325;2,2325;5,2325;6,2325	1,950000	item127000065068,80	9300
680	1068	10		1,2400;2,2400;5,2400;6,2400	1,1000000	item127000065068,100	9600
681	1069	1		3,750;4,750;5,750;6,750		item127000065069,60	3000
682	1069	2		3,1050;4,1050;5,1050;6,1050	1,600000	item127000065069,5	4200
683	1069	3		3,1275;4,1275;5,1275;6,1275	1,650000	item127000065069,10	5100
684	1069	4		3,1500;4,1500;5,1500;6,1500	1,700000	item127000065069,15	6000
685	1069	5		3,1725;4,1725;5,1725;6,1725	1,750000	item127000065069,20	6900
686	1069	6		3,1950;4,1950;5,1950;6,1950	1,800000	item127000065069,30	7800
687	1069	7		3,2100;4,2100;5,2100;6,2100	1,850000	item127000065069,40	8400
688	1069	8		3,2250;4,2250;5,2250;6,2250	1,900000	item127000065069,60	9000
689	1069	9		3,2325;4,2325;5,2325;6,2325	1,950000	item127000065069,80	9300
690	1069	10		3,2400;4,2400;5,2400;6,2400	1,1000000	item127000065069,100	9600
